test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
37,0,13.0,1.0,2.0,11.0,1.0,2.0,261.0,16.0,17.0,15.4990234375,0.32,0.0,98.0,3.0,4.0,14.498414397239685,2.0,3.43564356435644,0.0,3.92079207920792,0.0,0.0,0.875,0.0,2.0,2.0,0.51,0.49,2,6.823282850151686
56,0,9.49267578125,1.0,2.0,20.0,1.0,4.0,349.0,25.0,23.0,32.0,0.13,1.0,191.0,4.0,3.0,10.48583984375,3.0,4.53030303030303,0.0,4.83333333333333,0.0,0.0,0.666666666666667,0.0,2.0,4.0,0.5,0.5,2,54507324218750.0
163,0,3.0,0.0,2.0,1.0,4.0,2.0,134.0,4.0,1.0,7.0,0.56,0.0,22.0,1.0,0.0,7.0,2.0,3.39130434782609,1.0,4.65217391304348,1.0,0.0,0.3570905923843384,0.0,3.0,4.0,0.52,0.48,1,642909407615.6616
192,0,4.0,0.0,1.0,0.0,1.0,2.0,56.0,2.0,8.999756574630737,4.0,0.22,0.0,29.0,1.0,1.0,5.0,1.0,3.13793103448276,0.0,3.62068965517241,1.0,0.0,1.0,0.0,2.0,1.0,0.5,0.5,1,1000243425369.2617
195,0,18.499879598617554,0.0,1.0,1.0,0.0,2.0,19.0,3.0,0.0,2.0,0.06,0.0,7.0,1.0,0.0,5.0,2.0,2.60869565217391,0.0,3.97826086956522,2.0,0.0,1.0,0.0,1.0,2.0,0.52,0.48,1,500120401382.4453
214,0,0.0,0.0,1.0,0.0,5.0,2.0,307.0,1.0,8.0,18.499755859375,0.65,0.0,49.0,2.0,0.0,7.0,1.0,2.04081632653061,0.0,3.20408163265306,1.0,0.0,1.0,0.0,3.0,7.0,0.5,0.5,1,4.384354607190486
223,0,10.499634027481079,0.0,1.0,0.0,1.0,3.0,167.0,2.0,97.0,3.0,0.08,2.0,111.0,2.0,0.0,1.48876953125,3.0,8.38260869565217,1.0,8.49565217391304,1.0,0.0,0.518518518518518,1.0,4.0,8.0,0.5,0.5,2,2500365972518.92
256,0,5.0,0.0,1.0,3.0,1.0,2.0,283.0,2.0,2.0,30.0,0.33,0.0,108.0,3.0,3.0,16.999512255191803,2.0,9.75,1.0,3.73148148148148,1.0,0.0,0.333333333333333,0.0,4.0,7.0,0.5,0.5,1,2.360882147850343
345,0,16.99560546875,2.0,1.0,58.0,1.0,3.0,482.0,22.0,0.48828125,33.0,0.14,1.0,205.0,4.0,0.0,6.496826171875,2.0,6.10091743119266,0.0,7.44495412844037,0.0,0.0,0.454545454545455,0.0,4.0,5.0,0.5,0.5,3,65580395260920.06
356,0,1.0,0.0,1.0,1.0,0.0,2.0,30.0,1.0,3.0,2.0,0.32,1.0,11.0,1.0,0.0,14.499268770217896,2.0,3.09090909090909,0.0,5.0,0.0,0.0,1.0,0.0,4.0,0.0,0.53,0.47,1,1.1806054329491849
