,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
257,0,1,197,0,35.0,0,1.41,0,100,1,0,3,1,0.0,0,6.866071428571431,1,0,0.0,0,0.407407407407407,0,4,2,4.0
1318,1,1,8,2,62,0,0.22,2,80,1,1,4.5,4,4.21428571428571,1,1.14285714285714,1,1,0.75,0,0.75,0,4,2,5
661,6,1,12,2,236,2,0.43,0,92,2,0,4.5,0,5.09090909090909,1,4.23636363636364,1,1,0.683333333333333,0,0.666666666666667,0,2,2,3
1609,0,1,7,0,21,7,0.16,0,82,4,2,4.5,2,4.33333333333333,1,4.33333333333333,1,1,0.5,0,0.428571428571429,11,4,0,5
1223,0,1,7,2,80,0,0.29,1,82,2,0,14.5,2,4.61111111111111,1,1.72727272727273,1,1,0.857142857142857,0,0.428571428571429,11,2,0,4
1167,2,1,1,2,183,1,0.14,2,52,1,0,14.5,2,2.78333333333333,0,1.14285714285714,0,1,1.03030303030303,0,0.541666666666667,0,4,0,4.0
1319,4,1,7,2,70,4,0.24,1,78,4,1,4.5,2,4.4,1,1.14285714285714,1,1,1.11538461538462,0,0.4,6,2,2,4
1527,0,1,8,2,55,0,0.16,2,71,4,0,4.5,2,4.3125,1,1.14285714285714,1,1,0.473684210526316,0,0.5,6,3,2,3
970,0,2,1,5,202,8,0.35,0,83,2,0,14.5,2,1.280392156862745,1,1.72727272727273,1,1,1.75862068965517,0,0.32,0,2,0,6
349,0,2,2,2,74,0,0.37,0,66,2,0,4.5,0,4.125,0,1.14285714285714,0,1,2.58333333333333,0,0.333333333333333,4,1,2,3
