,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE
181,0.472118959107807,22.0,0.33333333333333304,28.999999999999996,3.0,0.0,1.0,13.0,29.000000000000004,12.0,14.0,0.040000000000000036,0.0,75.0,3.0,6.0,22.0,2.0,3.73913043478261,0.0,3.41304347826087,2.220446049250313e-16,0.0,0.472118959107807,0.333333333333333,2.0
2154,-5.551115123125783e-17,0.0,26.0,0.666666666666667,0.1,1.0,5.0,1.0,2.0,8.0,6.0,0.09999999999999998,4.0,71.0,2.0,0.0,26.0,2.0,9.75,1.0,14.25,2.0,0.0,0.55448717948718,0.666666666666667,1.0
203,-5.551115123125783e-17,50.0,1.0,3.0,0.35,0.0,1.0,1.0,2.0,12.0,50.0,0.35,0.0,93.0,1.0,5.0,14.0,2.0,2.80769230769231,0.0,1.1923076923076903,2.220446049250313e-16,0.0,0.724852071005917,1.0,1.0
2190,-5.551115123125783e-17,1.0,0.16000000000000014,17.0,3.0,1.0,3.0,2.0,10.0,5.0,3.0,0.16000000000000003,1.9999999999999996,89.0,1.0,0.0,1.0000000000000004,1.0,5.52631578947368,2.0,5.05263157894737,1.0,0.0,0.498614958448753,1.0,1.0
852,0.327485380116959,15.999999999999998,1.0,0.15000000000000002,1.0,0.0,2.0,4.0,1.0,8.0,17.0,0.15000000000000002,0.0,64.0,2.0,1.0,16.0,2.0,4.54545454545455,0.0,6.09090909090909,2.220446049250313e-16,0.0,0.327485380116959,1.0,1.0
1066,-5.551115123125783e-17,0.440217391304348,1.0,1.0,1.0,4.0,2.0,1.0,0.0,7.0,8.0,0.56,0.0,89.0,1.0,0.0,1.0000000000000004,1.0,8.125,1.0,3.5,1.0,0.0,0.440217391304348,1.0,3.0
287,0.440318302387268,4.0,1.0,0.10999999999999999,2.0,0.0,3.0,2.0,4.0,6.0,12.0,0.10999999999999999,0.0,84.0,2.0,1.0,27.0,2.0,3.88888888888889,0.0,8.88888888888889,1.0,0.0,0.440318302387268,1.0,2.0
286,,,,,,,,,,,,,,,,,,,,,,,,,,
901,0.5429700565327333,1.0,0.1299999999999999,1.0,3.0,0.0,1.0,1.0,0.0,1.0,34.0,0.13,0.0,-7.105427357601002e-15,1.0,4.0,8.0,2.0,3.23529411764706,1.0,1.3823529411764697,1.0,0.0,0.28019323671497604,1.0,3.0
271,,,,,,,,,,,,,,,,,,,,,,,,,,
