,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE
181,0.472118959107807,22.0,0.33333333333333304,1.0,3.0,0.0,1.0,13.0,29.000000000000004,12.0,14.0,0.040000000000000036,0.0,75.0,3.0,6.0,22.0,2.0,3.73913043478261,0.0,3.41304347826087,2.220446049250313e-16,0.0,0.472118959107807,0.333333333333333,2.0
203,-5.551115123125783e-17,50.0,1.0,3.9999999999999996,2.0,0.0,1.0,1.0,2.0,12.0,50.0,0.35,0.0,93.0,1.0,5.0,14.0,2.0,2.80769230769231,0.0,1.1923076923076903,2.220446049250313e-16,0.0,0.724852071005917,1.0,1.0
204,0.5,2.0,0.12,2.0,1.0,0.0,2.0,1.0,8.0,8.0,20.0,0.11999999999999988,0.0,82.0,2.0,2.0,9.0,2.0,3.53333333333333,0.0,3.96666666666667,2.220446049250313e-16,0.0,0.636075949367089,1.0,2.0
271,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,,,,
287,0.440318302387268,4.0,1.0,0.10999999999999999,2.0,0.0,3.0,2.0,4.0,6.0,12.0,0.10999999999999999,0.0,84.0,2.0,1.0,27.0,2.0,3.88888888888889,0.0,8.88888888888889,1.0,0.0,0.440318302387268,1.0,2.0
2154,-5.551115123125783e-17,26.0,0.666666666666667,0.09999999999999998,9.75,1.0,5.0,1.0,2.0,8.0,6.0,0.09999999999999998,4.0,71.0,2.0,0.0,26.0,2.0,9.75,1.0,14.25,2.0,0.0,0.55448717948718,0.666666666666667,1.0
218,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,
2122,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,,
