feature,mean_abs_weight,mean_weight,count,fraction_selected
CountDeclMethodPrivate,0.09426046919660548,-0.0285634442442804,25,1.0
MaxInheritanceTree,0.09238659192536541,-0.019653116611536074,25,1.0
CountDeclInstanceVariable,0.06988201972102973,-0.044588942076855966,25,1.0
OWN_COMMIT,0.03134323722904144,-0.026668141195203526,25,1.0
CountClassCoupled,0.026272044163748235,-0.020988571062974755,25,1.0
CountClassDerived,0.02262082004457812,0.015413138364626114,25,1.0
AvgLineBlank,0.01588595987915474,-0.005517460184036117,25,1.0
CountDeclMethodProtected,0.015471774685945025,-0.009390366915303545,25,1.0
MINOR_LINE,0.013509956632618248,0.0018306075699021768,25,1.0
CountDeclInstanceMethod,0.011740444458805484,-0.009184370157913046,25,1.0
MAJOR_LINE,0.011667643737735963,-0.005670561245379506,25,1.0
MINOR_COMMIT,0.007874591341130109,0.0022072510586081395,25,1.0
RatioCommentToCode,0.007194826174590091,-0.005101457526297068,25,1.0
AvgLineComment,0.006662356717396253,-0.0009723482071390244,25,1.0
CountInput_Min,0.006006678852069958,0.0010417015259906446,25,1.0
CountDeclClassVariable,0.005692717810582824,0.0004761142423010338,25,1.0
MaxNesting_Min,0.005161132079498032,0.0029322380924765774,25,1.0
CountOutput_Min,0.004616306367058316,-0.0013724166551620418,25,1.0
CountDeclClass,0.004485171736433069,0.00030696523003665436,25,1.0
CountLineComment,0.004349072018135099,0.0007378737074513411,25,1.0
AvgCyclomaticModified,0.0037589435045065917,-0.0022583869083378457,25,1.0
AvgEssential,0.0036349320995900645,-0.0015609408500804898,25,1.0
CountInput_Mean,0.0032648736244468095,0.0018067137317486562,25,1.0
CountClassBase,0.0030169688909829333,-4.6736234882873616e-05,25,1.0
CountOutput_Mean,0.0030050098586495845,0.0016810864356702317,25,1.0
CountDeclMethodDefault,0.0028603317088894257,0.0004025117149778878,25,1.0
