,score,project,explainer,model
1349,0.624577762414928,jruby@2,LIME,CatB
956,0.8452451289203821,jruby@2,LIME,CatB
578,0.7026230423908373,jruby@2,LIME,CatB
782,0.646288624219809,jruby@2,LIME,CatB
816,0.7153524251877216,jruby@2,LIME,CatB
905,0.6567022406420601,jruby@2,LIME,CatB
575,0.6101403220177768,jruby@2,LIME,CatB
750,0.7778452115774528,jruby@2,LIME,CatB
780,0.7778452115774528,jruby@2,LIME,CatB
658,0.640347580208644,jruby@2,LIME,CatB
806,0.7619212545684854,jruby@2,LIME,CatB
748,0.6420077639829912,jruby@2,LIME,CatB
793,0.6856993612850232,jruby@2,LIME,CatB
788,0.637684819424826,jruby@2,LIME,CatB
476,0.4689900647587577,jruby@2,LIME,CatB
988,0.6528932957791709,jruby@2,LIME,CatB
678,0.6411302183453168,jruby@2,LIME,CatB
769,0.7003708822556916,jruby@2,LIME,CatB
1367,0.6543475892917185,jruby@2,LIME,CatB
633,0.6641204192480027,jruby@2,LIME,CatB
775,0.06150214515535612,jruby@2,LIME,CatB
1798,0.31999999999999995,hive@1,LIME,CatB
2264,0.0,hive@1,LIME,CatB
834,0.0,hive@1,LIME,CatB
1695,0.5372666128661723,hive@1,LIME,CatB
565,0.7372097807744856,hive@1,LIME,CatB
1958,0.6151206065182201,hive@1,LIME,CatB
1883,0.5409907226367713,hive@1,LIME,CatB
1059,1.0,hive@1,LIME,CatB
1945,0.026845637583892634,hive@1,LIME,CatB
1940,0.6888341728145533,hive@1,LIME,CatB
499,0.0,hive@1,LIME,CatB
1899,0.3933653692017584,hive@1,LIME,CatB
366,0.4488045836118289,hive@1,LIME,CatB
766,0.3914132074486601,hive@1,LIME,CatB
831,0.5146319387283067,hive@1,LIME,CatB
1965,0.30756030325911005,hive@1,LIME,CatB
1458,0.3821532464426666,hive@1,LIME,CatB
1850,0.3460198674309115,hive@1,LIME,CatB
26,0.7717803866555424,hive@1,LIME,CatB
1966,0.28,hive@1,LIME,CatB
305,0.49773991209489765,hive@1,LIME,CatB
1855,0.6239616439958159,hive@1,LIME,CatB
308,0.50182884952396,hive@1,LIME,CatB
1851,0.4014263372818791,hive@1,LIME,CatB
1795,0.0,hive@1,LIME,CatB
1913,0.45038921378618246,hive@1,LIME,CatB
1934,0.45039965486175915,hive@1,LIME,CatB
1805,0.2232918026316848,hive@1,LIME,CatB
1936,0.45038921378618246,hive@1,LIME,CatB
1938,0.45038921378618246,hive@1,LIME,CatB
376,0.6204215957949185,hive@1,LIME,CatB
1574,0.31999999999999995,hive@1,LIME,CatB
1799,0.43999999999999995,hive@1,LIME,CatB
208,0.6711062731997792,hive@1,LIME,CatB
1817,0.5395604239963947,hive@1,LIME,CatB
1853,0.5083247132070101,hive@1,LIME,CatB
1955,0.5985703411808562,hive@1,LIME,CatB
350,0.5781820166800197,hive@1,LIME,CatB
851,0.5484764170384763,hive@1,LIME,CatB
1933,0.4698097218713969,hive@1,LIME,CatB
1852,0.3080385172136834,hive@1,LIME,CatB
498,0.5757727666693055,hive@1,LIME,CatB
2049,0.4431539846854419,hive@1,LIME,CatB
209,0.6189669914029662,hive@1,LIME,CatB
429,0.6331337995746054,hive@1,LIME,CatB
1806,0.0,hive@1,LIME,CatB
677,0.6189669914029662,hive@1,LIME,CatB
1922,0.37500183891862626,hive@1,LIME,CatB
1944,0.39981209562657133,hive@1,LIME,CatB
1939,0.0,hive@1,LIME,CatB
1438,0.0,hive@1,LIME,CatB
1604,0.0,hive@1,LIME,CatB
1789,0.0,hive@1,LIME,CatB
1802,0.0,hive@1,LIME,CatB
1431,0.7759890145875388,hive@1,LIME,CatB
1893,0.0,camel@0,LIME,CatB
987,0.8017837257372732,camel@0,LIME,CatB
454,0.5129891760425771,camel@0,LIME,CatB
11,0.6933752452815365,camel@0,LIME,CatB
2513,0.6741998624632421,camel@0,LIME,CatB
923,0.0,camel@0,LIME,CatB
