,score,project,explainer,model
769,0.3333333333333333,jruby@2,LIME,SVM
905,0.3333333333333333,jruby@2,LIME,SVM
476,0.48453608247422675,jruby@2,LIME,SVM
956,0.3333333333333333,jruby@2,LIME,SVM
1188,0.6513380417799606,jruby@2,LIME,SVM
793,0.3333333333333333,jruby@2,LIME,SVM
765,0.3333333333333333,jruby@2,LIME,SVM
988,0.9395826545620842,jruby@2,LIME,SVM
366,1.0,hive@1,LIME,SVM
766,1.0,hive@1,LIME,SVM
1958,0.6410256410256409,hive@1,LIME,SVM
1965,0.192697663051423,hive@1,LIME,SVM
831,0.8,hive@1,LIME,SVM
1431,1.0,hive@1,LIME,SVM
209,0.0,hive@1,LIME,SVM
498,0.0,hive@1,LIME,SVM
1934,0.26865671641791045,hive@1,LIME,SVM
308,0.26865671641791045,hive@1,LIME,SVM
565,0.4423258684646914,hive@1,LIME,SVM
305,0.0,hive@1,LIME,SVM
208,0.0,hive@1,LIME,SVM
350,0.6859604590204939,hive@1,LIME,SVM
1966,1.0,hive@1,LIME,SVM
376,1.0,hive@1,LIME,SVM
987,1.0,camel@0,LIME,SVM
799,0.0,camel@0,LIME,SVM
11,0.8333333333333333,camel@0,LIME,SVM
454,0.5445951256958486,camel@0,LIME,SVM
831,0.691797648113776,camel@0,LIME,SVM
110,0.40471360670018974,camel@0,LIME,SVM
818,0.5574692237534874,camel@0,LIME,SVM
348,0.790569415042095,camel@0,LIME,SVM
720,0.5,camel@0,LIME,SVM
865,0.5967081414398551,camel@0,LIME,SVM
2585,0.7559289460184544,camel@0,LIME,SVM
785,0.5,camel@0,LIME,SVM
920,0.606976978666884,camel@0,LIME,SVM
106,0.7352660224134381,camel@0,LIME,SVM
107,0.8294125451595408,camel@0,LIME,SVM
923,0.27386127875258304,camel@0,LIME,SVM
387,0.39223227027636803,camel@0,LIME,SVM
2899,0.0,camel@0,LIME,SVM
2513,0.5872975209327327,camel@0,LIME,SVM
1735,0.0,camel@0,LIME,SVM
2617,0.6663046635646468,camel@0,LIME,SVM
52,0.8333333333333333,camel@0,LIME,SVM
422,0.0,camel@0,LIME,SVM
965,0.3684198456206067,camel@0,LIME,SVM
1682,0.21052631578947367,camel@0,LIME,SVM
695,0.22735022133025617,camel@0,LIME,SVM
1764,0.8421052631578947,camel@0,LIME,SVM
1620,0.7974240486467005,camel@0,LIME,SVM
2901,0.36055512754639896,camel@0,LIME,SVM
810,1.0,camel@0,LIME,SVM
364,0.8333333333333333,camel@0,LIME,SVM
1534,0.7805580383584059,camel@0,LIME,SVM
58,0.8574149188928759,camel@0,LIME,SVM
2911,0.9214868045905392,camel@0,LIME,SVM
2906,0.7149742417288322,camel@0,LIME,SVM
1499,0.0,camel@0,LIME,SVM
1143,0.6683160490841251,camel@0,LIME,SVM
166,0.8787878787878788,camel@0,LIME,SVM
377,0.5983859413406254,camel@0,LIME,SVM
1744,1.0,camel@0,LIME,SVM
360,0.3333333333333333,hive@0,LIME,SVM
338,0.6666666666666666,hive@0,LIME,SVM
108,0.3333333333333333,hive@0,LIME,SVM
337,0.3333333333333333,hive@0,LIME,SVM
320,0.3333333333333333,hive@0,LIME,SVM
327,1.0,hive@0,LIME,SVM
