test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MAJOR_LINE,proba0,proba1
20,0,0.0,0.0,1.0,0.0,0.0,9.0,185.0,1.0,2.0,7.0,15.0,0.92,71.0,3.0,2.0,14.0,1.0,3.9,1.0,1.0,0.6,0.0,0.0,1.0,0.0,0.0,2.0,0.7784644944308765,0.2215355055691235
20,1,3.0,10.0,2.0,0.0,0.0,4.0,180.0,2.0,0.0,14.0,8.0,0.63,84.0,1.0,0.0,18.0,1.0,5.9,1.0,1.0,1.2,0.0,3.0,1.0,1.0,0.0,2.0,0.9619126498403091,0.0380873501596909
20,2,5.0,1.0,1.0,0.0,0.0,15.0,170.0,1.0,0.0,3.0,3.0,0.6,74.0,1.0,0.0,26.0,2.0,5.1,0.0,1.0,2.7,0.0,9.0,0.6,1.0,0.0,3.0,0.6167265500009251,0.3832734499990749
20,3,1.0,1.0,1.0,0.0,0.0,7.0,148.0,1.0,0.0,3.0,13.0,1.2,66.0,3.0,0.0,18.0,1.0,1.5,0.0,1.0,0.4,0.0,0.0,1.0,1.0,0.0,1.0,0.9743210146688548,0.02567898533114522
20,4,3.0,10.0,2.0,0.0,0.0,4.0,180.0,2.0,0.0,14.0,8.0,0.63,84.0,1.0,0.0,18.0,1.0,5.9,1.0,1.0,1.2,0.0,3.0,1.0,1.0,0.0,2.0,0.9619126498403091,0.0380873501596909
30,0,2.0,1.0,1.0,0.0,0.0,11.0,237.0,1.0,0.0,9.0,15.0,0.74,82.0,4.0,0.0,29.0,1.0,3.7,0.0,1.0,1.0,0.0,21.0,0.9,1.0,0.0,3.0,0.5190912157392743,0.4809087842607257
30,1,2.0,1.0,1.0,0.0,0.0,11.0,237.0,1.0,0.0,9.0,15.0,0.74,82.0,4.0,0.0,29.0,1.0,3.7,0.0,1.0,1.0,0.0,21.0,0.9,1.0,0.0,3.0,0.5190912157392743,0.4809087842607257
30,2,0.0,0.0,1.0,3.0,0.0,8.0,225.0,1.0,0.0,0.0,23.0,6.25,100.0,0.0,4.0,1.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.9892943278647154,0.01070567213528466
41,0,0.0,0.0,1.0,7.0,0.0,12.0,522.0,1.0,0.0,0.0,37.0,10.04,100.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9643190500057975,0.03568094999420247
41,1,4.0,6.0,1.0,0.0,0.0,8.0,443.0,1.0,5.0,12.0,26.0,0.75,90.0,1.0,1.0,35.0,5.0,3.7,0.0,0.0,0.5,0.0,2.0,1.0,0.5,0.0,3.0,0.7732478365659308,0.2267521634340692
