,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,ADEV,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
1118,0,0,1,1,0,3,3,1,5,13,2,0.47,1,82,3,2,0,2,4.22222222222222,0,0,0,0,0.0,0,2,2
500,1.5,0,1,1,0,3,3,1,3,0,1,0.63,0,75,3,1,7,1,3.75,1,2,0,3,1.0,0,2,0
1366,0,0,1,0,0,2,1,1,0,0,1,0.9,0,0,3,0,1,1,0.0,0,7,1,0,0.0,0,1,0
1765,0,0,1,1,0,1,3,1,1,1,5,0.4,0,95.0,2,0,10,1,3.66666666666667,2,1,0,2,0.5,0,2,0
1134,2,0,1,3,0,4,2,1,4,13,16,0.42,2,82,3,2,5,2,3.69230769230769,0,1,0,0,0.0,0,2,2
1583,6,0,1,1,1,1,2,4,0,9,17.0,0.36,0,86,1,0,5,3,2.44117647058824,0,1,0,0,0.0,0,2,1
461,0,0,1,0,0,0,2,1,1,2,14,0.33,0,43,2,0,0,2,3.574175824175825,1,1,0,0,0.0,0,3,0
1496,1,0,2,15,0,0,1,1,6,19,5,0.56,2,85,1,0,2,2,6.83333333333333,0,2,0,0,0.0,0,1,1
729,0,1,1,0,0,2,2,1,0,4,17,0.34,0,65,1,0,12,2,3.55555555555556,0,0,0,5.5,0.0,0,2,0
757,1,0,1,1,0,0,3,1,0,6,13,0.16,0,74,1,0,2,1,4.594117647058825,2,1,0,0,0.0,0,2,2
1721,0,1,1,1,0,5,1,2,10,6,3,0.39,2,81,3,0,2,2,3.78571428571429,0,1,0,0,0.0,0,2,4
695,0,0,1,0,0,1,2,1,0,1,16,0.35,0,62,2,0,10.0,2,2.1875,0,0,0,0,0.0,0,3,1
1505,0,0,1,2,0,1,1,2,0,0,6,0.27,1,40,2,0,3,2,4.0,0,0,0,0,0.0,0,1,0
1028,0,0,1,0,0,0,1,1,3,1,1,0.47,1,50,3,1,3,1,1.25,1,1,0,0,0.0,0,2,0
287,1,0,1,2,0,3,1,1,0,1,9,0.7,0,76,3,0,7,2,3.1,0,1,0,0,0.0,0,2,1
913,1,0,1,3,0,0,2,1,1,15,26,0.11,0,89,1,1,8,3,2.46428571428571,0,0,0,5,0.6,0,3,0
991,0,0,1,0,0,1,1,1,3,4,0,0.46,0,70,3,0,3,1,1.83333333333333,1,2,0,0,0.0,0,2,0
1011,0,0,1,0,0,0,1,1,4,0,0,0.49,0,0,3,0,2,1,1.75,1,4,0,0,0.0,0,2,0
379,2,0,2,0,0,0,1,1,0,1,2,0.32,1,25,1,0,2,2,2.0,1,2,0,0,0.0,0,3,0
884,0,0,1,2,0,1,1,3,9,23,25.0,0.4,0,93,3,3,6,4,2.39130434782609,1,1,0,3,0.666666666666667,0,3,1
1503,4,0,1,4,0,4,1,1,1,0,2,0.44,1,53,2,0,1,1,4.28571428571429,1,1,0,0,0.0,0,1,0
1105,0,0,1,1,0,1,3,1,0,0,1,0.71,10,0,5,0,2,1,2.0,2,18,1,1,1.0,0,3,0
282,1,0,1,2,0,1,1,1,0,6,17,0.41,0,87,4,0,3,2,2.83333333333333,0,1,0,3.5,0.0,0,2,0
389,0,3,1,3,0,0,2,4,5,6,16.0,0.19,0,90,2,2,3,3,1.36734693877551,0,0,0,0,0.0,0,2,2
1169,2,0,1,1,0,2,1,2,5,3,4,0.11,2,77,2,0,4,2,2.45454545454545,0,1,0,0,0.0,0,1,0
886,0,0,1,1,0,1,2,2,5,14,12.5,0.39,0,90,1,3,13,2,2.37037037037037,0,0,0,2,0.5,0,3,1
1506,0,0,1,0,0,0,1,4,0,2,6,0.11,1,100,2,0,2,2,1.16666666666667,0,2,0,0,0.0,0,1,0
