Antecedent,Antecedent Coverage %,Confidence,Lift
0.56 < CountClassCoupled <= 1.86,0.1958,1.0,1.04231
CountDeclMethodPublic <= 0.9,0.18625,1.0,1.04231
-0.02 < CountDeclInstanceVariable <= 0.8,0.2808,0.9983,1.04054
OWN_LINE > 0.972,0.2001,0.99523,1.03733
1.42 < CountOutput_Min <= 2.11,0.22923,0.99375,1.0358
-0.098 < OWN_COMMIT <= 0.0015,0.65855,0.98912,1.03097
0.896 < CountClassBase <= 1.056,0.36724,0.9883,1.03011
-0.062 < MAJOR_LINE <= 0.027,0.50621,0.98774,1.02953
-0.054 < CountDeclClassVariable <= 0.102,0.39351,0.98665,1.0284
0.992 < CountDeclClass <= 1.152,0.73066,0.97974,1.02119
