Antecedent,Antecedent Coverage %,Confidence,Lift
RatioCommentToCode > 3.08,0.19883,1.0,1.04131
CountInput_Mean <= 0.59,0.19657,1.0,1.04131
CountLineComment <= 22.8,0.13977,1.0,1.04131
0.4895 < OWN_COMMIT <= 0.5135,0.33499,0.99865,1.03991
-7.8 < Del_lines <= 2.2,0.49549,0.99818,1.03942
0.59 < CountInput_Mean <= 1.43,0.2128,0.99788,1.03911
CountClassCoupled <= 0.42,0.2119,0.99787,1.0391
22.8 < CountLineComment <= 36.6,0.26375,0.99658,1.03775
1.94 < RatioCommentToCode <= 3.08,0.20243,0.99555,1.03668
0.896 < AvgCyclomaticModified <= 1.018,0.57574,0.99452,1.03561
