Antecedent,Antecedent Coverage %,Confidence,Lift
CountInput_Mean <= 0.39,0.19152,1.0,1.06363
-4.7 < Del_lines <= 2.2,0.46518,0.99712,1.06057
0.39 < CountInput_Mean <= 1.17,0.19866,0.99551,1.05885
RatioCommentToCode > 2.51,0.19821,0.9955,1.05884
MaxInheritanceTree > 5.58,0.19375,0.99309,1.05628
CountClassCoupled <= 0.66,0.19241,0.99072,1.05376
1.17 < CountInput_Mean <= 2,0.21786,0.9877,1.05055
0.469 < OWN_COMMIT <= 0.506,0.27813,0.98555,1.04826
CountLineComment <= 25.4,0.2,0.98438,1.04701
1.675 < RatioCommentToCode <= 2.51,0.19688,0.98413,1.04674
