Antecedent,Antecedent Coverage %,Confidence,Lift
CountInput_Mean <= 0.55,0.21767,1.0,1.06292
CountLineComment <= 18,0.102,1.0,1.06292
-5.7 < Del_lines <= 1.3,0.46767,0.99903,1.06189
CountClassCoupled <= 0.6,0.18944,0.9976,1.06037
2.28 < CountClassCoupled <= 4.06,0.18534,0.99509,1.0577
0.6 < CountClassCoupled <= 2.28,0.23087,0.99211,1.05454
0.4902 < OWN_COMMIT <= 0.51,0.31831,0.99142,1.0538
38.6 < CountLineComment <= 57.2,0.20492,0.99111,1.05348
RatioCommentToCode > 2.95,0.19763,0.99078,1.05313
0.55 < CountInput_Mean <= 1.36,0.20537,0.98891,1.05114
