test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MAJOR_LINE,proba0,proba1
19,0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,8.0,0.6,87.0,2.0,0.0,5.0,1.0,5.1,2.0,2.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.91,0.09
19,1,4.0,0.0,1.0,1.0,6.0,2.0,30.0,1.0,0.0,0.0,2.0,0.27,83.0,1.0,0.0,2.0,1.0,3.7,2.0,2.0,1.1,0.0,0.0,0.3,0.0,0.0,0.0,0.9,0.1
19,2,0.0,0.0,1.0,1.0,0.0,0.0,25.0,1.0,0.0,0.0,3.0,0.96,100.0,1.0,0.0,5.0,2.0,2.7,0.0,1.0,0.8,0.0,0.0,0.9,0.0,0.0,0.0,0.98,0.02
19,3,1.0,0.0,1.0,7.0,4.0,0.0,34.0,1.0,0.0,0.0,3.0,0.47,71.0,1.0,0.0,0.0,1.0,4.8,2.0,3.0,1.3,0.0,11.0,0.9,1.0,0.0,0.0,0.55,0.45
19,4,0.0,8.0,1.0,0.0,0.0,0.0,30.0,1.0,0.0,4.0,6.0,0.31,82.0,1.0,0.0,2.0,1.0,2.4,2.0,1.0,0.9,0.0,0.0,1.0,1.0,0.0,1.0,0.91,0.09
19,5,0.0,0.0,1.0,2.0,1.0,1.0,28.0,1.0,0.0,0.0,4.0,0.68,75.0,5.0,0.0,5.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.9,0.1
19,6,0.0,0.0,1.0,2.0,1.0,1.0,28.0,1.0,0.0,0.0,4.0,0.68,75.0,5.0,0.0,5.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.9,0.1
19,7,1.0,0.0,1.0,2.0,1.0,2.0,36.0,1.0,1.0,0.0,5.0,0.21,85.0,4.0,0.0,2.0,1.0,3.0,0.0,2.0,0.8,0.0,4.0,1.0,1.0,0.0,0.0,0.84,0.16
19,8,0.0,0.0,1.0,3.0,0.0,0.0,25.0,1.0,0.0,1.0,3.0,0.93,75.0,1.0,0.0,0.0,1.0,9.0,2.0,1.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
19,9,0.0,0.0,1.0,1.0,0.0,0.0,36.0,1.0,0.0,0.0,1.0,3.6,100.0,0.0,3.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.98,0.02
