feature,mean_abs_weight,mean_weight,count,fraction_selected
MAJOR_COMMIT,0.07513272041002987,-0.07513272041002987,153,1.0
MAJOR_LINE,0.033008765381205785,-0.03080676309109728,153,1.0
CountDeclClassVariable,0.03100900922667781,0.018315068975579416,153,1.0
MaxNesting_Mean,0.03045971838327417,-0.01916307179228636,153,1.0
MINOR_COMMIT,0.01682624680997797,0.00806919963517153,153,1.0
CountClassDerived,0.015839561072228687,-0.014288538564381972,153,1.0
AvgLineComment,0.014797965660411711,-0.008296794269845512,152,0.9934640522875817
CountInput_Min,0.013001263077671204,-0.00477911553325494,153,1.0
OWN_COMMIT,0.012517944192003336,-0.009190144603310815,153,1.0
CountClassBase,0.008761293639172626,-0.0059145998009860964,153,1.0
MaxInheritanceTree,0.008032132842857755,-0.00047829153643387496,153,1.0
AvgEssential,0.007889544042003715,0.0031097571613994237,153,1.0
CountClassCoupled,0.007240655829563674,-0.0058262380309291595,153,1.0
CountOutput_Min,0.005899135949118508,-0.00012176844943681485,153,1.0
CountDeclMethodDefault,0.004717871616828779,-0.0016146213020722785,153,1.0
MaxNesting_Min,0.004304623090296728,-0.0010778968446295601,153,1.0
PercentLackOfCohesion,0.003851942546687327,0.0012858661456716619,153,1.0
MINOR_LINE,0.0038096597714367846,0.001442612388178825,153,1.0
CountLineComment,0.0037982126354313313,0.0009688493715433392,151,0.9869281045751634
CountDeclMethodProtected,0.0034572272208337764,0.001082554257566111,153,1.0
CountPath_Min,0.0033490062366950545,-0.0006458110411905709,153,1.0
AvgLineBlank,0.003348236635706835,0.0006734358530505807,153,1.0
CountInput_Mean,0.002829806931533699,0.0006486812788654969,153,1.0
RatioCommentToCode,0.002827081903283068,0.0004018946198001895,153,1.0
CountOutput_Mean,0.0027186656184119374,-0.00034800959977957457,153,1.0
