test_idx,candidate_id,CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
1,0,1.0,1.0,1.0,0.0,28.0,4.0,15.0,0.33505552411079437,0.0,90.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.487179487179487,0.0,1.0,0.0,3.0,4.0,0.5394148678816264,0.46058513211837354,1,0.46630229110689514
4,0,5.0,2.0,5.0,3.0,112.0,6.0,4.0,0.33503512620925907,2.0,88.0,1.0,0.0,27.0,2.0,4.54166666666667,1.0,1.0,1.0,1.84375,0.0,1.0,0.0,7.0,8.0,0.5171720096877623,0.48282799031223766,1,0.3075581177124279
24,0,6.0,1.0,22.0,0.0,108.487548828125,8.0,318.0,0.6351695674657825,0.0,100.0,2.0,5.0,3.0,1.0,8.8030303030303,0.0,0.0,0.0,0.368421052631579,0.0,0.37037037037037,1.0,4.0,14.0,0.5351711858393511,0.4648288141606489,2,8.908084636539176
64,0,3.0,1.0,1.0,0.0,22.0,6.0,0.0,0.3050120252370835,1.0,0.0,2.0,0.0,3.0,2.0,1.35714285714286,0.0,1.0,1.0,0.523809523809524,0.0,1.0,0.0,3.0,0.0,0.5165987630318751,0.4834012369681249,1,0.1488085819762871
108,0,3.0,1.0,1.0,2.0,96.0,2.0,6.0,0.3050155740976336,4.0,88.0,2.0,0.0,4.0,2.0,3.75,1.0,1.0,1.0,1.09677419354839,0.0,1.0,0.0,7.0,2.0,0.5019598986462396,0.4980401013537604,1,0.36703322084665757
173,0,41.0,1.0,10.0,1.0,71.47802734375,10.0,14.0,1.10509765625,1.0,96.0,2.0,1.0,89.0,2.0,5.8622754491018,0.0,1.0,1.0,1.3876404494382,0.0,0.307692307692308,0.0,6.0,9.0,0.5055951337114548,0.49440486628854524,2,15.313317898015132
174,0,12.0,1.0,1.0,3.0,71.486572265625,2.0,11.0,0.42,0.0,90.0,1.0,0.0,0.49169921875,2.0,5.61386138613861,1.0,1.0,1.0,0.557692307692308,0.0,0.333333333333333,0.0,6.0,8.0,0.5147834016619575,0.48521659833804254,2,24.663445817144225
183,0,2.0,2.0,42.0,4.0,113.49671173095703,2.0,0.0,1.1051025390625,0.0,96.0,1.0,0.0,23.0,2.0,5.18604651162791,1.0,1.0,1.0,1.35416666666667,0.0,0.833333333333333,0.0,4.0,9.0,0.5029616421424628,0.4970383578575372,2,8.72863533569375
184,0,1.485107421875,1.0,2.0,1.0,296.0,6.0,20.0,1.1051171875,1.0,100.0,1.0,0.0,74.0,3.0,6.05291005291005,0.0,1.0,0.0,1.5969387755102,0.0,0.5,0.0,5.0,9.0,0.5418167296644087,0.45818327033559125,2,77514892578125.0
220,0,16.0,1.0,6.0,3.0,93.4989058971405,2.0,0.0,1.1052501219511044,8.0,77.0,2.0,2.0,33.0,2.0,6.16279069767442,1.0,1.0,1.0,1.10869565217391,0.0,0.333333333333333,0.0,7.0,6.0,0.5381351720288949,0.4618648279711051,2,5.731545176927312
