test_idx,candidate_id,CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
1,0,1.0,1.0,1.0,0.0,28.0,4.0,15.0,0.22,0.0,90.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.487179487179487,0.0,1.0,0.0,3.0,4.0,0.60295784,0.39704216,1
1,1,1.0,1.0,1.0,0.0,28.0,4.0,15.0,43.0,0.0,90.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.2,0.0,1.0,0.0,3.0,4.0,0.9942862,0.0057138475,2
1,2,1.0,1.0,1.0,0.0,18.0,4.0,15.0,43.0,0.0,90.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.2,0.0,1.0,0.0,3.0,4.0,0.99851406,0.0014859685,3
1,3,1.0,1.0,1.0,0.0,18.0,4.0,15.0,43.0,0.0,100.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.2,0.0,1.0,0.0,3.0,4.0,0.9992382,0.0007618306,4
1,4,1.0,1.0,1.0,0.0,18.0,4.0,15.0,43.0,0.0,100.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.2,0.0,1.0,0.0,1.0,4.0,0.99938154,0.00061846816,5
1,5,1.0,1.0,1.0,0.0,28.0,4.0,15.0,43.0,0.0,78.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.2,0.0,1.0,0.0,3.0,4.0,0.9983242,0.0016757796,3
1,6,1.0,1.0,1.0,0.0,28.0,4.0,15.0,43.0,0.0,78.0,2.0,1.0,3.0,0.0,1.82352941176471,1.0,1.0,1.0,0.2,0.0,1.0,0.0,3.0,4.0,0.99911195,0.0008880604,4
1,7,1.0,21.0,1.0,0.0,28.0,4.0,15.0,43.0,0.0,78.0,2.0,1.0,3.0,0.0,1.82352941176471,1.0,1.0,1.0,0.2,0.0,1.0,0.0,3.0,4.0,0.9993083,0.000691701,5
1,8,1.0,1.0,1.0,0.0,28.0,4.0,15.0,43.0,0.0,78.0,2.0,104.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.2,0.0,1.0,0.0,3.0,4.0,0.9991157,0.0008843236,4
1,9,1.0,21.0,1.0,0.0,28.0,4.0,15.0,43.0,0.0,78.0,2.0,104.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.2,0.0,1.0,0.0,3.0,4.0,0.9993112,0.0006887905,5
1,10,1.0,1.0,1.0,0.0,18.0,4.0,15.0,43.0,0.0,100.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,0.2,0.0,1.0,0.0,3.0,4.0,0.999493,0.00050697406,5
1,11,1.0,1.0,1.0,0.0,18.0,4.0,15.0,43.0,0.0,100.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,3.0,4.0,0.99961686,0.0003831104,5
1,12,1.0,1.0,1.0,0.0,18.0,4.0,15.0,43.0,0.0,14.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,3.0,4.0,0.99981016,0.00018981658,5
