,Flipped,Plan,TP,Flip_Rate
jruby@2,20,20,20,1.0
hive@1,26,26,26,1.0
camel@0,38,38,38,1.0
hive@0,71,71,78,0.9102564102564102
camel@1,31,31,31,1.0
activemq@3,67,67,79,0.8481012658227848
activemq@2,67,67,67,1.0
lucene@2,3,3,3,1.0
derby@0,389,389,395,0.9848101265822785
jruby@0,37,37,37,1.0
derby@1,164,164,164,1.0
jruby@1,44,44,44,1.0
groovy@0,6,6,8,0.75
hbase@1,148,148,148,1.0
hbase@0,99,99,106,0.9339622641509434
camel@2,21,21,21,1.0
groovy@1,23,23,24,0.9583333333333334
wicket@0,34,34,34,1.0
activemq@0,46,46,46,1.0
wicket@1,9,9,9,1.0
activemq@1,37,37,37,1.0
lucene@0,127,127,128,0.9921875
lucene@1,107,107,107,1.0
