,Flipped,Plan,TP,Flip_Rate
jruby@2,8,20,20,0.4
hive@1,13,26,26,0.5
camel@0,26,38,38,0.6842105263157895
hive@0,16,78,78,0.20512820512820512
camel@1,16,31,31,0.5161290322580645
activemq@3,20,79,79,0.25316455696202533
activemq@2,20,67,67,0.29850746268656714
lucene@2,3,3,3,1.0
derby@0,67,395,395,0.16962025316455695
jruby@0,8,37,37,0.21621621621621623
derby@1,42,164,164,0.25609756097560976
jruby@1,4,44,44,0.09090909090909091
groovy@0,4,8,8,0.5
hbase@1,65,148,148,0.4391891891891892
hbase@0,39,106,106,0.36792452830188677
camel@2,13,21,21,0.6190476190476191
groovy@1,17,24,24,0.7083333333333334
wicket@0,22,34,34,0.6470588235294118
activemq@0,13,46,46,0.2826086956521739
wicket@1,2,9,9,0.2222222222222222
activemq@1,23,37,37,0.6216216216216216
lucene@0,31,128,128,0.2421875
lucene@1,62,107,107,0.5794392523364486
