test_idx,best_mean,n_changed,n_pool_rows,candidate_id
39,4.502848033652277,4,8,5.0
41,0.46556267270072904,3,15,2.0
46,0.1810320817174436,2,129,5.0
65,0.11467745450582979,1,1150,9.0
92,0.9373349183022648,5,15,1.0
104,0.18209516835197415,2,388,8.0
147,0.2238336986657497,2,159,5.0
148,0.15460510258237894,2,565,1.0
154,0.08101111613703098,2,434,6.0
218,0.14375479678093508,2,434,9.0
219,0.797116596702748,5,16,7.0
225,0.3305651999608734,2,315,5.0
230,0.20083074707681253,2,434,8.0
246,1.1188228291050155,4,8,0.0
287,0.3272737312034934,2,25,1.0
326,0.2824068896004758,2,557,5.0
359,0.1382460032247154,2,434,9.0
379,0.05494191252751829,1,1543,0.0
389,0.2182362890470547,1,1543,6.0
393,0.08187361419068735,1,1640,5.0
427,0.18493825223764823,1,627,2.0
500,0.21673133339933148,2,99,4.0
502,0.12014014171046096,1,627,3.0
503,0.06877022653721683,1,103,2.0
505,0.34653529417362855,2,84,7.0
695,0.14935139744113732,2,388,7.0
719,0.2720404602618038,2,23,3.0
726,1.1036732574858208,5,17,3.0
727,0.26990410174378354,1,1543,8.0
737,0.1457638025900518,2,434,8.0
754,0.20024875621890548,1,134,4.0
757,0.23626373626373626,1,182,3.0
788,0.09385353310586954,1,567,8.0
832,3.143390478552125,3,8,4.0
834,0.266104626026805,1,514,0.0
886,0.131701051425855,2,105,0.0
913,0.2226507771679111,1,567,6.0
914,0.15931287932900817,2,89,0.0
991,0.12304951854704232,2,388,3.0
1009,0.2077646531566109,2,129,1.0
1011,0.14093067525388156,2,129,2.0
1028,0.041289620728873065,1,567,2.0
1093,0.14450221984387612,2,105,4.0
1103,0.14588271487374108,2,950,3.0
1105,0.2084869401521688,1,627,6.0
1134,0.1519858566458618,2,558,0.0
1169,0.24611524154281783,2,86,6.0
1309,0.2911600909875284,1,627,5.0
1318,0.3045140910668488,2,177,6.0
1335,0.06406053923661151,2,509,7.0
1366,0.37185754189944137,1,179,1.0
1390,0.16206548981148522,1,1150,7.0
1496,0.2358730691548605,3,110,8.0
1504,0.13347988859145726,2,434,1.0
1505,0.5664122523613675,2,158,7.0
1506,0.14833551269478037,1,1150,6.0
1582,0.08091264613003742,1,189,3.0
1583,0.14751394443247046,1,1543,3.0
1594,0.03350736284979946,1,1543,4.0
1595,0.15344720062243755,1,1543,4.0
1598,0.11214953271028037,1,567,3.0
1600,0.18768249558640696,2,129,2.0
1601,0.5652620760534429,1,139,5.0
1712,0.19396480331262939,1,1150,2.0
1721,0.14450221984387612,2,105,4.0
1722,0.16644382695870105,1,1150,1.0
1735,0.1275195020784137,1,1543,7.0
1762,0.15831371908030947,1,1150,4.0
1765,0.15938578725121685,2,84,8.0
1795,0.084614258527302,1,189,4.0
41,0.7319896299937309,3,484,2.0
43,0.2697074010327023,1,415,1.0
48,0.8492107861645026,4,57,3.0
58,0.28747848537005166,1,415,7.0
67,0.2321188841669391,1,1150,6.0
97,0.8815839135095939,2,184,3.0
110,0.1770043169975452,1,1543,9.0
111,0.3103761348897535,1,514,5.0
133,0.2513362298244265,2,236,6.0
153,0.3379131574079128,2,434,9.0
156,0.16452307756655582,1,189,7.0
165,0.20404160279549688,1,567,1.0
166,0.11957123157768992,2,81,9.0
185,0.0834575260804769,1,627,4.0
212,0.2815773128473357,1,1150,7.0
228,0.27993615631143326,2,452,7.0
229,0.7321478499518231,4,70,8.0
236,0.10806275371157413,2,434,4.0
243,0.13320081880514625,2,509,7.0
259,0.47917156858321996,3,318,9.0
409,0.3491058995867528,1,1697,2.0
445,0.2420845113356724,2,947,0.0
520,0.07295902800479459,1,1150,2.0
522,0.08828563236241681,1,1543,9.0
523,0.7999906751409127,4,70,7.0
714,0.31398724497326247,2,159,5.0
739,0.19461571552312104,2,188,6.0
745,0.21340388007054673,1,567,4.0
746,0.698106712564544,1,415,0.0
757,0.2218608889891187,2,565,3.0
776,0.225238640078457,1,1150,0.0
789,0.20415698297318233,1,567,5.0
790,0.1764162916810892,1,567,6.0
791,0.09784842541135445,1,1150,6.0
793,0.10735482521504956,1,627,9.0
838,0.25258142309036824,2,1047,4.0
855,0.4023992743102775,2,236,4.0
857,0.3766781411359724,1,415,4.0
891,0.2779838673616734,2,290,6.0
893,0.47494614043890754,2,188,0.0
900,0.12014014171046096,1,627,9.0
911,0.14542749614798234,2,325,2.0
912,0.16297174883861537,1,1697,8.0
913,0.183331698812248,1,1150,4.0
917,0.2533275012185519,2,85,4.0
1143,0.18554553821437977,2,120,9.0
1153,0.314785332897461,1,1150,4.0
1452,0.18154044750430295,1,415,1.0
1665,0.2866439605978562,2,302,4.0
1667,0.01994279176201372,1,1150,9.0
1677,0.11601527657780403,2,86,3.0
1802,0.01523972975918056,1,1150,4.0
1803,0.09661276710351058,1,1543,1.0
1818,0.0723269599452531,1,1543,8.0
16,0.10995320469004681,1,209,0.0
78,0.4996724212108702,2,199,4.0
80,0.3387358138529258,2,433,2.0
85,3.1518750278722094,4,36,4.0
86,0.22722479322997013,1,627,6.0
95,0.2974164378477156,2,348,3.0
96,0.2325498296162662,1,627,1.0
104,1.350979599719066,3,515,1.0
134,0.4502926594716372,2,158,6.0
147,0.8372976735918651,4,5,4.0
166,0.4446019002958779,2,199,9.0
172,0.5004269970928531,2,199,8.0
192,0.5328077944609618,2,158,4.0
195,1.2998080347615462,2,1047,5.0
202,0.14766443151560973,2,433,1.0
207,0.19483240223463688,1,179,1.0
213,0.16394192001743488,1,1150,3.0
251,5.4544669309521865,4,38,2.0
263,0.10735482521504956,1,627,7.0
267,0.32048413068073106,2,433,3.0
268,0.5665989824500882,3,31,0.0
275,0.8912572887667863,4,12,3.0
282,0.4785616212947553,2,158,6.0
283,0.2574528461336291,2,565,9.0
284,0.4368004277230803,2,158,9.0
299,1.2990259992919333,2,1047,2.0
302,0.9915293779970308,3,61,3.0
432,0.30755511763945326,2,119,5.0
455,0.2098447073354942,2,39,6.0
543,0.1387034018612966,1,209,4.0
546,1.2993071615087661,2,1047,4.0
548,1.3105461969478065,2,1047,0.0
567,0.3043965142974033,2,433,6.0
729,0.6894397698219061,2,133,3.0
755,0.15373687530313007,2,509,1.0
762,0.8004676985718935,4,12,0.0
773,0.5312090102012722,2,199,5.0
778,0.47330663615560653,1,1150,6.0
786,0.09577114427860697,1,134,9.0
790,0.6819640858465973,2,208,5.0
792,0.2777401587227029,2,158,0.0
793,0.11156430569717889,1,627,4.0
795,0.25913435865915685,2,565,8.0
805,0.38494203044804226,3,71,1.0
854,0.2632539089700749,2,25,1.0
861,0.18626171412971873,2,137,8.0
863,0.1939312960899892,2,532,2.0
871,2.8479885194267176,3,185,1.0
877,0.21205849295038084,2,137,4.0
893,0.15962984384037016,1,209,2.0
909,0.792518315144226,3,54,6.0
916,0.31770939874745024,2,85,8.0
927,0.41955821865645676,2,158,9.0
928,0.19932011492938814,2,433,2.0
929,1.0114659083556266,3,38,0.0
934,1.7220594880412445,3,16,1.0
960,0.30720031471188924,2,85,8.0
962,0.215246421581822,2,137,6.0
972,0.33474954867762446,2,158,6.0
992,0.2307797465692203,1,209,3.0
1014,0.10844448076713523,1,1150,1.0
1027,0.11279723303069604,1,514,6.0
1043,1.0062364065394056,3,38,7.0
1054,0.22231381666649958,2,137,5.0
1059,0.5190153728890283,2,19,4.0
1061,0.1471139250113104,1,1697,3.0
1112,0.20035628473805298,2,137,6.0
1165,0.15768933202571642,1,1150,0.0
1255,0.14023264683447745,1,1150,5.0
1467,0.451549200607275,2,119,8.0
