test_idx,best_mean,n_changed,n_pool_rows,candidate_id
39,0.13357174226739446,1,189,0.0
41,0.4581356902433376,2,367,5.0
46,0.5597848453406767,1,1543,0.0
56,0.07721103373277287,1,189,6.0
65,0.6448804287561156,2,177,1.0
104,0.19500568155316814,2,113,7.0
127,0.2627892046688914,1,1543,5.0
147,0.11003325942350331,1,1640,2.0
148,0.626959247648903,1,55,4.0
149,0.7940143176360054,2,89,6.0
154,0.38078021381995064,1,1543,0.0
157,0.2765809904912596,2,66,9.0
203,0.6535026854471708,2,15,1.0
218,0.5062925752392182,2,25,5.0
225,0.13357174226739446,1,189,3.0
226,0.1954744128657172,1,189,6.0
230,0.1954744128657172,1,189,1.0
246,0.4773701808210734,2,20,6.0
326,0.4247145890804204,1,1543,1.0
359,0.3821474579670695,2,125,8.0
389,0.31917573531014265,2,177,3.0
393,0.18773657904092683,1,189,0.0
427,0.09571909571909569,1,189,5.0
503,0.46179848903179543,2,65,0.0
505,0.04410565280130497,1,189,1.0
725,0.07721103373277287,1,189,8.0
726,0.6887147267682266,2,42,2.0
737,0.2226507771679111,1,567,4.0
771,0.05142522533826881,1,189,2.0
832,0.14517849300457994,1,189,0.0
834,0.548162568599918,2,516,6.0
866,0.28752776896223425,1,137,1.0
884,0.6526492337517253,2,130,5.0
886,0.07721103373277287,1,189,0.0
913,0.12970282535499925,1,189,1.0
914,0.27340380776307505,2,10,4.0
991,0.29323824509599133,1,1543,0.0
1009,0.21904056295462807,2,39,8.0
1093,0.13744065917978962,1,189,4.0
1105,0.5984741062327581,2,28,2.0
1134,0.6630654226755949,2,615,7.0
1169,0.13357174226739446,1,189,0.0
1318,0.2054291085047442,2,158,0.0
1326,0.6208500635272076,2,84,4.0
1390,0.09571909571909569,1,189,8.0
1496,0.46007883569850555,2,65,4.0
1504,0.06610619654097914,1,189,8.0
1582,0.12377246994131082,2,66,7.0
1583,0.28599231268569364,2,66,9.0
1601,0.09571909571909569,1,189,8.0
1712,0.3668883961566887,1,205,6.0
1721,0.6064624858392093,2,15,7.0
1722,0.35440658261664926,2,950,3.0
1735,0.46336420443008186,2,54,6.0
1765,0.25314245810055863,1,179,0.0
41,0.4011422600663912,2,89,8.0
43,0.467425754207983,2,85,5.0
48,0.17999874521613657,1,189,6.0
58,0.6934169278996868,1,55,4.0
153,0.06980780893824372,1,189,5.0
212,0.6132248542950481,2,25,3.0
228,0.34020761747705086,2,10,7.0
236,0.8568161507927422,2,43,1.0
243,0.45487626779873547,1,1543,2.0
259,0.5583851714540422,2,85,2.0
262,0.2483370288248337,1,205,1.0
523,0.5890402900199252,1,1543,5.0
739,0.8227429165066156,2,51,9.0
746,0.468106428360595,2,17,3.0
776,0.3284671532846715,1,137,0.0
779,0.084614258527302,1,189,6.0
789,0.5597014925373135,1,134,5.0
855,0.4132973663020441,2,10,1.0
857,0.9048453623462862,2,24,9.0
893,0.964131607335491,1,103,6.0
911,0.2472231037765789,1,137,5.0
913,0.5498107224590181,2,42,9.0
80,0.33796829029094466,1,1150,7.0
104,0.5431472028952608,2,86,6.0
147,0.6026177266400178,1,1543,6.0
166,0.09804931910195067,1,209,6.0
172,0.5652620760534429,1,139,8.0
192,0.38753877701246126,1,209,3.0
195,0.5316470902640026,2,236,2.0
251,0.5532702237521516,1,415,7.0
267,0.6835863717630497,2,117,0.0
275,0.24337767495662235,1,209,7.0
282,0.5661121020249495,2,19,2.0
283,0.17009306482990696,1,209,1.0
284,0.19160549595332202,1,189,0.0
302,0.17612982830374133,1,189,8.0
567,1.0482666115034396,2,236,4.0
755,0.5769401330376941,1,205,3.0
762,0.49001283292279235,2,119,8.0
773,0.4300735534488394,1,1150,0.0
790,0.15678524374176547,1,189,9.0
792,0.7145590537705441,2,59,4.0
795,0.5707905576502661,2,76,6.0
805,0.3605246812683883,1,1150,7.0
854,0.42163577759871074,1,146,3.0
861,0.13663178926336822,1,209,0.0
863,0.15678524374176547,1,189,1.0
871,0.485765866907164,2,147,1.0
873,0.5701119427113666,2,62,3.0
909,0.5634920634920634,1,21,0.0
927,0.11826337913294434,1,189,3.0
929,1.0587004277150804,2,47,7.0
934,0.6148590325413396,2,13,7.0
972,0.4826052807176676,2,13,2.0
1043,0.49892125134843585,1,103,8.0
1103,0.529085977776692,2,615,0.0
1467,0.09201748332183116,1,189,1.0
1671,0.09571909571909569,1,189,9.0
1744,0.6078748651564185,1,103,5.0
1940,0.47168284789644016,1,103,3.0
1950,0.4365593372986678,2,13,6.0
92,0.36363636363636376,1,55,7.0
101,0.11826337913294434,1,189,2.0
132,0.3798700650279655,2,130,3.0
147,0.48691796008869176,1,205,1.0
148,0.47168284789644016,1,103,6.0
153,0.5634920634920634,1,21,5.0
193,0.31225296442687744,1,189,4.0
199,0.795990959714912,2,23,8.0
203,0.7701091210623551,2,47,6.0
205,0.22255683125248338,1,189,7.0
215,0.19160549595332202,1,189,2.0
218,0.7225240985059022,2,115,7.0
255,0.5368342113206288,2,119,3.0
271,0.6892560584531998,2,85,5.0
272,0.998227410289667,1,514,6.0
279,0.5270174137074095,2,236,6.0
286,0.32007445050923305,1,189,2.0
287,0.20321224669050755,1,189,4.0
303,0.5887759594645577,2,615,6.0
312,0.2731455340150992,1,189,7.0
816,0.9379749130527945,1,567,1.0
835,0.35553450987776336,2,81,6.0
853,0.5762196771129193,2,130,3.0
858,0.5420006748946127,2,120,8.0
941,0.3818991548607044,2,86,0.0
980,0.38388102289348736,2,86,4.0
1004,0.3607256125581274,2,66,6.0
1137,0.26826228588572404,2,147,3.0
1201,0.062404584143714574,1,189,9.0
1229,0.5639409923971835,2,63,4.0
2171,0.3569937588171539,2,245,0.0
2254,0.7435535858178888,1,146,1.0
11,0.10338865493309779,2,86,9.0
52,0.1455674509566725,1,891,5.0
107,0.11267166582962436,1,511,2.0
110,0.20282978172720212,1,173,5.0
166,0.1567462722754273,1,511,3.0
348,0.12650024281489594,2,389,0.0
364,0.20282978172720212,1,173,7.0
377,0.2585626779397809,1,173,0.0
387,0.20346320346320343,1,242,0.0
422,0.20941176470588235,1,85,4.0
454,0.3280057111263813,2,55,8.0
695,0.18893969459063062,1,173,8.0
720,0.5004757095593682,3,91,5.0
785,0.16287878787878785,1,440,9.0
799,0.13897230563897228,1,324,5.0
810,0.20272594945084033,1,229,2.0
818,0.32287944951700415,1,229,3.0
831,0.276171875,1,320,4.0
865,0.20282978172720212,1,173,5.0
920,0.22962962962962957,1,81,5.0
923,0.23060995600034506,1,173,6.0
965,0.27262531274264507,1,173,2.0
987,0.155859375,1,320,2.0
1143,0.9035976160336094,2,5,0.0
1499,0.176078431372549,1,85,1.0
1620,0.2439314474133896,2,143,2.0
1682,0.17504960745405915,1,173,5.0
1735,0.0864000831269591,1,511,4.0
1744,0.2205451987807526,2,55,6.0
1764,0.13897230563897228,1,324,2.0
2513,0.3833333333333333,1,6,6.0
2585,0.4794499464864474,2,152,5.0
2617,0.2473268838974303,3,68,0.0
2899,0.2585626779397809,1,173,6.0
2901,0.23990746560047072,1,901,0.0
2906,0.12148658711878495,1,511,9.0
57,0.3074342419940603,2,61,4.0
115,0.22369659955648621,1,263,5.0
141,0.6156004823117072,2,48,8.0
