test_idx,best_mean,n_changed,n_pool_rows,candidate_id
39,4.502848033652277,4,8,6.0
41,0.25775624412212494,2,557,2.0
46,1.3023686383876343,4,8,2.0
65,0.15511277739960666,2,565,3.0
92,1.34590346376845,3,27,6.0
104,0.44044485241806874,2,129,0.0
147,0.15831371908030947,1,1150,6.0
148,0.34298082161926546,1,1150,7.0
154,0.08101111613703098,2,434,8.0
203,0.1433491337038248,1,1150,4.0
218,0.3717916278314374,2,84,3.0
219,2.483110605856407,8,5,4.0
225,0.18013703567150552,2,138,9.0
230,0.2844602909671518,2,315,4.0
246,1.7521520745782073,4,8,0.0
282,0.17195137530402113,2,202,5.0
287,0.04410565280130497,1,189,2.0
359,0.1382460032247154,2,434,0.0
379,0.08628606718022497,2,509,4.0
389,0.24611524154281783,2,86,3.0
393,0.3470466206508614,2,84,3.0
427,0.9661661122021717,2,27,7.0
431,0.05142522533826881,1,189,1.0
461,0.14130957609218478,1,189,4.0
500,0.4463642802658821,1,1150,4.0
503,0.2483370288248337,1,205,1.0
505,0.09080774870049894,2,509,7.0
695,0.13424124513618677,1,514,8.0
725,0.1535109507499499,1,627,7.0
726,0.7602648097787348,2,516,8.0
727,0.1746429114822451,2,29,5.0
729,0.47325365540996306,2,53,8.0
737,0.1457638025900518,2,434,9.0
754,0.20024875621890548,1,134,1.0
756,0.09998031254665031,2,434,1.0
757,0.12892514445577433,1,627,8.0
788,0.13104854632627636,1,1543,5.0
805,0.3470466206508614,2,84,1.0
832,0.6335822656263008,3,51,8.0
834,0.10320597277119016,1,189,6.0
884,0.19909321061361207,2,434,9.0
886,0.08360458148927397,2,434,8.0
913,0.1810320817174436,2,129,6.0
914,0.29278886784719316,2,1554,1.0
991,0.24607157938279275,2,202,1.0
1009,0.2607521756363901,3,51,4.0
1011,0.10873326435550346,2,66,3.0
1028,0.14829673159011064,2,388,8.0
1093,0.20122008282764406,2,434,8.0
1103,0.08302463552934129,1,1543,7.0
1105,0.07331855136733183,1,205,4.0
1118,0.22448811500078727,2,202,9.0
1134,0.07847270751159707,2,434,8.0
1169,0.16715777620796146,2,129,2.0
1318,0.2198123866962412,2,388,7.0
