test_idx,best_mean,n_changed,n_pool_rows,candidate_id
39,4.502848033652277,4,8,6.0
40,0.1529163268293703,1,189,8.0
41,0.20835076822491005,1,1150,3.0
46,1.3023686383876343,4,8,7.0
56,0.6117368109069352,1,241,7.0
65,0.16581835022338456,1,1150,3.0
92,2.722563832524893,5,12,7.0
104,0.16715777620796146,2,129,4.0
147,0.2238336986657497,2,159,5.0
148,0.05633776792313377,1,1640,3.0
154,0.08101111613703098,2,434,9.0
218,0.45934180969538285,1,3004,0.0
219,0.764337074050446,4,8,0.0
225,0.37214540582756794,2,84,3.0
230,0.3719122944382076,2,84,0.0
246,1.7521520745782073,4,8,2.0
282,0.508492554444393,2,55,1.0
287,0.18773212736789613,2,125,6.0
359,0.1382460032247154,2,434,7.0
379,0.1627254070915188,2,434,0.0
389,0.1697663720173269,1,1543,0.0
393,0.21036420194238523,2,89,5.0
427,1.6114202136774678,3,68,1.0
502,0.31917758921465217,2,565,0.0
503,0.15678679243970864,2,950,3.0
505,0.07553157727705491,1,137,0.0
695,0.07847270751159707,2,434,2.0
725,0.13944937176644495,1,1640,5.0
727,0.45886823367410084,1,627,7.0
729,0.1873317484517491,2,89,9.0
737,0.3616011754153895,2,84,6.0
754,0.26812629313353314,2,92,4.0
757,0.28295792900088435,2,129,1.0
771,0.040487692661605706,1,189,4.0
773,0.44837044005676285,2,61,2.0
816,0.2483883964544722,1,146,4.0
832,0.6423022192686226,4,36,3.0
884,0.3204873823894833,2,55,2.0
886,0.4477715119787429,2,84,9.0
913,0.16894573389996725,1,1150,9.0
914,0.17872804075045465,2,105,8.0
983,0.28853427858473324,2,84,7.0
991,0.14093067525388156,2,129,2.0
1009,0.6054705016892756,2,81,2.0
1011,0.20951684995717756,2,290,9.0
1093,0.16650203107093314,2,388,6.0
1103,0.28101402373247036,1,103,4.0
1105,0.3227378327279142,2,130,8.0
1134,0.43656918998444716,2,84,9.0
1169,0.2374226462984896,2,138,7.0
1318,0.14057137863578806,2,434,9.0
1335,0.15768933202571642,1,1150,1.0
1366,0.18431988297250168,3,191,4.0
1429,0.15379082767008764,2,125,8.0
1496,0.14057137863578806,2,434,3.0
1506,0.09946253424514294,1,189,2.0
1582,0.8025132084248388,3,9,2.0
1583,0.2605470470135007,2,55,6.0
1594,0.6928275086266681,2,615,0.0
1595,0.1311101627020872,2,950,5.0
1598,0.16719778316234366,2,950,2.0
1600,0.24457901287666883,2,74,8.0
1601,0.34846574929505514,2,130,9.0
1721,0.155205688136225,2,434,0.0
1722,0.33125225267816444,2,236,3.0
1735,0.4137828266317968,1,1150,3.0
1762,0.40301512770728076,2,20,8.0
43,1.1452422294356153,4,14,0.0
48,2.927541250425633,6,39,1.0
58,0.5808079251912782,5,60,1.0
67,0.408143728887436,1,1150,6.0
97,1.5579743356098041,3,177,1.0
110,0.3929257724924921,2,1047,3.0
111,0.17439276283107172,1,627,9.0
127,0.3487344438146747,2,1167,3.0
133,0.12153372561839379,1,1150,1.0
153,0.3515329108559963,2,452,9.0
156,0.3188962343740904,2,236,1.0
162,0.16621601925806195,2,66,3.0
165,0.3979910475831985,2,54,1.0
212,0.4659638554216867,1,415,1.0
228,0.29650607359783837,2,99,7.0
229,1.0876766442626873,4,277,7.0
236,0.24315399043289607,2,188,9.0
243,0.5228772756412534,2,615,0.0
259,1.8397324264363897,2,236,0.0
409,0.194806290169439,2,86,6.0
445,0.42163577759871074,1,146,5.0
523,1.1688382442075342,5,54,6.0
739,0.3213672597431303,2,153,4.0
745,0.31669564676364415,2,395,2.0
746,1.8385585422698905,4,12,6.0
776,0.06604343697596997,1,1543,3.0
789,0.3376084059690322,2,117,3.0
790,0.17058050191769178,2,290,7.0
791,0.12405472316694267,2,99,7.0
793,0.4893104445656546,2,137,0.0
838,0.22018533440773574,1,146,3.0
855,0.5228060866052561,3,51,9.0
857,0.3458759605980055,2,99,5.0
893,0.13960934946060805,1,1150,5.0
911,0.14542749614798234,2,325,1.0
913,0.11821007136738448,1,1543,2.0
917,0.35464764375270214,1,514,4.0
1143,0.32260545619746045,2,81,0.0
1367,0.13273012190454211,2,509,6.0
1452,0.2845134836095837,2,85,0.0
1677,0.11604831404328715,1,1543,0.0
1802,0.21982862754568533,2,565,6.0
1803,0.22825591125851782,2,565,4.0
1818,0.5150951785108606,1,1543,9.0
16,0.14708891794704146,1,1150,5.0
80,1.7597258982950676,4,50,6.0
86,0.20397243107769422,1,1150,9.0
95,0.36717146664440875,2,119,6.0
104,0.4248181500775719,2,434,7.0
134,2.104114611018427,5,32,3.0
147,0.6904595992206171,3,35,2.0
166,4.592325855729299,5,25,8.0
172,0.8872481863279669,3,38,8.0
192,4.895331310968335,4,15,2.0
195,1.793803780975066,4,50,3.0
202,0.2434759572010382,2,130,3.0
207,0.09577114427860697,1,134,7.0
267,1.1901737895699602,3,15,1.0
275,4.190408823689839,3,8,3.0
282,0.9034428558959322,3,38,2.0
284,8.564591664547759,5,8,6.0
302,5.505534240780217,4,38,1.0
432,2.6796419767106308,3,185,6.0
543,0.0909954233409611,1,1150,4.0
548,0.304879191854898,2,433,4.0
567,1.4220905518155835,3,143,7.0
729,1.2244133173401046,3,8,4.0
773,0.7020807467030551,3,115,5.0
790,2.3384228653189467,4,5,9.0
792,0.6674199334146912,3,6,5.0
793,0.18896098943009698,1,1150,0.0
795,0.32704499348300003,2,433,3.0
805,0.3449282037406345,2,565,3.0
809,0.16008869179600885,1,205,5.0
854,0.478694960205303,2,123,8.0
861,0.09290489014388928,1,627,6.0
863,1.8177606526062846,4,8,9.0
871,6.3792038463483784,5,18,8.0
873,0.02975929062885584,1,189,7.0
909,0.27728370395513524,3,31,3.0
916,0.5215522501906941,1,1150,2.0
927,18.899725148166375,5,9,5.0
928,0.3273486013574361,2,834,3.0
929,5.477245408858221,4,38,0.0
934,1.1284306059621165,4,8,1.0
960,0.4605453231167849,1,1543,9.0
962,0.15644055791653041,1,1150,1.0
972,18.856477014909856,5,9,5.0
992,0.35039214195949914,2,834,5.0
1043,8.294849679983892,6,9,9.0
1054,2.666028351347153,4,23,0.0
1059,0.7972910672478873,3,64,7.0
1103,0.10047581596788552,1,1543,1.0
1112,0.16590777643409227,1,209,7.0
1165,0.4508831370604589,2,119,9.0
1255,0.18395717554756458,1,1150,6.0
1467,0.5549514667004134,2,133,9.0
1535,0.35272002531457386,2,434,4.0
1671,0.04934282221316269,1,1543,4.0
1727,0.1028348044023101,1,1150,4.0
1732,0.6383451862548744,2,834,6.0
1744,0.33258298828302,2,532,3.0
1866,0.3054199416128411,2,199,4.0
1888,0.13392573786099649,1,137,3.0
1940,1.3113510618287942,4,8,1.0
1941,0.33725867268079224,2,66,1.0
1942,0.36547956198045345,2,47,8.0
1947,0.24185190402570694,2,565,0.0
1950,0.15962984384037016,1,209,3.0
1953,0.13189671247802492,1,1543,7.0
1956,0.15581617086193744,1,1150,5.0
1957,0.2577677890378119,1,1150,3.0
1968,0.043902691511387155,1,1150,4.0
1970,0.14079604605920396,1,209,7.0
1996,0.07339058623537646,1,1543,5.0
1998,0.22849566069628688,2,133,9.0
2004,0.1873606421711352,2,137,1.0
2032,0.15594466061392132,1,514,8.0
2064,0.16832025716465074,1,1150,5.0
13,0.35694494154983303,2,834,4.0
75,1.5942253181664272,4,18,4.0
77,0.7572747816128329,3,25,9.0
92,0.2102684416243663,4,5,8.0
101,0.2827177714591309,2,565,1.0
128,0.42344625250497114,1,564,5.0
132,1.0457780363277336,5,87,4.0
136,2.371443993098273,3,64,1.0
147,0.3896774763941462,2,70,9.0
148,0.508610557485454,2,117,7.0
153,1.0383849528039137,6,63,0.0
181,0.2265208282042783,3,44,8.0
193,1.070318761607466,4,108,8.0
199,1.0065291898898432,2,118,0.0
203,0.2166095815793831,1,627,2.0
204,0.2853367113435763,1,1150,9.0
205,0.4203971775949317,2,302,7.0
206,0.2786343775589343,2,27,6.0
215,0.21326945700332242,2,59,4.0
218,0.3643430451778362,2,62,2.0
255,0.9636369617165135,3,284,7.0
271,0.86325560974926,5,5,3.0
272,2.4154848092986243,5,72,1.0
273,0.1359982007846199,1,1543,7.0
279,1.1751785014067948,5,5,2.0
286,1.496234530819584,2,947,0.0
287,0.530953790557922,2,532,0.0
303,2.570219187547882,5,66,1.0
312,1.0320771322190212,5,87,4.0
314,0.3713153955427566,2,86,9.0
328,0.27029911735861395,1,1150,0.0
551,2.5275227176500357,5,29,2.0
569,0.25150866296175217,1,1150,1.0
816,0.37881033537897185,4,367,4.0
835,0.7128872562275411,2,123,0.0
849,0.08912880026152337,1,1150,7.0
852,0.18054540546537165,2,922,0.0
853,1.349543233909337,6,18,7.0
855,0.21849447781495399,3,453,7.0
856,0.0915046390792897,1,564,0.0
858,0.5239122913315494,3,269,2.0
885,2.1057874759095228,6,18,8.0
886,1.1283429065374064,5,5,6.0
900,0.2687903262918341,2,61,8.0
901,0.054366895499618616,1,1150,1.0
941,1.1345189832057765,6,63,6.0
977,0.009388144273727797,1,1150,0.0
980,1.323294281979214,4,75,5.0
990,0.5604754702389871,1,1697,1.0
1004,0.3984746706335315,3,20,4.0
1037,0.2172602336327883,2,509,2.0
1047,0.0698534379426828,1,1150,4.0
1066,0.23172594340907487,2,52,6.0
1072,0.16144001307616868,1,1150,1.0
1137,0.619778414485124,4,20,3.0
1142,0.08254419703354945,2,950,1.0
1161,0.19858881198718126,1,1543,1.0
1167,0.0681515151810343,1,1543,2.0
1173,0.20562135483371644,2,45,6.0
1201,0.12634433639157577,1,1543,8.0
1212,0.5526988788762334,2,123,7.0
1229,0.07855126947804292,1,1150,5.0
1282,0.15898570808788245,2,509,5.0
1610,0.7042536103969492,3,59,0.0
1645,0.9062523376945496,7,5,0.0
1692,0.07572236232672372,1,567,7.0
1730,0.23778982158805786,1,1543,1.0
1881,0.07024335196019789,2,565,9.0
1925,0.07618012305811925,1,1543,6.0
2004,0.2218331171638565,1,514,3.0
2013,0.7475472260103161,2,49,3.0
2015,0.5175920271166194,3,269,5.0
2049,0.07668573607932874,1,1150,1.0
2158,0.28824038045827927,1,514,2.0
2201,0.28850683353119744,2,1167,5.0
2254,0.28886656841382036,2,236,0.0
2282,0.07006692770831528,2,558,9.0
2283,0.17849135742187797,2,434,3.0
2289,0.05189985834150592,1,1150,0.0
2293,0.30560032232070905,1,146,7.0
2311,0.18496507587987812,1,1697,5.0
2437,0.17779114245023164,2,922,9.0
