test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
210,0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,1.0,0.0,3.0,0.67,0.0,10.0,60.0,2.0,0.0,10.0,2.0,3.4,1.0,2.9,1.0,1.0,0.416666666666667,0.0,1.0,1.0,0.0,3.0,3.0,0.71,0.29,1
210,1,0.0,0.0,1.0,0.0,0.0,0.0,43.0,1.0,0.0,3.0,1.0,0.0,10.0,60.0,2.0,0.0,3.0,2.0,3.4,1.0,2.9,1.0,1.0,0.416666666666667,0.0,1.0,1.0,0.0,3.0,3.0,0.85,0.15,2
210,2,0.0,0.0,1.0,0.0,0.0,0.0,43.0,1.0,0.0,3.0,1.0,0.0,2.0,60.0,2.0,0.0,3.0,2.0,3.4,1.0,2.9,1.0,1.0,0.416666666666667,0.0,1.0,1.0,0.0,3.0,3.0,0.9,0.1,3
210,3,0.0,0.0,1.0,0.0,0.0,0.0,43.0,1.0,0.0,3.0,0.67,0.0,10.0,72.0,2.0,0.0,12.0,2.0,3.4,1.0,2.9,1.0,1.0,0.416666666666667,0.0,1.0,1.0,0.0,3.0,3.0,0.6,0.4,1
210,4,0.0,0.0,1.0,0.0,0.0,0.0,43.0,1.0,0.0,3.0,0.67,0.0,10.0,87.0,2.0,0.0,12.0,2.0,3.4,1.0,2.9,1.0,1.0,0.416666666666667,0.0,1.0,1.0,0.0,3.0,3.0,0.67,0.33,1
210,5,0.0,0.0,1.0,0.0,0.0,0.0,43.0,1.0,0.0,3.0,0.67,0.0,10.0,87.0,2.0,0.0,12.0,2.0,3.4,1.0,1.7,1.0,1.0,0.416666666666667,0.0,1.0,1.0,0.0,3.0,3.0,0.79,0.21,2
210,6,0.0,0.0,1.0,0.0,0.0,0.0,43.0,1.0,0.0,3.0,1.0,0.0,10.0,87.0,2.0,0.0,12.0,2.0,3.4,1.0,1.7,1.0,1.0,0.416666666666667,0.0,1.0,1.0,0.0,3.0,3.0,0.86,0.14,3
210,7,0.0,0.0,1.0,0.0,0.0,0.0,43.0,1.0,0.0,3.0,1.0,0.0,10.0,87.0,2.0,0.0,12.0,2.0,3.4,1.0,1.7,1.0,1.0,0.7,0.0,1.0,1.0,0.0,3.0,3.0,0.87,0.13,4
210,8,0.0,0.0,1.0,0.0,0.0,0.0,43.0,1.0,0.0,3.0,1.0,0.0,10.0,33.0,2.0,0.0,12.0,2.0,3.4,1.0,1.7,1.0,1.0,0.7,0.0,1.0,1.0,0.0,3.0,3.0,0.88,0.12,4
210,9,0.0,0.0,1.0,0.0,2.0,0.0,43.0,1.0,0.0,3.0,1.0,0.0,10.0,33.0,2.0,0.0,12.0,2.0,3.4,1.0,1.7,1.0,1.0,0.7,0.0,1.0,1.0,0.0,3.0,3.0,0.89,0.11,5
