test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
820,0,3.0,0.0,1.0,12.0,0.0,0.0,1.0,0.0,17.0,11.0,0.27,0.0,80.0,3.0,2.0,8.0,1.0,3.5,0.0,12.0,1.0,0.8125,0.1,0.0,2.0,1.0,0.6210066459095451,0.3789933540904548
820,1,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,11.0,0.27,44.0,80.0,3.0,2.0,8.0,1.0,3.5,0.0,21.0,1.0,0.8125,0.0,0.0,2.0,1.0,0.6212008102710599,0.3787991897289401
820,2,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,11.0,0.27,0.0,80.0,3.0,2.0,8.0,1.0,3.5,0.0,15.0,1.0,0.8125,0.0,0.0,2.0,1.0,0.5844120302741778,0.41558796972582224
820,3,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,11.0,0.27,57.0,80.0,3.0,2.0,8.0,1.0,3.5,0.0,12.0,1.0,0.8125,0.1,0.0,2.0,1.0,0.6756326802430159,0.3243673197569841
820,4,3.0,0.0,1.0,27.0,0.0,0.0,1.0,0.0,17.0,11.0,0.27,0.0,80.0,3.0,2.0,8.0,1.0,3.5,0.0,9.0,1.0,0.8125,0.1,0.0,2.0,1.0,0.6005048079620905,0.39949519203790956
820,5,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,11.0,0.27,43.0,80.0,3.0,2.0,8.0,1.0,3.5,0.0,2.0,1.0,0.8125,0.1,0.0,2.0,1.0,0.7454220697978975,0.25457793020210245
820,6,3.0,0.0,1.0,57.0,0.0,0.0,1.0,0.0,17.0,11.0,0.27,16.0,80.0,3.0,2.0,8.0,1.0,3.5,0.0,1.0,1.0,0.8125,0.0,0.0,9.0,1.0,0.6762331714585509,0.3237668285414491
820,7,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,11.0,0.27,8.0,80.0,3.0,2.0,8.0,1.0,3.5,0.0,1.0,1.0,0.8125,0.0,0.0,2.0,1.0,0.7726626943879512,0.2273373056120488
820,8,3.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,17.0,11.0,0.27,0.0,80.0,3.0,2.0,8.0,1.0,3.5,0.0,4.0,1.0,0.8125,0.0,0.0,2.0,1.0,0.701021727833655,0.298978272166345
820,9,3.0,0.0,1.0,44.0,0.0,0.0,1.0,0.0,17.0,11.0,0.27,0.0,80.0,3.0,2.0,8.0,1.0,3.5,0.0,22.0,1.0,0.8125,0.1,0.0,2.0,1.0,0.5138950811546237,0.48610491884537627
