test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
59,0,17.0,7.0,1.0,1.0,0.0,2.0,1.0,19.48583984375,26.0,2.0,32.0,150.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.5,0.5,1,134.05981389319976
106,0,16.0,0.0,3.0,3.0,4.0,5.0,5.0,204.0,2.0,5.0,11.0,13.0,2.0,1.0,0.0,35.0,2.0,2.0,8.52941176470588,1.0,1.0,0.0,0.857142857142857,2.0,1.498779296875,0.5,0.5,1,5501220703125.0
117,0,7.0,0.0,2.0,1.0,0.0,4.0,3.0,137.0,4.0,9.0,13.0,25.0,1.0,3.0,0.0,16.499879360198975,2.0,0.0,5.41463414634146,1.0,1.0,0.0,0.8,3.0,7.0,0.52,0.48,1,0.8431541345609679
160,0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,122.0,2.0,8.0,44.0,112.0,0.0,4.0,2.0,5.99723219871521,2.0,0.0,1.8595041322314,1.0,1.0,0.0,0.666666666666667,1.0,5.0,0.5,0.5,1,7.420331782435373
165,0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,50.0,1.0,4.0,4.5,6.0,0.0,1.0,0.0,10.0,2.0,0.0,4.2,1.0,1.0,0.0,1.0,1.0,2.0,0.52,0.48,1,1500000000000.0
204,0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,75.0,3.0,8.0,8.0,13.0,0.0,2.0,0.0,18.0,5.0,0.0,4.26086956521739,0.0,1.0,0.0,0.0,2.0,2.499878168106079,0.54,0.46,1,3500121831893.921
205,0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,53.0,1.0,5.0,13.0,35.0,0.0,3.0,0.0,15.4990234375,3.0,0.0,2.88636363636364,1.0,1.0,0.0,1.0,2.0,5.0,0.53,0.47,1,1.5179335500129785
624,0,1.0,2.0,1.0,1.0,0.0,8.0,1.0,1632.0,1.0,12.0,7.0,45.498779296875,0.0,3.0,27.0,94.0,2.0,0.0,3.60913705583756,0.0,1.0,0.0,0.875,4.0,10.0,0.54,0.46,1,46.034406010751034
913,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,65.0,1.0,4.0,9.0,15.0,0.0,1.0,103.0,2.0,2.0,2.0,2.95,0.0,1.0,0.0,0.6,2.0,2.0,0.5,0.5,1,0.6744907594761402
3061,0,4.0,0.0,1.0,1.0,0.0,5.0,5.0,109.0,1.0,0.0,13.0,12.0,6.0,2.0,0.0,10.49988704919815,2.0,2.0,10.0,1.0,1.0,0.0,0.4,4.0,3.0,0.51,0.49,1,0.16866078200515355
3216,0,4.499755859375,0.0,1.0,4.0,0.0,1.0,1.0,57.0,28.0,0.0,2.0,52.0,0.0,5.0,0.0,14.0,2.0,0.0,6.20338983050847,1.0,1.0,0.0,0.666666666666667,2.0,2.0,0.52,0.48,1,2500244140625.0
3399,0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,83.0,5.0,16.0,12.494484722614288,86.0,0.0,3.0,2.0,7.997689247131348,4.0,0.0,3.19811320754717,0.0,1.0,0.0,0.75,6.0,6.0,0.5,0.5,2,26505515277385.71
4185,0,1.0,0.0,1.0,1.0,0.0,1.0,2.5,58.0,1.0,7.0,3.0,13.0,0.0,1.0,4.0,23.0,2.0,0.0,7.85714285714286,1.0,1.0,0.0,1.0,2.0,2.0,0.64,0.36,1,500000000000.0
4195,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,43.0,1.0,0.0,19.0,44.49926948547363,0.0,5.0,2.0,16.0,2.0,0.0,1.7843137254902,1.0,1.0,0.0,1.0,2.0,3.0,0.51,0.49,1,2.1923413309470448
4237,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,49.0,1.0,1.0,2.4998788833618164,50.0,0.0,5.0,0.0,16.0,2.0,0.0,1.72549019607843,1.0,1.0,0.0,0.5,4.0,3.0,0.54,0.46,1,15500121116638.184
4637,0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,106.0,1.0,7.0,9.0,176.0,0.0,3.0,2.0,6.4951171875,4.0,0.0,2.54891304347826,1.0,1.0,0.0,0.4,2.0,9.0,0.51,0.49,1,9.950385408232176
5371,0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,65.0,4.0,7.0,11.0,19.0,1.0,4.0,0.0,6.4990234375,2.0,0.0,6.25925925925926,0.0,1.0,0.0,1.0,2.0,4.0,0.59,0.41,1,4.553141967656633
5440,0,5.0,0.0,1.0,1.0,2.0,1.0,2.0,71.0,2.0,3.5,9.0,23.0,0.0,3.0,0.0,7.0,2.0,1.0,4.62857142857143,1.0,1.0,0.0,0.0,2.0,5.0,0.64,0.36,1,2.360717658166491
5522,0,0.0,0.0,1.0,2.0,0.0,4.0,3.499390125274658,51.0,1.0,1.0,1.0,6.0,4.0,1.0,0.0,10.0,3.0,1.0,14.7142857142857,1.0,1.0,0.0,1.0,4.0,2.0,0.51,0.49,1,5500609874725.342
5525,0,5.0,0.0,1.0,1.0,2.0,0.0,2.0,35.0,1.0,6.499878823757172,15.0,28.0,0.0,4.0,0.0,6.0,1.0,0.0,3.575,1.0,1.0,0.0,1.0,3.0,3.0,0.53,0.47,1,0.3373271119941261
5528,0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,32.0,1.0,3.0,11.0,30.0,0.0,3.0,0.0,10.5,2.0,0.0,1.48484848484848,0.0,1.0,0.0,0.0,3.0,2.0,0.53,0.47,1,0.5058680696072759
6488,0,6.499878168106079,0.0,1.0,4.0,0.0,0.0,2.0,27.0,1.0,2.0,4.0,2.0,0.0,3.0,0.0,9.0,1.0,0.0,5.14285714285714,1.0,1.0,0.0,0.5,3.0,2.0,0.52,0.48,1,3500121831893.921
6739,0,9.0,0.0,1.0,2.0,4.0,1.0,2.0,98.0,3.0,3.49853515625,18.0,34.0,1.0,3.0,0.0,17.0,1.0,0.0,4.39622641509434,0.0,1.0,0.0,0.5,2.0,3.0,0.5,0.5,1,4.385177960168363
7400,0,16.0,0.0,2.0,0.0,0.0,6.0,5.0,365.0,3.0,0.0,34.0,4.0,2.0,2.0,0.0,2.0,2.0,2.0,9.15,1.0,1.0,0.0,0.666666666666667,4.0,2.499389946460724,0.53,0.47,1,2500610053539.276
