test_idx,candidate_id,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
42,0,0.0,1.0,1.0,5.0,0.0,0.72,0.0,95.0,1.0,41.0,9.0,2.0,10.921568627451,0.0,4.37254901960784,1.0,1.0,0.679245283018868,0.0,253.0,0.8,0.0,3.0,6.0,0.50306857,0.49693143
42,1,0.0,1.0,1.0,7.0,0.0,0.8,0.0,90.0,1.0,0.0,2.0,3.0,8.34090909090909,22.0,4.59090909090909,1.0,1.0,0.857142857142857,0.0,285.0,0.444444444444444,0.0,3.0,9.0,0.9046901,0.0953099
52,0,1.0,1.0,0.0,2.0,5.0,0.32,0.0,78.0,1.0,3.0,17.0,1.0,5.54545454545455,2.0,10.2727272727273,2.0,1.0,1.0,0.0,2.0,1.1,0.0,1.0,1.0,0.5884143,0.41158566
52,1,2.0,1.0,6.0,4.0,0.0,0.32,0.0,81.0,1.0,0.0,20.0,1.0,4.85714285714286,13.0,8.78571428571429,0.0,1.0,6.1,0.0,3.0,0.2,0.0,1.0,1.0,0.5813247,0.41867533
52,2,1.0,1.0,3.0,0.0,0.0,0.12,0.0,76.0,0.0,0.0,11.0,1.0,3.5,2.0,9.08333333333333,2.0,1.0,1.0,0.0,1.0,0.5,0.0,2.0,2.0,0.57493454,0.42506546
63,0,0.0,1.0,0.0,3.0,0.0,2.62,0.0,0.0,3.0,2.0,7.0,2.0,31.0,0.0,0.888888888888889,0.0,1.0,0.0,0.0,1.0,0.666666666666667,0.0,3.0,3.0,0.82191634,0.17808367
63,1,0.0,1.0,0.0,4.0,0.0,0.47,2.0,0.0,3.0,0.0,11.0,4.0,0.857142857142857,0.0,7.85714285714286,0.0,1.0,0.7,6.0,2.0,0.5,0.0,1.0,1.0,0.5333951,0.4666049
64,0,9.0,1.0,0.0,5.0,0.0,0.59,0.0,85.0,1.0,40.0,21.0,1.0,5.1875,1.0,4.78125,1.0,1.0,3.8,0.0,189.0,1.0,2.0,2.0,8.0,0.5449505,0.45504954
64,1,2.0,2.0,0.0,2.0,0.0,0.12,1.0,70.0,1.0,0.0,3.0,2.0,5.25,0.0,11.3125,1.0,1.0,1.7,0.0,202.0,0.470588235294118,0.0,2.0,2.0,0.93550646,0.06449352
64,2,0.0,1.0,4.0,14.0,2.0,0.29,1.0,89.0,3.0,0.0,22.0,1.0,4.73684210526316,0.0,6.10526315789474,1.0,1.0,0.666666666666667,0.0,208.0,0.1,0.0,3.0,2.0,0.64591485,0.35408515
