test_idx,candidate_id,CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
1,0,1.0,1.0,1.0,0.0,28.0,4.0,15.0,0.5900231933593756,0.0,90.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.487179487179487,0.0,1.0,0.0,3.0,4.0,0.5308539867401123,0.4691459834575653,1,0.9721062230866355
24,0,6.0,1.0,22.0,0.0,71.9970703125,8.0,318.0,0.29,0.0,100.0,2.0,5.0,3.0,1.0,8.8030303030303,0.0,0.0,0.0,0.368421052631579,0.0,0.37037037037037,1.0,4.0,14.0,0.5070987343788147,0.4929012656211853,1,11.616449307334593
64,0,3.0,1.0,1.0,0.0,22.0,6.0,0.0,0.2500013935565948,1.0,0.0,2.0,0.0,3.0,2.0,1.35714285714286,0.0,1.0,1.0,0.523809523809524,0.0,1.0,0.0,3.0,0.0,0.5166504979133606,0.4833495020866394,1,0.03967869156044457
94,0,0.0,1.0,0.0,0.0,26.0,1.0,5.0,0.2600171351432803,0.0,99.0,1.0,2.0,1.0,2.0,0.382978723404255,0.0,0.0,1.0,0.135416666666667,0.0,1.0,0.0,1.0,2.0,0.5172218680381775,0.4827781319618225,1,0.4364691899422394
101,0,2.0,1.0,0.0,1.0,99.90673828125,1.0,8.0,1.62,0.0,96.0,1.0,0.0,4.0,2.0,0.623762376237624,0.0,0.0,1.0,0.144230769230769,0.0,1.0,0.0,5.0,1.0,0.6591812372207642,0.34081873297691345,1,41.300812515453984
102,0,2.0,2.0,1.0,2.0,41.0,1.0,7.0,0.33000429093837746,1.0,75.0,2.0,0.0,14.0,1.0,4.375,0.0,1.0,1.0,1.5,0.0,1.0,0.0,3.0,1.0,0.554228663444519,0.44577130675315857,1,0.07936036640381
108,0,3.0,1.0,1.0,2.0,96.0,2.0,6.0,0.45006778419017834,4.0,88.0,2.0,0.0,4.0,2.0,3.75,1.0,1.0,1.0,1.09677419354839,0.0,1.0,0.0,7.0,2.0,0.6609720587730408,0.33902794122695923,1,0.6547872659904372
173,0,41.0,1.0,10.0,1.0,274.0,10.0,14.0,0.8004232499003419,1.0,96.0,2.0,1.0,89.0,2.0,5.8622754491018,0.0,1.0,1.0,1.3876404494382,0.0,0.307692307692308,0.0,6.0,9.0,0.516063928604126,0.483936071395874,1,1.4291730146144546
174,0,12.0,1.0,1.0,3.0,354.0,2.0,11.0,0.7100347262620927,0.0,90.0,1.0,0.0,38.0,2.0,5.61386138613861,1.0,1.0,1.0,0.557692307692308,0.0,0.333333333333333,0.0,6.0,8.0,0.6566858291625977,0.34331417083740234,1,0.5753698317374036
183,0,2.0,2.0,42.0,4.0,228.0,2.0,0.0,0.7100444999337201,0.0,96.0,1.0,0.0,23.0,2.0,5.18604651162791,1.0,1.0,1.0,1.35416666666667,0.0,0.833333333333333,0.0,4.0,9.0,0.5714414119720459,0.4285586178302765,1,0.8134447828792556
184,0,79.0,1.0,2.0,1.0,296.0,6.0,20.0,0.8003037121891985,1.0,100.0,1.0,0.0,74.0,3.0,6.05291005291005,0.0,1.0,0.0,1.5969387755102,0.0,0.5,0.0,5.0,9.0,0.5577597618103027,0.44224026799201965,1,1.4487738396532122
220,0,16.0,1.0,6.0,3.0,165.0,2.0,0.0,0.710153357982636,8.0,77.0,2.0,2.0,33.0,2.0,6.16279069767442,1.0,1.0,1.0,1.10869565217391,0.0,0.333333333333333,0.0,7.0,6.0,0.6457865834236145,0.3542134165763855,1,1.2500959323870346
1352,0,3.0,1.0,0.0,1.0,25.0,1.0,9.0,0.17000405967235566,2.0,70.0,2.0,0.0,14.0,1.0,4.375,1.0,1.0,1.0,0.8,0.0,0.8,0.0,1.0,1.0,0.5684560537338257,0.4315439760684967,1,0.0793599076191196
269,0,6.0,1.0,2.0,2.0,71.9978084564209,1.0,22.0,0.44,0.0,93.0,1.0,0.0,6.0,1.0,5.17021276595745,1.0,1.0,1.0,0.63265306122449,0.0,0.333333333333333,0.0,6.0,6.0,0.6074187755584717,0.39258119463920593,1,6.520241583372498
