,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,effort
26,6.0,1.0,0.0,264.0,0.0,383.0,0.3,0.0,100.0,2.0,5.0,4.0,1.0,12.6617647058824,0.0,0.0,0.0,0.384615384615385,0.0,0.1,4.0,6.0,16.0,3.5252108809835647e-07
1855,7.0,1.0,1.0,55.0,2.0,28.0,0.21,0.0,90.0,1.0,0.0,4.0,1.0,5.5,1.0,1.0,1.0,0.75,0.0,1.0,0.0,1.0,0.0,0.0001334100245646841
1940,3.0,1.0,1.0,55.0,1.0,22.0,0.22,0.0,90.0,2.0,0.0,20.0,1.0,5.71428571428571,0.0,1.0,1.0,0.0,0.0,0.666666666666667,0.0,2.0,1.0,2.703184666841274e-05
1944,0.0,2.0,1.0,67.0,0.0,7.0,0.38,3.0,86.0,1.0,0.0,3.0,1.0,4.05,1.0,1.0,1.0,0.608695652173913,0.0,0.6,0.0,2.0,0.0,0.0003755938455520802
1945,10.0,1.0,9.0,255.0,0.0,4.0,0.21,2.0,91.0,1.0,0.0,13.0,1.0,3.31578947368421,0.0,1.0,1.0,0.694915254237288,0.0,0.4375,0.0,1.0,2.0,0.00027140240404854854
208,4.0,2.0,4.0,281.0,0.0,0.0,0.31,0.0,96.0,1.0,0.0,26.0,2.0,5.50943396226415,1.0,1.0,1.0,5.4,0.0,0.0,0.0,4.0,9.0,9.37412945463123e-05
209,87.0,5.0,1.0,318.0,3.0,22.0,0.06,1.0,100.0,1.0,1.0,79.0,3.0,6.48815165876777,0.0,1.0,0.0,1.59174311926605,3.0,0.916666666666667,0.0,5.0,11.0,9.947408964250393e-05
305,6.0,1.0,2.0,168.0,0.0,26.0,0.42,0.0,94.0,1.0,0.0,10.0,1.0,5.03846153846154,1.0,1.0,1.0,5.4,0.0,0.1,0.0,6.0,9.0,0.00030676880305224863
308,7.0,9.0,1.0,83.0,0.0,213.0,0.16,0.0,99.0,1.0,0.0,3.0,1.0,9.46153846153846,0.0,1.0,0.0,0.714285714285714,0.0,0.454545454545455,1.0,3.0,3.0,0.00040126681037844225
350,13.0,2.0,1.0,79.0,1.0,31.0,0.15,0.0,100.0,3.0,1.0,28.0,2.0,4.61111111111111,0.0,1.0,1.0,1.225,0.0,0.0,0.0,4.0,6.0,9.86190296725642e-06
366,2.0,6.0,4.0,72.0,1.0,3.0,0.4,0.0,100.0,3.0,0.0,12.0,5.0,3.83333333333333,0.0,1.0,0.0,2.0,0.0,0.833333333333333,0.0,4.0,5.0,0.0008069114336362038
376,8.0,2.0,2.0,91.0,0.0,22.0,0.2,1.0,100.0,2.0,0.0,25.0,3.0,4.5,0.0,1.0,0.0,1.3448275862069,0.0,0.1,0.0,6.0,7.0,7.344757545713065e-06
1958,4.0,5.0,3.0,116.0,1.0,3.0,0.19,3.0,88.0,2.0,1.0,43.0,5.0,4.76,0.0,1.0,1.0,1.32142857142857,0.0,0.5,0.0,8.0,10.0,0.00042847290805714255
1965,4.0,7.0,2.0,72.0,0.0,5.0,0.8,2.0,86.0,2.0,0.0,33.0,2.0,4.0,0.0,1.0,1.0,1.38888888888889,0.0,0.777777777777778,0.0,3.0,6.0,0.000916258854231411
1966,1.0,1.0,4.0,77.0,0.0,6.0,0.23,4.0,88.0,3.0,0.0,17.0,5.0,5.33333333333333,0.0,1.0,1.0,4.6,0.0,0.8,0.0,5.0,10.0,0.0006850657461219267
429,21.0,1.0,4.0,685.0,17.0,7.0,0.34,0.0,100.0,5.0,6.0,77.0,2.0,5.06578947368421,0.0,1.0,0.0,1.08620689655172,0.0,0.1,1.0,7.0,10.0,4.508854237972315e-06
498,12.0,1.0,2.0,624.0,0.0,84.0,0.51,0.0,100.0,1.0,1.0,13.0,2.0,6.11363636363636,0.0,1.0,1.0,0.865979381443299,0.0,0.1,0.0,5.0,3.0,1.136817708935478e-05
499,2.0,1.0,1.0,32.0,0.0,3.0,0.11,3.0,89.0,2.0,0.0,21.0,3.0,4.09090909090909,0.0,0.0,1.0,4.7,0.0,0.75,0.0,1.0,7.0,0.0005625199381980028
565,10.0,7.0,4.0,175.0,0.0,0.0,0.25,1.0,94.0,2.0,1.0,30.0,2.0,2.625,0.0,1.0,1.0,1.75555555555556,0.0,0.4,0.0,3.0,2.0,0.0006163526478492054
677,153.0,2.0,7.0,1689.0,5.0,46.0,0.22,4.0,97.0,2.0,1.0,190.0,2.0,8.65071770334928,1.0,4.0,1.0,1.85321100917431,0.0,0.1,3.0,6.0,12.0,1.581660641347682e-06
766,2.0,1.0,4.0,236.0,0.0,2.0,4.82,0.0,100.0,1.0,0.0,37.0,4.0,6.475,0.0,1.0,0.0,0.840909090909091,0.0,0.875,0.0,5.0,7.0,0.00017369513556242389
831,4.0,1.0,0.0,140.0,0.0,30.0,0.25,0.0,96.0,1.0,3.0,19.0,0.0,9.04938271604938,0.0,1.0,0.0,0.550561797752809,1.0,0.454545454545455,0.0,7.0,7.0,8.253981337702498e-05
834,1.0,4.0,3.0,47.0,0.0,11.0,0.22,2.0,48.0,1.0,0.0,5.0,2.0,7.75,0.0,2.0,1.0,0.6,0.0,1.0,0.0,4.0,2.0,0.00020485030543737626
1059,2.0,1.0,5.0,60.0,2.0,8.0,0.26,6.0,61.0,2.0,0.0,14.0,1.0,5.0,2.0,1.0,1.0,1.2,0.0,0.75,0.0,1.0,3.0,0.00025950195136870136
