,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
1855,5,1,1,40,2,14,0.05,0,90,1,0,4,1,3.70833333333333,1,1,1,0.75,0,0.9500000000000001,0,1,0
1940,2,1,1,40,1,14,0.05,0,90,2,0,20,1,5.71428571428571,0,1,1,0.807692307692308,0,0.55,0,2,1
1944,1,2,1,67,0,7,0.35000000000000003,0,86,1,3,3,1,4.05,1,1,1,0.608695652173913,0,0.55,0,2,1
1945,5,1,3,133,0,4,0.21,2,91,1,0,13,1,3.31578947368421,0,1,1,0.694915254237288,0,0.15000000000000002,1,3,1
308,5,2,1,40,0,58,0.16,0,93,1,0,3,1,9.46153846153846,0,1,0,0.714285714285714,0,0.454545454545455,0,2,3
376,5,2,2,40,0,22,0.2,1,100,2,0,25,3,4.5,0,1,0,1.3448275862069,0,0.55,0,5,3
1958,2,1,3,40,1,3,0.19,3,88,2,1,43,3,4.76,0,1,1,1.32142857142857,0,0.15000000000000002,0,5,8
1966,0,1,4,40,0,6,0.23,3,88,3,0,17,2,5.33333333333333,0,1,1,1.35714285714286,0,0.55,0,5,8
499,0,1,1,33,0,3,0.11,3,89,2,0,18,3,4.09090909090909,0,0,1,1.42857142857143,0,0.55,0,1,3
565,5,2,4,133,0,0,0.25,1,93,2,1,30,2,2.625,0,1,1,1.75555555555556,0,0.15000000000000002,0,3,3
831,2,1,0,133,1,30,0.25,0,96,1,3,19,2,9.04938271604938,0,1,0,0.550561797752809,0,0.15000000000000002,0,7,3
1431,2,1,0,40,1,14,0.17,0,97,2,1,8,2,1.67469879518072,0,0,1,0.252525252525253,0,0.15000000000000002,0,5,8
1438,0,1,0,40,1,14,0.05,0,93,2,2,5,2,1.47058823529412,0,0,1,0.2625,0,0.9500000000000001,0,3,1
