,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
26,6,1,0,264,0,383,0.05,0,99,2,5,2,1,10.05,0,0,0,0.384615384615385,0,0.15000000000000002,4,6,16
1855,7,1,1,55,2,28,9.05,0,7,1,0,0.05,1,79,1,1,1,0.75,0,1.0,0,1,0
1940,3,1,1,55,1,22,0.55,0,18,2,0,0.05,1,79,0,1,1,0.807692307692308,0,9.05,0,2,1
1944,0,2,1,67,0,7,79,0,0.55,1,0,2,1,0.35000000000000003,1,1,1,0.608695652173913,0,9.05,0,2,0
1945,10,1,3,255,0,4,0.15000000000000002,2,0.05,1,0,79,1,12,0,1,1,0.694915254237288,0,9.05,0,3,2
208,4,2,4,281,0,0,0.55,0,0.05,1,0,93,2,18,1,1,1,1.36206896551724,0,9.05,0,4,9
209,87,1,1,318,3,22,44,1,99,1,1,0.55,3,0.05,0,1,0,1.59174311926605,0,9.05,0,5,11
305,6,1,2,168,0,26,93,0,0.15000000000000002,1,0,0.35000000000000003,1,6,1,1,1,0.574074074074074,0,9.05,0,6,9
308,7,2,1,83,0,213,0.15000000000000002,0,99,1,0,0.05,1,9.1,0,1,0,0.714285714285714,0,7,0,3,3
350,13,2,1,79,1,31,0.55,0,18,3,1,0.05,2,99,0,1,1,1.225,0,9.05,0,4,6
366,2,2,4,72,1,3,99,0,0.55,3,0,0.35000000000000003,2,6,0,1,0,2.0,0,9.05,0,4,5
376,8,2,2,91,0,22,0.55,1,18,2,0,0.05,3,99,0,1,0,1.3448275862069,0,9.05,0,6,7
1958,4,1,3,116,1,3,18,3,0.05,2,1,0.15000000000000002,3,79,0,1,1,1.32142857142857,0,9.05,0,8,10
429,21,1,4,685,17,7,44,0,0.05,3,6,0.55,2,99,0,1,0,1.08620689655172,0,9.05,1,7,10
1966,1,1,4,77,0,6,0.55,4,0.05,3,0,79,2,12,0,1,1,1.35714285714286,0,9.05,0,5,10
831,4,1,0,140,0,30,0.15000000000000002,0,0.05,1,3,93,2,18,0,1,0,0.550561797752809,0,10.03,0,7,7
834,1,4,3,47,0,11,7,2,61,1,0,0.9500000000000001,2,0.05,0,2,1,2.0,0,9.05,0,4,2
1059,2,1,5,60,2,8,0.55,6,60,2,0,0.05,1,12,2,1,1,1.2,0,9.05,0,3,3
499,2,1,1,32,0,3,0.55,3,0.05,2,0,79,3,18,0,0,1,1.42857142857143,0,9.05,0,1,7
1438,2,1,0,78,1,14,0.05,0,93,2,2,2,2,0.0,0,0,1,0.2625,0,0.9500000000000001,0,3,1
677,153,2,7,1689,5,46,93,4,147,2,1,0.55,2,0.05,1,1,1,1.85321100917431,0,9.05,3,6,12
565,10,2,4,175,0,0,0.15000000000000002,1,3.31,2,1,0.05,2,18,0,1,1,1.75555555555556,0,93,0,3,7
766,2,1,4,236,0,2,18,0,0.35000000000000003,1,0,0.55,2,99,0,1,0,0.840909090909091,0,9.05,0,5,7
498,12,1,2,624,3,84,0.55,0,99,1,1,12,2,3.0,0,1,1,0.865979381443299,0,2.53,0,5,3
1431,3,1,0,92,1,16,0.05,0,92,2,1,1,2,0.0,0,0,1,0.252525252525253,0,0.15000000000000002,0,5,9
1965,4,2,2,72,0,5,0.55,2,18,2,0,0.05,2,3,0,1,1,1.38888888888889,0,9.05,0,3,6
