,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
26,6,1,0,264,0,383,0.3,0,100,2,5,4,1,12.6617647058824,0,0,0,0.384615384615385,0,0.05,4,6,16
1855,,,,,,,,,,,,,,,,,,,,,,,
1940,3,1,1,55,1,22,0.22,0,90,2,0,20,1,5.71428571428571,0,1,1,0.807692307692308,0,0.05,0,2,1
1944,0,2,1,67,0,7,0.38,0,86,1,0,3,1,4.05,1,1,1,0.608695652173913,0,0.05,0,2,0
1945,10,1,3,255,0,4,0.21,2,91,1,0,13,1,3.31578947368421,0,1,1,0.694915254237288,0,0.05,0,3,2
208,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,,,,
308,7,2,1,83,0,213,0.16,0,99,1,0,3,1,9.46153846153846,0,1,0,0.714285714285714,0,0.05,0,3,3
350,13,2,1,79,1,31,0.15,0,100,3,1,28,2,4.61111111111111,0,1,1,1.225,0,0.05,0,4,6
366,2,2,4,72,1,3,0.4,0,100,3,0,12,2,3.83333333333333,0,1,0,2.0,0,0.05,0,4,5
376,8,2,2,91,0,22,0.2,1,100,2,0,25,3,4.5,0,1,0,1.3448275862069,0,0.05,0,6,7
1958,,,,,,,,,,,,,,,,,,,,,,,
1965,4,2,2,72,0,5,0.2,2,86,2,0,33,2,4.0,0,1,1,1.38888888888889,0,0.1,0,3,6
1966,1,1,4,27,0,6,0.23,4,88,3,0,17,2,5.33333333333333,0,1,1,1.35714285714286,0,0.8,0,5,10
429,,,,,,,,,,,,,,,,,,,,,,,
499,2,1,1,32,0,3,0.11,3,89,2,0,21,3,4.09090909090909,0,0,1,0.05,0,0.75,0,1,7
677,,,,,,,,,,,,,,,,,,,,,,,
766,2,1,4,25,0,2,0.42,0,100,1,0,37,2,6.475,0,1,0,0.840909090909091,0,0.875,0,5,7
831,4,1,0,140,0,30,0.25,0,96,1,3,19,2,9.04938271604938,0,1,0,0.550561797752809,0,0.05,0,7,7
834,1,4,3,47,0,11,0.22,2,48,1,0,5,2,7.75,0,2,1,2.0,0,0.05,0,4,2
1059,2,1,5,60,2,8,0.26,6,61,2,0,14,1,5.0,2,1,1,1.2,0,0.05,0,3,3
1431,,,,,,,,,,,,,,,,,,,,,,,
1438,,,,,,,,,,,,,,,,,,,,,,,
