,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
47,0,1,3,8,329,2,0.97,0,73,1,0,2,2,18.3333333333333,2,3.72727272727273,1,1,0.638888888888889,0,0.666666666666667,0,3,5,5
30,0,1,1,5,100,1,0.68,0,85,4,0,4,2,4.85714285714286,0,4.85714285714286,1,1,1.0625,0,0.444444444444444,0,4,2,7
22,42,1,6,1,531,16,0.26,0,15,3,4,4,3,3.41706161137441,0,3.62085308056872,0,1,0.518828451882845,0,0.297297297297297,8,97,6,72
186,0,1,0,7,516,0,0.63,0,7,1,0,146,1,4.72857142857143,0,7.61428571428571,1,1,0.472972972972973,0,0.538461538461538,0,3,0,6
1662,3,1,1,2,67,0,0.33,0,3,2,0,14,2,2.76470588235294,0,5.35294117647059,0,1,0.695652173913043,0,0.714285714285714,0,1,2,80
224,0,3,5,2,131,0,0.24,0,65,1,0,3,1,9.03571428571429,1,6.5,1,1,2.53333333333333,0,0.571428571428571,0,5,4,3
231,0,2,9,6,666,1,0.6,0,11,2,3,2,1,10.2934782608696,0,4.71739130434783,1,1,0.94,0,0.545454545454545,0,88,5,26
1640,13,1,13,4,455,23,0.4,0,94,2,1,2,2,5.62025316455696,0,6.13924050632911,1,1,0.91304347826087,0,0.538461538461538,0,8,5,31
44,0,2,0,7,148,0,1.13,0,6,4,0,3,3,56.7142857142857,2,4.57142857142857,2,1,0.8125,0,0.4,0,3,6,0
19,0,1,0,5,186,0,0.95,0,76,3,0,2,3,20.5555555555556,1,2.66666666666667,1,1,0.586206896551724,0,0.666666666666667,0,2,5,3
257,0,1,197,0,402,0,1.41,0,98,1,0,3,1,0.0,0,1.0,1,0,0.0,0,0.407407407407407,9,1,3,16
