,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,ADEV,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
65,0,0,1,2,0,0,2,1,7,6,16,0.13,0,86,2,0,27,1,5.52173913043478,1,1,0,1,0.888888888888889,0,3,1
104,0,0,1,1,0,5,1,1,4,2,21,0.84,0,89,3,0,25,1,3.24,0,1,0,0,0.997,0,2,1
147,0,0,1,1,0,2,2,1,7,12,20,0.25,0,83,1,3,27,2,4.37037037037037,0,0,0,2,0.9,0,3,1
1762,2,1,1,1,0,0,2,3,3,7,5,0.25,0,73,2,2,11,2,3.18181818181818,0,1,0,1,0.75,0,1,1
149,0,0,1,1,0,1,1,1,1,16,26,0.47,0,92,1,2,12,2,2.74074074074074,1,1,0,1,0.846153846153846,0,2,0
157,0,0,1,1,0,1,2,1,1,8,27,0.25,0,82,2,0,14,1,2.35714285714286,0,1,0,1,0.9,0,2,0
203,0,0,1,1,0,1,1,1,0,23,50,0.36,0,95,2,0,24,1,2.6,1,1,0,1,0.909090909090909,0,3,1
218,0,1,2,1,0,2,3,4,8,12,30,0.24,0,89,2,2,25,2,3.53846153846154,0,0,0,1,0.764705882352941,0,3,1
225,0,0,1,2,0,0,2,1,7,19,66,0.06,0,92,1,1,43,2,3.84931506849315,0,0,0,1,0.8,0,3,1
393,4,6,1,15,0,0,2,3,3,19,44,0.09,0,94,1,1,12,2,4.49122807017544,0,1,0,1,0.5,0,2,0
505,0,0,2,1,0,0,2,2,3,2,11,0.16,0,66,3,0,12,2,3.28571428571429,1,1,0,1,0.666666666666667,0,3,0
725,0,4,1,1,0,1,2,5,2,16,26,0.16,0,83,1,1,21,2,4.59375,0,0,0,2,0.875,0,2,0
737,2,0,1,1,2,0,3,1,2,2,30,0.12,0,62,1,7,8,2,0.9,1,1,0,0,0.0,0,3,1
832,2,3,1,1,0,0,3,4,1,32,50,0.1,0,93,1,0,16,2,2.71428571428571,0,1,0,1,0.76,0,3,2
991,0,0,1,0,0,1,1,1,6,4,0,0.46,0,70,5,0,3,1,1.83333333333333,1,2,0,0,0.9966,0,2,0
1009,0,0,1,0,2,6,3,1,0,0,11,2.16,6,0,6,3,12,1,0.545454545454545,0,2,0,1,1.0,0,2,2
1169,2,0,1,1,0,2,2,2,5,3,4,0.24,2,77,2,0,4,2,2.45454545454545,0,1,0,0,0.9988,0,1,0
1309,0,0,1,1,0,1,3,1,10,17,1,0.23,0,84,2,5,5,1,5.90909090909091,3,2,0,1,0.8,0,3,1
1335,0,0,1,0,0,0,1,1,4,0,20,2.075,2,0,2,0,6,1,1.875,0,2,0,0,0.0,0,2,1
1496,1,0,2,15,0,0,4,1,6,19,5,0.07,2,85,1,0,2,2,1.0833333333333297,0,2,0,0,0.0,0,1,1
1598,1,0,1,3,1,0,1,4,3,4,18,1.835,0,79,2,2,3,3,2.31818181818182,0,0,0,0,0.0,0,3,0
1601,6,0,1,1,0,3,3,1,0,6,7,0.27,0,63,1,0,11,2,4.61538461538461,2,1,0,1,0.5,0,4,1
1722,0,0,2,1,2,1,3,1,15,9,3,0.22,0,90,2,3,4,1,3.83333333333333,1,2,0,0,0.9968,0,3,2
