test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
0,0,0.0,1.0,1.0,3.0,12.0,5.0,3.0,0.0,4.0,8.0,1.02,0.0,100.0,2.0,0.0,12.0,1.0,3.0,1.0,4.55555555555556,1.0,130.0,3.7,318.0,0.461538461538462,0.0,5.0,0.0,0.5022644767282652,0.49773552327173476
0,1,0.0,1.0,48.0,3.0,2.0,202.0,3.0,0.0,4.0,8.0,1.02,0.0,100.0,2.0,0.0,12.0,1.0,3.0,1.0,4.55555555555556,1.0,167.0,0.571428571428571,318.0,0.461538461538462,0.0,5.0,0.0,0.5618666576009047,0.4381333423990953
0,2,0.0,1.0,1.0,3.0,0.0,5.0,3.0,0.0,4.0,8.0,1.02,0.0,100.0,2.0,0.0,12.0,1.0,3.0,1.0,4.55555555555556,1.0,335.0,0.571428571428571,129.0,0.461538461538462,0.0,5.0,0.0,0.561614048194256,0.438385951805744
0,3,0.0,1.0,1.0,3.0,2.0,5.0,3.0,0.0,4.0,97.0,1.02,25.0,100.0,2.0,0.0,12.0,1.0,3.0,1.0,0.4,1.0,1.0,0.571428571428571,318.0,0.461538461538462,0.0,5.0,0.0,0.5406767330876083,0.4593232669123917
0,4,0.0,1.0,1.0,3.0,2.0,5.0,3.0,0.0,4.0,8.0,1.85,0.0,100.0,2.0,0.0,12.0,1.0,3.0,1.0,4.55555555555556,1.0,1.0,0.571428571428571,77.0,0.1,0.0,5.0,0.0,0.5527770676706047,0.44722293232939525
0,5,0.0,1.0,1.0,3.0,2.0,5.0,3.0,0.0,4.0,63.0,1.02,0.0,23.0,2.0,0.0,2.0,1.0,3.0,1.0,4.55555555555556,1.0,1.0,0.571428571428571,318.0,0.461538461538462,0.0,5.0,0.0,0.5420191016147033,0.4579808983852966
0,6,0.0,1.0,51.0,3.0,2.0,5.0,3.0,0.0,4.0,8.0,8.54,0.0,100.0,2.0,0.0,12.0,1.0,3.0,1.0,4.55555555555556,1.0,96.0,0.571428571428571,318.0,0.461538461538462,0.0,5.0,0.0,0.6217401774474489,0.37825982255255114
0,7,0.0,1.0,1.0,3.0,2.0,5.0,3.0,0.0,4.0,8.0,5.68,0.0,100.0,2.0,0.0,12.0,1.0,3.0,1.0,4.55555555555556,1.0,32.0,1.9,318.0,0.461538461538462,0.0,5.0,0.0,0.6019102734869055,0.3980897265130945
0,8,0.0,1.0,1.0,3.0,2.0,5.0,29.0,0.0,4.0,29.0,1.02,0.0,100.0,2.0,0.0,12.0,1.0,3.0,1.0,4.55555555555556,1.0,351.0,0.571428571428571,318.0,0.461538461538462,0.0,5.0,0.0,0.5131431507082291,0.4868568492917708
0,9,0.0,1.0,1.0,3.0,2.0,5.0,3.0,0.0,4.0,8.0,1.02,0.0,100.0,2.0,0.0,3.0,1.0,3.0,1.0,4.55555555555556,1.0,1.0,0.571428571428571,318.0,0.461538461538462,0.0,2.0,0.0,0.5565194600605591,0.4434805399394409
6,0,0.0,0.0,1.0,2.0,1.0,480.0,6.0,0.0,5.0,12.0,0.88,0.0,75.0,2.0,0.0,12.0,1.0,2.75,1.0,4.16666666666667,1.0,1.0,0.352941176470588,361.0,0.333333333333333,0.0,5.0,3.0,0.5535088186826465,0.44649118131735355
6,1,0.0,0.0,1.0,2.0,1.0,5.0,7.0,0.0,5.0,12.0,0.88,0.0,75.0,2.0,0.0,12.0,1.0,2.75,1.0,4.16666666666667,1.0,1.0,0.352941176470588,361.0,0.333333333333333,0.0,5.0,3.0,0.5202404901835056,0.4797595098164944
6,2,0.0,0.0,37.0,2.0,1.0,5.0,3.0,0.0,5.0,12.0,9.26,0.0,75.0,2.0,0.0,12.0,1.0,2.75,1.0,4.16666666666667,1.0,1.0,0.352941176470588,361.0,0.333333333333333,0.0,5.0,3.0,0.5991820352927955,0.4008179647072045
6,3,0.0,0.0,1.0,2.0,1.0,5.0,14.0,0.0,5.0,12.0,0.88,0.0,75.0,2.0,0.0,12.0,1.0,2.75,1.0,4.16666666666667,1.0,1.0,0.352941176470588,361.0,0.333333333333333,0.0,5.0,3.0,0.5790718296898718,0.42092817031012825
6,4,0.0,0.0,1.0,2.0,1.0,5.0,3.0,0.0,5.0,12.0,0.88,0.0,75.0,2.0,0.0,12.0,1.0,2.75,1.0,4.16666666666667,1.0,188.0,0.352941176470588,361.0,0.333333333333333,0.0,5.0,3.0,0.5173822509496018,0.4826177490503983
6,5,0.0,0.0,1.0,2.0,1.0,5.0,3.0,0.0,5.0,12.0,0.88,0.0,75.0,2.0,0.0,12.0,1.0,48.4,1.0,4.16666666666667,1.0,1.0,5.4,361.0,0.333333333333333,0.0,5.0,3.0,0.5474841043087395,0.45251589569126055
6,6,0.0,0.0,1.0,2.0,1.0,5.0,3.0,0.0,5.0,12.0,0.88,0.0,75.0,2.0,0.0,12.0,1.0,2.75,1.0,4.16666666666667,1.0,278.0,0.352941176470588,361.0,0.333333333333333,0.0,5.0,3.0,0.5173822509496018,0.4826177490503983
6,7,0.0,0.0,1.0,2.0,1.0,5.0,3.0,0.0,5.0,12.0,0.88,0.0,91.0,2.0,0.0,12.0,1.0,2.75,1.0,4.16666666666667,1.0,190.0,0.352941176470588,361.0,0.333333333333333,0.0,5.0,3.0,0.5053315479065126,0.4946684520934874
6,8,0.0,0.0,1.0,2.0,1.0,5.0,26.0,0.0,5.0,107.0,0.88,0.0,75.0,2.0,0.0,12.0,1.0,2.75,1.0,4.16666666666667,1.0,1.0,0.352941176470588,361.0,0.333333333333333,0.0,5.0,3.0,0.6188783234736825,0.38112167652631745
6,9,0.0,0.0,1.0,2.0,1.0,5.0,3.0,0.0,5.0,12.0,0.88,0.0,75.0,2.0,0.0,12.0,1.0,39.3,1.0,4.16666666666667,1.0,1.0,4.4,361.0,0.333333333333333,0.0,5.0,3.0,0.5474841043087395,0.45251589569126055
9,0,0.0,0.0,1.0,2.0,1.0,6.0,3.0,0.0,4.0,6.0,1.1,0.0,55.0,2.0,0.0,8.0,1.0,3.0,1.0,4.16666666666667,1.0,150.0,0.909090909090909,202.0,0.375,0.0,5.0,2.0,0.6480803714931929,0.3519196285068071
9,1,0.0,0.0,1.0,2.0,1.0,6.0,3.0,0.0,4.0,6.0,2.48,0.0,55.0,2.0,0.0,8.0,1.0,3.0,1.0,4.16666666666667,1.0,1.0,0.909090909090909,202.0,0.2,0.0,5.0,2.0,0.6469922283899643,0.35300777161003566
9,2,0.0,0.0,1.0,0.0,1.0,6.0,3.0,0.0,0.0,6.0,1.1,0.0,55.0,2.0,0.0,8.0,1.0,3.0,1.0,4.16666666666667,1.0,1.0,0.909090909090909,202.0,0.375,0.0,5.0,2.0,0.582722563166247,0.41727743683375296
9,3,0.0,0.0,1.0,2.0,1.0,6.0,3.0,0.0,4.0,77.0,1.1,0.0,55.0,2.0,0.0,8.0,1.0,3.0,1.0,4.16666666666667,1.0,1.0,0.909090909090909,202.0,0.375,0.0,5.0,0.0,0.5375658969256406,0.4624341030743594
9,4,0.0,0.0,1.0,2.0,1.0,6.0,3.0,0.0,4.0,37.0,1.1,0.0,55.0,2.0,0.0,8.0,1.0,3.0,1.0,4.16666666666667,1.0,1.0,1.2,202.0,0.375,0.0,5.0,2.0,0.6406278746429955,0.35937212535700447
