,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE
67,5.551115123125783e-17,0.09999999999999998,7.0,23.0,0.0,0.0,2.0,1.0,7.0,6.0,23.0,0.10000000000000009,0.0,87.0,2.0,1.1102230246251565e-16,28.0,1.0,5.13333333333333,1.0,1.0,0.0,0.464757709251101,1.0,1.0
133,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,
156,5.551115123125783e-17,24.0,1.0,0.0,95.0,2.0,1.0,1.0,1.0,23.999999999999993,49.0,0.62,0.0,95.0,1.0,2.0,15.0,2.0,2.66,1.0,1.0,0.0,0.947368421052632,0.5,0.0
165,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,
185,5.551115123125783e-17,0.0,0.0,3.0,27.0,0.0,1.0,1.0,0.0,4.0,27.0,0.29000000000000004,0.0,70.0,1.0,1.1102230246251565e-16,5.0,2.0,1.37037037037037,1.0,1.0,0.0,0.445121951219512,0.0,0.0
48,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,
236,0.351648351648352,0.0,1.0,0.5,0.0,0.0,2.0,1.0,7.0,19.0,63.0,0.06000000000000005,0.0,92.0,2.0,1.0,42.0,1.0,4.08571428571429,0.0,0.0,0.0,0.351648351648352,0.5,1.0
228,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,
