,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE
111,5.551115123125783e-17,1.0,1.0,0.25,3.08695652173913,1.0,2.0,3.0,4.0,14.0,18.0,0.2499999999999999,0.0,83.0,1.0,1.1102230246251565e-16,20.0,3.0,3.08695652173913,0.0,0.0,0.0,0.551369863013699,0.0,0.0
133,5.551115123125783e-17,0.666666666666667,1.0,0.41,0.583529411764706,2.0,2.0,2.0,2.0,13.0,27.0,0.4099999999999999,0.0,90.0,1.0,1.1102230246251565e-16,1.0,2.0,3.6969696969697,1.0,1.0,0.0,0.583529411764706,0.666666666666667,1.0
153,,,,,,,,,,,,,,,,,,,,,,,,,
156,0.947368421052632,24.0,0.5,0.0,49.0,2.0,1.0,1.0,1.0,23.999999999999993,49.0,0.62,0.0,95.0,1.0,2.0,15.0,2.0,2.66,1.0,1.0,0.0,0.947368421052632,0.5,0.0
110,,,,,,,,,,,,,,,,,,,,,,,,,
67,0.09999999999999998,0.0,7.0,23.0,0.9500000000000001,0.0,2.0,1.0,7.0,6.0,23.0,0.10000000000000009,0.0,87.0,2.0,1.1102230246251565e-16,28.0,1.0,5.13333333333333,1.0,1.0,0.0,0.464757709251101,1.0,1.0
165,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,
236,0.06,0.351648351648352,0.5,0.0,0.0,0.0,2.0,1.0,7.0,19.0,63.0,0.06000000000000005,0.0,92.0,2.0,1.0,42.0,1.0,4.08571428571429,0.0,0.0,0.0,0.351648351648352,0.5,1.0
185,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,
409,0.09,1.0,0.5,0.0,44.0,0.0,2.0,3.0,3.0,19.0,44.0,0.09000000000000008,0.0,94.0,1.0,1.0,13.0,2.0,4.6140350877193,0.0,1.0,0.0,0.755614266842801,0.5,1.0
229,,,,,,,,,,,,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,,
522,,,,,,,,,,,,,,,,,,,,,,,,,
714,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,
523,,,,,,,,,,,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,,,,,,,,,,,,
757,0.12,1.0,1.0,7.0,0.0,0.0,3.0,1.0,2.0,2.0,30.0,0.11999999999999988,0.0,62.0,1.0,7.0,8.0,2.0,5.38235294117647,1.0,1.0,0.0,0.639791937581274,1.0,2.0
243,3.0481073292754797,0.5,1.0,36.0,0.419354838709677,1.0,2.0,6.0,3.0,10.0,36.0,0.16000000000000014,1.0,87.0,2.0,1.0,43.0,2.0,3.24390243902439,0.0,0.0,0.0,0.419354838709677,0.5,2.0
776,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,
791,,,,,,,,,,,,,,,,,,,,,,,,,
745,,,,,,,,,,,,,,,,,,,,,,,,,
838,,,,,,,,,,,,,,,,,,,,,,,,,
739,,,,,,,,,,,,,,,,,,,,,,,,,
857,,,,,,,,,,,,,,,,,,,,,,,,,
891,0.19,0.0,11.0,0.0,1.0,0.0,2.0,1.0,4.0,2.0,5.0,0.18999999999999995,0.0,77.0,2.0,1.1102230246251565e-16,11.0,2.0,3.66666666666667,1.0,1.0,0.0,1.0,0.0,0.0
746,,,,,,,,,,,,,,,,,,,,,,,,,
