,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MAJOR_LINE
214,4,0,1,13,3,9,18.0,3,4,3,2,0.73,80,1,0,1,2,5.4,0,1,2.28571428571429,0,49,0.84394250513347,1.0,0,1
226,1,0,11,0,3,14,44.0,1,3,0,0,0.55,0,1,0,4,1,22.75,0,1,1.16666666666667,0,0,0.962264150943396,0.0,0,2
1822,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,7,1,2,3,1,11,238.0,1,1,11,13.0,0.78,86,4,0,34,1,3.83333333333333,0,1,1.15384615384615,0,43,0.858866103739445,1.0,0,2
1663,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1,0,8,18,2,4,59,1,0,0,0,0.52,37,1,0,5,1,27.6666666666667,0,1,1.4,0,0,0.5,0.214285714285714,0,3
950,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,1,7,1,4,4,7,600,1,12,7,12.0,0.74,98,1,11,45,2,16.169014084507,0,0,0.794520547945205,0,1,0.893105629348514,1.0,0,2
1638,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,,,,,,,,,,,,,,,,,,,,,,,,,,,
2434,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,2,6,1,0,0,17,238.0,1,1,10,36,0.99,90,5,0,45,1,3.82222222222222,0,0,1.1063829787234,0,6,0.851891315929675,1.0,0,3
1091,6,1,2,1,2,20,113.5,1,2,8,6,0.6,90,5,0,56,1,5.78947368421053,0,1,1.85714285714286,0,14,0.709104938271605,1.0,0,4
194,1,1,2,6,0,6,18.0,1,11,11,0,0.78,84,1,0,5,1,5.69230769230769,3,1,1.6875,0,0,0.830564784053156,0.214285714285714,0,6
511,4,0,1,10,0,6,402.0,2,1,14,12.0,0.84,95,2,0,28,3,9.97101449275362,0,1,0.694444444444444,0,18,0.882778581765557,1.0,0,4
784,0,22,1,0,1,3,75.5,1,0,9,1,1.07,82,1,0,17,1,4.47826086956522,1,1,0.76,0,0,0.89438202247191,0.0,0,2
530,0,32,1,0,0,23,1063,1,0,1,11,2.33,100,0,1,7,0,0.0232558139534884,0,1,0.0,0,30,0.880560633759902,1.0,0,4
949,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,21,9,3,2,6,5,402.0,4,10,27,12.5,0.34,96,1,1,43,3,4.56338028169014,0,1,1.68831168831169,0,2,0.980674157303371,1.0,0,4
1171,1,0,1,0,1,5,69.5,1,0,0,22.5,0.28,0,1,0,54,2,9.57777777777778,1,1,0.0851063829787234,0,23,0.845977011494253,1.0,0,6
1820,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,,,,,,,,,,,,,,,,,,,,,,,,,,,
