,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MAJOR_LINE
1437,6,5,1,0,0,9,189,1,2,2,1,0.73,67,4,0,7,1,4.42857142857143,0,1,1.75,0,0,0.995967741935484,0.0,0,1
2069,1,0,1,0,1,1,25,1,0,0,1,0.96,0,3,0,13,1,1.5,1,2,1.0,0,6,0.978632478632479,0.75,0,2
1815,1,0,1,1,0,8,127,1,0,0,11,0.26,75,4,0,10,1,1.16666666666667,0,2,0.0,0,0,0.91375,0.0,0,1
1700,3,0,1,0,1,2,61,1,0,2,11,0.16,75,4,0,10,1,1.92857142857143,0,2,1.125,0,0,0.995049504950495,0.0,0,2
262,2,0,1,2,0,2,114,2,0,11,17,0.305,79,2,0,20,2,2.31578947368421,0,1,0.409090909090909,0,3,0.984084880636605,1.0,0,1
1297,3,0,2,0,2,13,182,1,0,5,9,0.18,71,1,0,24,2,4.75,1,1,1.35714285714286,0,2,0.995049504950495,1.0,0,5
214,4,0,1,13,3,9,194,3,4,3,2,0.73,80,1,0,1,2,5.4,0,1,2.28571428571429,0,49,0.978632478632479,1.0,0,2
2433,38,0,1,41,0,13,283.0,2,1,0,13,0.44,96,4,0,11,2,6.11538461538461,0,0,1.52727272727273,0,0.5,0.993348115299335,1.0,0,1
2460,5,0,1,0,1,10,115,1,0,0,3,0.305,0,4,0,6,1,11.5,1,2,0.7,0,40,0.997695852534562,1.0,0,1
483,0,2,1,4,1,9,356,1,0,9,33,1.12,92,2,2,19,4,5.42857142857143,0,1,0.648648648648649,0,0,0.978632478632479,0.0,0,3
1308,1,0,5,0,0,35,173,1,2,0,1,0.61,0,2,1,20,1,13.5,1,2,3.83333333333333,0,93,0.985037406483791,0.5,0,2
1209,1,1,1,0,0,9,182,1,0,13,13,0.55,80,3,0,15,2,5.4,1,1,1.47058823529412,0,0,0.978632478632479,0.0,0,1
2463,35,45,1,53,0,6,402.0,7,5,35,5,0.26,92,2,13,14,2,11.7555555555556,2,1,0.948979591836735,0,0,0.920272673384707,1.0,0,2
1717,3,0,2,3,3,3,79,4,1,0,11,0.22,83,2,0,9,2,1.46666666666667,0,1,1.15,0,72,0.859405940594059,0.5,0,0
1085,1,2,2,0,0,6,152,1,0,0,17,0.63,0,4,1,20,1,2.5,0,1,1.0,0,0,0.978632478632479,0.0,0,4
1285,1,0,1,0,0,8,44,1,1,2,1,0.33,66,4,0,14,1,7.66666666666667,3,2,3.0,0,0,0.960975609756098,0.0,0,1
1671,0,0,1,0,1,9,137,1,2,2,10,0.69,83,4,0,8,1,1.5,0,2,0.428571428571429,0,0,0.978632478632479,0.0,0,1
1752,21,0,1,37,22,1,217,1,2,0,5,0.52,96,4,0,8,1,4.07142857142857,1,1,1.23333333333333,0,0,0.978632478632479,0.0,0,3
1047,1,20,1,0,1,10,888,1,6,10,53,1.05,96,2,3,59,1,6.625,0,0,0.695121951219512,0,0,0.978632478632479,0.0,0,1
1755,2,0,1,9,3,0,86,2,3,2,14,0.51,87,4,0,7,2,4.47368421052632,0,2,1.5,0,0,0.965964343598055,0.0,0,2
1886,2,0,1,0,2,5,151,2,2,3,13,0.39,52,2,0,10,2,2.64705882352941,1,2,0.55,0,0,0.831460674157303,0.0,0,2
80,2,4,1,4,3,2,198,3,2,11,28,0.72,92,2,4,11,2,29.3055555555556,1,1,0.45,0,0,0.630111524163569,0.0,0,1
1887,0,0,1,0,1,27.5,231,1,0,0,4,0.15,0,4,0,7,1,0.75,0,2,0.0,0,0,0.920869208692087,0.0,0,1
1620,12,0,1,8,5,2,124,3,0,8,8,0.42,88,4,0,10,2,3.0,0,1,0.541666666666667,0,0,0.978632478632479,0.0,0,2
2414,0,0,1,0,1,8,55,1,1,0,3,0.28500000000000003,0,4,0,5,1,1.0,0,1,0.0,0,0,0.978632478632479,0.0,0,1
1036,2,6,1,0,0,17,828,1,1,10,36,0.99,90,2,0,45,1,3.82222222222222,0,0,1.1063829787234,0,0,0.851891315929675,1.0,0,0
1204,2,0,1,0,2,8,161,1,0,6,12,0.83,79,1,0,15,2,4.42857142857143,1,1,1.25,0,108,0.702637889688249,1.0,0,2
784,0,22,1,0,1,3,196,1,0,7,1,1.07,82,1,0,17,1,4.47826086956522,1,1,0.76,0,0,0.89438202247191,0.0,0,2
1596,2,0,1,0,2,6,44,1,0,0,1,0.28500000000000003,0,3,0,12,1,2.33333333333333,1,2,1.2,2,1,0.7503719772392714,1.0,0,3
1799,19,0,1,77,10,6,460,2,3,1,36,0.31,92,2,0,9,2,8.55172413793103,0,1,0.868852459016393,0,0,0.958313817330211,0.0,0,1
1888,7,0,1,0,2,1,52,2,1,0,16,0.22,0,4,0,7,2,3.04166666666667,0,1,0.296296296296296,0,114,0.925,1.0,0,0
1151,1,1,1,0,0,14,161,1,1,7,5,0.28500000000000003,69,5,0,18,1,6.125,0,2,1.6,0,0,0.95959595959596,0.0,0,2
1203,0,1,2,0,1,6,180,1,3,6,18,0.61,88,2,19,26,1,7.72727272727273,0,0,1.16666666666667,0,27,0.985037406483791,0.5,0,4
1283,4,0,2,0,1,14,295,1,0,34,4,0.43,82,1,0,43,1,11.2941176470588,2,1,2.63157894736842,0,1,0.973660308810173,1.0,0,2
2446,1,0,2,4,2,6,50,2,1,0,4,0.49,80,3,0,10,2,1.83333333333333,1,1,0.888888888888889,0,0,0.775862068965517,0.0,0,0
224,1,1,1,9,0,5,126,1,12,16,0,0.305,88,1,0,7,1,5.07142857142857,1,1,1.125,0,0,0.713310580204778,0.0,0,1
846,21,9,3,2,0,5,402.0,4,10,16.5,31,0.34,96,2,1,43,3,4.56338028169014,0,1,1.68831168831169,0,2,0.980674157303371,1.0,0,7
836,5,2,4,0,6,3.0,107,1,0,0,0,0.5,0,1,0,19,1,5.0,0,1,2.77777777777778,0,29,0.848258706467662,1.0,0,1
949,1,0,2,0,0,14,154,1,0,8,8,0.48,56,4,0,34,1,8.22222222222222,2,1,1.90909090909091,0,0,0.8011849901250825,1.0,0,1
669,6,13,1,8,12,4,343,1,2,2,38,0.59,94,2,0,23,2,3.45762711864407,0,1,0.60655737704918,0,0,0.978632478632479,0.0,0,3
671,1,1,1,2,0,4,338,1,3,2,49,0.28500000000000003,78,3,0,15,1,2.12962962962963,0,1,0.535714285714286,0,0,0.990066225165563,0.0,0,1
929,4,3,2,0,0,14,358,1,2,5,13,0.305,75,3,0,33,1,6.18181818181818,0,1,1.16666666666667,0,0,0.94716618635927,0.0,0,1
976,0,8,2,0,0,15,633,1,1,5,30,0.18,94,3,0,35,2,2.79487179487179,1,1,1.92682926829268,0,0,0.978632478632479,0.0,0,2
1147,0,9,1,0,0,9,150,1,0,25,3,0.39,75,3,1,33,1,10.3333333333333,0,1,1.92857142857143,0,0,0.971875,0.0,0,2
1740,1,5,1,16,10,3,191,3,0,2,15,0.79,93,3,2,9,2,3.95238095238095,1,1,0.68,0,0,0.978632478632479,0.0,0,2
1744,1,0,1,0,1,11,50,1,0,0,1,0.41,0,2,0,101,1,1.5,1,2,1.8,2,8,0.7606499058162395,0.25,0,0
1778,0,12,1,1,9,7,478,2,1,0,53,0.18,46,2,0,11,2,4.33333333333333,0,0,0.768115942028985,0,4,0.943973941368078,1.0,0,4
1641,4,6,1,2,2,8,238.0,2,1,6,29,0.72,92,3,0,12,1,1.875,0,1,0.558139534883721,0,361,0.865051903114187,1.0,0,3
1663,1,0,1,0,1,15,52,1,0,0,1,0.57,0,3,0,67,1,1.5,1,2,2.4,1,8,0.865051903114187,1.0,0,1
20,3,2,1,0,0,5,175,1,3,3,19,0.28500000000000003,56.5,2,0,11,2,6.77777777777778,1,1,1.41379310344828,0,2,0.985037406483791,1.0,0,6
934,0,0,2,0,0,10,169,1,1,3,7,0.8,41,2,0,19,1,4.375,2,2,2.1,0,0,0.7503719772392714,0.0,0,4
689,0,0,1,8,0,9,171,1,0,0,13,3.64,100,6,1,6,1,1.23076923076923,0,0,0.0,0,58,0.955128205128205,0.75,0,2
739,6,2,3,0,0,13,405,1,2,7,12,0.7,68,2,0,17,1,7.09090909090909,2,1,2.125,0,0.5,0.482364156339371,0.75,0,0
1737,1,0,1,0,3,19,258,2,1,0,8,0.42,0,4,0,12,2,6.5,0,1,1.15384615384615,0,0,0.978632478632479,0.0,0,1
194,1,1,2,6,0,6,122,1,11,11,0,0.305,84,1,0,5,1,5.69230769230769,3,1,1.6875,0,0,0.830564784053156,0.0,0,4
1053,3,9,2,0,0,17,238.0,1,1,14.5,36,0.79,87,1,0,48,1,5.20408163265306,0,1,1.05882352941176,2,1,0.762559038213826,1.0,0,4
1973,5,0,2,2,11,6,187,4,2,9,16,0.305,85,1,0,4,2,3.73913043478261,0,1,1.0,0,0,0.6808993867817394,0.0,0,3
383,9,0,2,0,7,8,25.5,1,0,3,31,0.92,65,1,0,4,3,19.7,1,0,0.80952380952381,0,0,0.682012847965739,0.0,0,0
1822,6.5,0,2,7,2,9,1023,1,1,0,78,3.0,95,2,0,16,1,3.74736842105263,0,2,1.04123711340206,0,1,0.986211424819435,1.0,0,4
226,1,0,11,0,3,14,73,1,3,0,7.0,0.55,0,1,0,4,1,22.75,0,1,1.16666666666667,0,0,0.962264150943396,0.0,0,2
1975,5,3,1,4,12,6,157,4,2,1,8,0.8,86,2,0,3,2,3.94444444444444,0,1,0.565217391304348,0,0,0.734793187347932,0.0,0,4
287,0,1,1,0,0,6,279,1,0,1,40,1.37,95,2,2,12,2,3.53658536585366,0,2,0.0,0,0,0.978632478632479,0.0,0,5
680,0,1,1,2,0,4,337,1,3,2,49,0.305,81,3,0,17,1,2.13207547169811,0,1,0.527272727272727,0,0,0.993311036789298,0.0,0,1
993,4,2,1,0,1,19,346,1,1,7,9,0.7,85,2,0,16.5,1,5.4375,0,1,1.83333333333333,0,2,0.829831932773109,1.0,0,4
1262,3,1,2,0,0,5,119,1,0,16,14,0.305,84,1,0,10,2,4.5,1,1,1.2,0,0,0.651629072681704,0.0,0,2
755,11,5,1,0,0,10,283.0,1,5,5,58,1.07,93,3,3,38,2,4.60759493670886,0,1,0.802469135802469,0,0,0.985037406483791,1.0,0,6
608,0,4,1,1,0,4,257,1,0,0,28,3.62,100,5,2,13,1,1.5,0,0,0.0,0,0,0.593516209476309,0.0,0,4
1491,12,3,1,14,0,7,283.0,2,14,4.0,71,0.18,94,2,1,48,3,5.18,0,1,1.14563106796116,0,1,0.928775948460988,1.0,0,6
60,0,2,1,0,0,1,87,1,3,3,41,0.2,64,1,2,14,2,5.65217391304348,0,1,1.10416666666667,0,0,0.427118644067797,0.0,0,2
1037,1,7,1,4,4,7,600,1,12,7,51,0.305,98,1,11,45,2,16.169014084507,0,0,0.794520547945205,0,1,0.893105629348514,1.0,0,1
1174,0,2,2,0,0,0.5,111,1,4,6,0,1.1,63,1,2,15,1,4.0,1,0,1.625,0,0,0.76890756302521,0.0,0,2
975,23,11,2,3,0,16,30.5,1,6,30,50,0.61,95,1,0,70,1,4.93333333333333,0,0,1.33695652173913,0,0,0.929205455726348,1.0,0,2
1469,0,0,1,0,0,2,185,1,0,1,39,0.305,97,1,0,19,3,0.692307692307692,0,0,0.341463414634146,0,0,0.641975308641975,0.0,0,1
955,7,1,2,3,1,11,238.0,1,1,11,15,0.305,86,4,0,34,1,3.83333333333333,0,1,1.15384615384615,0,43,0.858866103739445,1.0,0,2
1064,4,1,2,0,0,22,310,1,0,7,6,0.48,83,4,0,40,1,10.2727272727273,1,1,3.23076923076923,0,0,0.907053941908714,0.0,0,4
1777,0,0,1,1,1,2.0,402.0,1,0,0,6,0.31,83,4,0,12,1,1.0,0,2,1.125,0,0,0.978632478632479,0.0,0,1
1069,11,8,2,0,0,2.0,387,1,0,2,9,0.39,89,1,0,48,1,5.5,1,1,2.33333333333333,0,0.5,0.985037406483791,0.888888888888889,0,6
1840,1,0,1,0,1,3,34,1,0,0,1,1.13,0,3,0,34.0,1,1.5,1,2,1.4,2,0.5,0.510902734857849,0.666666666666667,0,2
1205,1,2,1,0,2,8,69.5,1,1,13,30,0.97,93,1,3,31,2,2.52941176470588,0,0,0.638888888888889,0,14.0,0.631688501448773,0.6,0,4
2400,56,1,1,4,33,7,402.0,11,2,4,52,0.33,97,2,0,29,3,3.53153153153153,0,0,0.67479674796748,0,0.5,0.892831105710814,0.5,0,2
1669,19,0,1,10,5,6,238.0,1,1,0,57,0.2,96,3,1,20,1,3.18181818181818,0,2,1.74683544303797,0,1,0.867291844273941,1.0,0,7
1687,14,0,1,7,8,10,277,1,0,3,8,0.67,79,3,0,9,1,4.59090909090909,0,1,1.08333333333333,0,0,0.690566037735849,0.0,0,2
1707,30,1,2,11,0.5,4,442,1,2,0,15,0.15,94,4,0,16,1,7.54166666666667,0,1,1.26,0,0,0.995516877637131,0.0,0,1
2407,6,0,1,0,2,7,261,2,0,0,28,0.305,0,4,0,11,2,1.67647058823529,0,1,0.594594594594595,0,0,0.995402298850575,0.0,0,1
1046,7,36,2,0,0,11,402.0,1,3,6,77,0.62,97,1,0,64,1,4.30081300813008,0,1,1.584,0,14.0,0.848963242224317,1.0,0,4
1763,14,1,1,0,8,5,238.0,4,1,0,30,0.37,0,4,0,12,2,1.80434782608696,0,1,0.313725490196078,0,92,0.911620294599018,1.0,0,1
2420,0,0,1,28,1,3,88,1,13,0,2,0.305,100,4,3,7,1,9.66666666666667,3,1,0.823529411764706,0,369,1.0,1.0,0,0
1272,2,1,2,0,0,13,30.5,1,6,46,14,0.82,87,4,2,28,3,9.52173913043478,0,1,1.88,0,0,0.869745003445899,0.0,0,0
2425,0,0,1,0,2,8,151,1,2,0,13,0.305,0,4,0,8,1,0.933333333333333,0,2,0.882352941176471,0,76,0.868761552680222,1.0,0,0
1757,25,0,1,21,4,9,459,1,3,0,7,0.18,97,2,0,11,1,3.88571428571429,0,0,0.864864864864865,0,0,0.878149100257069,0.0,0,4
2438,30,0,2,71,15,4,402.0,1,2,2,17,0.26,99,2,0,16,1,4.51020408163265,0,1,0.666666666666667,0,0,0.973226238286479,0.0,0,5
2471,19,1,1,7,10,11,581,2,2,1,27,0.18,96,4,0,12,2,3.16326530612245,0,1,1.07692307692308,0,0,1.0,0.0,0,0
2387,7,0,1,2,4,6,167,3,0,1,12,0.41,86,3,0,8,2,2.73684210526316,0,1,1.08695652173913,0,0,0.99375,0.0,0,2
2447,0,0,1,0,2,8,80,1,0,0,7,0.58,0,1,0,12,1,1.57142857142857,1,2,1.11111111111111,0,236,1.0,1.0,0,0
1639,2,0,1,0,2,2,130,1,2,1,39,0.28500000000000003,16,3,0,15,1,1.46511627906977,0,1,0.622222222222222,0,0,0.631688501448773,0.0,0,1
530,0,32,1,0,0,0.5,238.0,1,0,1,11,2.33,100,0,1,7,0,0.0232558139534884,0,1,0.0,0,30,0.880560633759902,1.0,0,7
1091,6,1,2,1,2,20,427,1,2,8,10,0.6,90,1,0,56,1,5.78947368421053,0,1,1.85714285714286,0,14,0.709104938271605,1.0,0,4
1126,0,1,2,0,0,11,83,1,0,1,10.5,1.24,50,2,0,7,1,2.5,0,1,2.0,0,0,0.915730337078652,0.0,0,5
1780,11,0,1,1,11,6,238.0,2,1,2,33,0.21,77,3,0,9,2,1.71111111111111,0,1,0.458333333333333,0,0.5,0.5522734302505415,0.666666666666667,0,4
1054,1,6,1,0,0,25,238.0,1,2,7,15,1.78,89,3,2,32,1,4.04166666666667,0,1,0.923076923076923,0,0,0.985037406483791,0.0,0,6
1730,5,0,1,0,2,5,283,1,0,0,46,0.25,0,3,0,10,1,3.31372549019608,0,1,0.377358490566038,0,0,0.506180469715698,0.0,0,2
1948,3,0,1,0,23,9,620,2,4,2,54,0.98,96,2,254,18,2,78.4918032786885,0,0,0.753846153846154,0,0.5,0.985037406483791,1.0,0,9
1979,1,0,1,0,0,6,54,1,2,3,2,0.74,57.0,2,1,2,1,7.0,2,3,1.71428571428571,2,0,0.81294964028777,0.0,0,1
1024,3,7,1,0,1,8,185,1,0,6,8,0.305,77,1,0,19,1,3.83333333333333,1,1,1.05,0,0,0.424628450106157,0.0,0,1
1683,48,0,2,6,17,8,238.0,1,1,1,55,0.32,98,1,0,34.0,1,4.70192307692308,0,0,0.830188679245283,0,0,0.557471264367816,0.0,0,0
769,3,11,1,0,1,12,809,1,1,4.0,45,1.12,94,2,2,19,2,5.16666666666667,0,0,0.919354838709677,0,0,0.895308924485126,0.0,0,4
44,25,19,2,13,0,1,239,1,6,16.5,35,0.24,94,1,1,29,1,8.36470588235294,0,0,0.632183908045977,0,0,0.835443037974684,0.0,0,7
98,2,0,1,0,0,9,195,1,2,10,12,0.18,79,1,2,21,2,4.5625,1,0,1.38888888888889,0,0,0.835443037974684,0.0,0,3
148,14,46,1,1,1,1,238.0,1,25,12,2,0.33,85,3,1,21,1,7.73563218390805,1,1,0.775280898876405,0,14.0,0.925,1.0,0,5
1260,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,21,2,2,0,0,17,238.0,2,1,6.5,9,0.38,87,3,0,79,2,10.6666666666667,1,1,1.94444444444444,0,2,0.874439461883408,1.0,0,4
71,76,12,1,29,0,2,402.0,1,16,16.5,206,0.23,96,1,1,40,3,7.35161290322581,0,0,1.38461538461538,0,0,0.384935231089077,0.0,0,4
247,1,0,1,2,1,4,95,1,0,5,14,0.83,72,1,0,2,3,2.73333333333333,0,1,0.647058823529412,0,30,0.835443037974684,0.75,0,2
254,0,0,1,0,0,8,246,1,0,6,27,0.88,59,1,0,5,3,5.03703703703704,0,1,0.586206896551724,0,0,0.835443037974684,0.0,0,3
1311,2,3,1,5,0,20,30.5,1,8,14.5,26,0.86,87,2,2,38,2,8.07692307692308,0,0,1.34146341463415,0,0.5,0.88031565103025,0.5,0,4
