,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MAJOR_LINE
1822,6.5,0,2,7,2,9,1023,1,1,0,78,0.3,95,2,0,16,1,3.74736842105263,0,2,1.04123711340206,0,1,0.986211424819435,1.0,0,2
262,2,0,1,2,0,2,114,2,0,11,17,0.55,79,2,0,20,2,2.31578947368421,0,1,0.409090909090909,0,3,0.984084880636605,1.0,0,3
1437,6,5,1,0,0,9,189,1,2,2,1,0.305,67,4,0,7,1,4.42857142857143,2,1,1.75,0,0,0.995967741935484,0.0,0,1
1707,30,1,2,11,43,4,442,1,2,0,15,0.15,94,3,0,16,1,7.54166666666667,0,1,1.26,0,0,0.995516877637131,0.0,0,1
2387,7,0,1,2,4,6,167,3,0,1,12,0.41,86,3,0,8,2,2.73684210526316,0,1,1.08695652173913,0,0,0.99375,0.0,0,2
1797,4,0,1,3,21,3,142,2,1,0,14.5,0.29,88,4,0,8,2,0.903225806451613,0,1,0.147058823529412,0,0,0.97997138769671,0.0,0,1
836,5,2,4,0,6,12,107,1,0,0,0,0.305,0,2,0,19,1,5.0,0,1,2.77777777777778,0,6.5,0.848258706467662,1.0,0,1
1209,1,1,1,0,0,9,182,1,0,13,13,0.12,80,0,0,15,2,5.4,1,1,1.47058823529412,0,168.0,0.866888519134775,0.0,5,0
2069,1,0,1,0,1,1,25,1,0,0,1,0.96,0,3,0,13,1,1.5,1,2,1.0,0,6,0.978632478632479,0.75,0,2
1596,2,0,2,0,2,6,44,1,0,0,1,0.21,0,2,0,12,1,2.33333333333333,1,2,1.2,0,1,0.385964912280702,1.0,1,0
1700,3,0,1,0,1,2,61,1,0,2,11,0.16,75,4,0,10,1,1.92857142857143,0,2,1.125,0,0,0.978632478632479,0.0,0,1
738,0,13,1,0,0,3,78,1,0,3,0,1.47,64,7,4,3,1,19.3846153846154,2,1,0.2,0,0.0,0.978632478632479,0.0,6,1
1740,1,5,1,16,10,3,191,3,0,2,15,0.12,93,0,2,9,2,3.95238095238095,1,1,0.68,0,168.0,0.995049504950495,0.0,1,2
20,3,2,1,0,0,5,175,1,3,3,19,0.21,70,2,0,11,2,6.77777777777778,1,1,1.41379310344828,0,1,0.925,1.0,0,0
993,4,2,1,0,1,19,47.5,1,1,8,9,0.12,85,2,0,48,1,5.4375,0,1,1.83333333333333,0,2,0.829831932773109,1.0,0,0
2400,56,1,1,4,33,7,199.0,13,2,4,52,0.09,97,1,0,29,3,3.53153153153153,0,0,0.67479674796748,0,4.5,0.892831105710814,0.5,0,2
1815,1,0,1,1,1,8,127,1,0,0,11,0.26,75,4,0,10,1,1.16666666666667,0,2,0.0,0,0,0.978632478632479,0.0,0,0
784,0,22,1,0,1,3,196,1,0,9,1,1.07,82,1,0,17,1,4.47826086956522,1,1,0.76,0,0,0.89438202247191,0.0,0,1
1085,1,2,2,0,0,6,152,1,0,0,17,0.305,0,4,1,20,1,2.5,0,1,1.0,0,0.0,0.995049504950495,0.0,5,4
1308,1,0,5,0,0,35,173,1,2,0,1,0.61,0,1,1,20,1,13.5,1,2,3.83333333333333,0,93,0.927272727272727,0.5,0,2
1620,12,0,1,8,5,2,124,3,0,8,8,0.305,88,4,0,10,2,3.0,0,1,0.541666666666667,0,0.0,0.995049504950495,0.0,5,2
1669,10.5,0,1,10,5,6,94.5,1,1,0,57,0.2,96,3,1,20,1,3.18181818181818,0,2,1.74683544303797,0,1,0.995049504950495,1.0,0,0
2433,38,0,1,41,8,13,700,2,1,0,13,0.28500000000000003,96,3,0,11,2,6.11538461538461,0,0,1.52727272727273,0,0.5,0.993348115299335,1.0,0,1
2407,6,0,1,0,2,7,210.0,2,0,0,28,0.46,0,4,0,11,2,1.67647058823529,0,1,0.594594594594595,0,0,0.995402298850575,0.0,0,1
1755,2,0,1,9,3,48.0,86,2,3,2,14,0.08,87,1,0,7,2,4.47368421052632,0,2,1.5,0,414.0,0.995049504950495,0.0,6,2
1285,1,0,1,0,0,8,44,1,1,2,1,0.28500000000000003,66,4,0,14,1,7.66666666666667,3,2,3.0,0,0,0.960975609756098,0.0,0,3
1778,0,12,1,1,9,7,94.5,2,1,0,53,0.21,46,3,0,11,2,4.33333333333333,0,0,0.768115942028985,0,0,0.943973941368078,1.0,0,0
2460,5,0,1,0,1,10,115,1,0,0,3,0.305,0,4,0,6,1,11.5,1,2,0.7,0,40,0.997695852534562,1.0,0,1
1888,7,0,1,0,2,1,52,2,1,0,16,0.22,0,1,0,7,2,3.04166666666667,0,1,0.296296296296296,0,4.5,0.955128205128205,1.0,6,0
2434,24,0,1,21,6,8,238.0,1,2,6,6,0.18,91,4,0,12,1,5.59375,0,1,1.08823529411765,0,14.0,0.994720965309201,1.0,0,2
846,21,9,3,2,6,5,94.5,4,10,12.5,31,0.34,96,2,1,43,3,4.56338028169014,0,1,1.68831168831169,0,2,0.980674157303371,1.0,0,0
934,0,0,2,0,0,10,169,1,1,3,7,0.8,41,0,0,19,1,4.375,2,2,2.1,0,46.0,0.615384615384615,0.0,5,0
2463,35,45,1,53,0,6,199.0,7,5,4.0,5,0.26,92,0,0,14,2,11.7555555555556,2,1,0.948979591836735,0,0,0.920272673384707,1.0,0,2
1066,17,4,1,19,0,18,160.0,1,2,17,25,0.92,90,1,0,49,1,6.39583333333333,0,1,1.1,0,2.5,0.930309278350515,1.0,5,1
1671,0,0,1,0,1,9,137,1,2,2,10,0.28500000000000003,83,1,0,8,1,1.5,0,2,0.428571428571429,0,659.0,0.929347826086957,0.0,0,3
1886,2,0,1,0,2,5,151,2,2,3,13,0.18,52,1,0,10,2,2.64705882352941,1,2,0.55,0,17.0,0.978632478632479,0.0,6,2
755,11,5,1,0,0,10,94.5,1,5,5,58,1.07,93,0,3,38,2,4.60759493670886,0,1,0.802469135802469,0,1,0.955128205128205,1.0,0,0
1036,2,6,1,0,0,17,62.5,1,1,10,36,0.99,90,0,0,40.5,1,3.82222222222222,0,0,1.1063829787234,0,1,0.851891315929675,1.0,1,3
1274,2,3,1,0,1,7,518.0,1,0,16,55,0.96,92,2,0,17,4,1.93333333333333,0,0,0.435483870967742,0,0.0,0.943625325238508,0.0,5,0
