test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
20,0,3.0,2.0,1.0,0.0,0.0,5.0,175.0,1.0,3.0,3.0,19.0,0.35,70.0,2.0,0.0,11.0,2.0,6.77777777777778,1.0,1.0,1.41379310344828,0.0,2.0,0.8272560350046863,1.0,0.0,4.499755859375,0.5086649272539345,0.4913350727460654,2,6.204936557542997
30,0,4.0,3.0,1.0,0.0,0.0,4.0,231.0,1.0,2.0,6.0,30.0,0.33,84.0,2.0,0.0,16.0,2.0,7.1025641025641,1.0,1.0,1.21951219512195,0.0,27.0,0.7688089396110503,0.666666666666667,0.0,4.499877989292145,0.5436274825382603,0.4563725174617397,2,7.2984379465030615
41,0,12.0,9.0,1.0,9.0,0.0,2.0,463.0,1.0,35.0,36.0,94.0,0.28,96.0,1.0,1.0,36.0,3.0,5.4,0.0,0.0,0.907894736842105,0.0,10.0,0.9807691052026745,1.0,0.0,2.49951171875,0.5108483299195945,0.48915167008040544,2,9.339458194983283
44,0,25.0,19.0,2.0,13.0,0.0,1.0,239.0,1.0,6.0,28.0,35.0,0.24,94.0,1.0,1.0,29.0,1.0,8.36470588235294,0.0,0.0,0.632183908045977,0.0,0.0,0.592727272727273,0.0,0.0,2.4996341466903687,0.5412805046337661,0.45871949536623385,1,3.0354551823193012
60,0,0.0,2.0,1.0,0.0,0.0,1.0,87.0,1.0,3.0,3.0,41.0,0.2,64.0,1.0,2.0,14.0,2.0,5.65217391304348,0.0,1.0,1.10416666666667,0.0,0.0,0.48959188845198076,0.0,0.0,4.0,0.5509889626319806,0.4490110373680194,1,0.9271793866738571
61,0,0.0,0.0,1.0,0.0,0.0,3.0,86.0,1.0,1.0,0.0,15.0,0.43,0.0,2.0,1.0,15.0,1.0,2.8125,1.0,2.0,1.05263157894737,0.0,0.0,0.7687660033504169,0.0,0.0,3.0,0.6045796492496605,0.3954203507503396,1,4.226656463343248
67,0,25.0,24.0,1.0,22.0,2.0,3.0,557.0,2.0,4.0,12.0,77.0,0.25,93.0,2.0,2.0,37.0,3.0,7.99230769230769,0.0,1.0,1.11278195488722,0.0,0.0,0.8194694676053024,0.0,0.0,1.265625,0.6991669999721042,0.3008330000278958,2,8.947578350288278
71,0,76.0,12.0,1.0,29.0,0.0,2.0,427.3671875,1.0,16.0,53.0,206.0,0.23,96.0,1.0,1.0,40.0,3.0,7.35161290322581,0.0,0.0,1.38461538461538,0.0,0.0,0.384935231089077,0.0,0.0,2.4996341466903687,0.5683085913381991,0.43169140866180095,2,11.766767738966845
80,0,2.0,4.0,1.0,4.0,3.0,2.0,198.0,3.0,2.0,11.0,28.0,0.72,92.0,3.0,4.0,11.0,2.0,29.3055555555556,1.0,1.0,0.45,0.0,0.0,0.8194806974616636,0.0,0.0,3.0,0.5997864627838787,0.4002135372161213,1,2.81047023704621
85,0,21.0,32.0,1.0,16.0,1.0,2.0,427.48491084575653,1.0,12.0,43.0,82.0,0.28,95.0,1.0,2.0,23.0,3.0,6.39455782312925,0.0,0.0,1.24832214765101,0.0,0.0,0.530458590006845,0.0,0.0,2.5,0.5478910992854009,0.45210890071459914,2,4.816502711555905
88,0,1.0,0.0,8.0,18.0,2.0,4.0,59.0,1.0,0.0,0.0,2.0,0.52,37.0,1.0,0.0,5.0,1.0,27.6666666666667,0.0,1.0,1.4,0.0,0.0,0.8195017692556927,0.0,0.0,1.0,0.6313641816846185,0.3686358183153815,1,4.741797186616144
98,0,2.0,0.0,1.0,0.0,0.0,9.0,195.0,1.0,2.0,10.0,12.0,0.83,79.0,1.0,2.0,21.0,2.0,4.5625,1.0,0.0,1.38888888888889,0.0,0.0,0.8907874220374221,0.0,0.0,3.0,0.5207940525749186,0.4792059474250813,1,8.499570277847502
120,0,40.0,7.0,1.0,1.0,0.0,2.0,425.0,1.0,32.0,34.0,53.0,0.34,96.0,2.0,1.0,40.0,1.0,5.20454545454545,0.0,0.0,0.477611940298507,0.0,14.0,0.9807082592310299,1.0,0.0,2.5,0.5433529912169694,0.4566470087830306,2,6.851251921791552
124,0,30.0,13.0,1.0,0.0,0.0,4.0,427.4998745918274,1.0,9.0,13.0,5.0,0.54,93.0,2.0,1.0,23.0,1.0,5.17543859649123,1.0,1.0,1.11864406779661,0.0,0.0,0.630637079455977,0.0,0.0,3.499878168106079,0.5588686394971958,0.4411313605028042,2,2.360817436825726
