,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
185,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,0,1,0,7,2,133,2,8,1,0.67,0,100,3,0,2,2,2.0,0,0,0,217,0.6875,0,2,2
291,,,,,,,,,,,,,,,,,,,,,,,,,,
534,2,0,1,0,5,2,495,6,0,16,0.67,0,93,1,0,21,2,2.4,0,1,0,1,0.375,0,4,4
631,2,4,1,5,6,2,578,9,11,17,0.81,0,100,1,1,30,2,5.75,0,0,0,1,0.485714285714286,4,3,7
379,1,1,1,0,6,2,81,2,3,1,0.75,0,100,5,0,17,2,1.875,0,1,0,0,0.428571428571429,0,3,0
365,0,0,1,0,7,2,24,8,10,8,1.09,1,100,5,34,5,2,3.09090909090909,0,0,0,167,0.285714285714286,0,4,5
264,0,3,1,0,5,1,362,1,0,10,1.0,0,91,2,1,9,1,0.375,1,1,0,17,0.222222222222222,0,3,4
468,0,0,1,0,3,1,82,1,1,1,2.73,0,87,5,4,1,1,5.0,0,2,0,0,0.428571428571429,0,1,2
589,0,0,2,0,4,3,47,1,0,1,0.42,1,50,2,0,13,1,0.375,1,2,0,64,0.25,0,5,3
563,0,0,1,0,9,2,113,3,1,0,0.81,1,93,2,0,0,2,3.44444444444444,0,1,0,25,0.461538461538462,0,4,6
8,3,0,1,1,5,2,116,2,1,8,0.66,0,84,7,0,13,1,0.571428571428571,1,1,0,192,0.7,0,1,1
590,0,0,1,0,7,3,107,1,2,0,1.57,1,0,3,0,0,1,2.5,1,2,0,49,0.461538461538462,0,4,2
742,9,6,1,15,3,2,307,11,0,12,0.36,0,82,2,7,15,2,3.28169014084507,0,0,0,0,0.266666666666667,0,2,6
187,,,,,,,,,,,,,,,,,,,,,,,,,,
292,6,0,1,2,6,2,492,7,17,6,0.65,0,95,5,12,26,2,4.58823529411765,0,0,0,1,0.37037037037037,3,4,6
1234,0,0,1,0,2,1,30,2,1,1,0.75,1,100,5,0,0,2,0.5,0,0,0,0,0.5,0,2,0
238,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,
371,3,0,1,0,6,1,37.0,2,5,7,1.69,0,84,6,1,6,1,2.38888888888889,0,1,0,30,0.4,0,5,2
493,12,5,2,0,6,3,434,7,6,4,0.48,1,92,2,3,20,2,16.051724137931,0,1,0,1,0.227272727272727,1,4,5
396,20,1,1,1,5,2,520,17,14,17,0.66,1,100,6,10,11,3,3.32051282051282,0,0,0,1,0.454545454545455,0,3,3
416,,,,,,,,,,,,,,,,,,,,,,,,,,
538,3,0,1,0,4,2,204,4,1,13,0.68,0,87,1,1,28,2,15.1034482758621,0,1,0,1,0.153846153846154,0,4,5
474,0,0,1,0,7,2,33,1,0,0,3.1,2,100,1,0,8,2,3.0,3,7,1,63,0.2,0,1,1
569,,,,,,,,,,,,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,,,,,,,,,,,
516,2,1,1,1,4,1,141,3,2,3,0.84,0,92,1,2,8,3,0.5,0,0,0,52,0.333333333333333,0,3,2
549,,,,,,,,,,,,,,,,,,,,,,,,,,
578,0,0,1,0,5,1,191,1,0,12,0.99,0,93,1,0,1,2,0.4,1,1,0,8,0.333333333333333,0,2,5
1201,0,0,1,0,2,1,98,2,3,2,0.33,1,52,2,0,10,2,1.37037037037037,0,0,0,1,0.357142857142857,0,3,3
582,,,,,,,,,,,,,,,,,,,,,,,,,,
790,0,0,1,0,1,1,36,1,0,2,0.69,0,83,2,0,4,1,1.33333333333333,0,1,0,1,0.666666666666667,0,1,1
583,,,,,,,,,,,,,,,,,,,,,,,,,,
584,0,0,2,0,5,3,49,1,0,2,0.48,1,30,2,3,9,1,0.473684210526316,3,2,0,51,0.375,0,3,3
586,0,0,1,0,4,3,47,1,2,0,0.68,0,0,3,0,6,1,0.4,3,2,0,6,0.5,0,3,3
588,0,0,1,0,6,4,80,1,2,1,3.165,1,0,3,0,5,1,10.0,4,3,0,5,0.2,0,2,1
610,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,2,1,1,0,3,1,105,8,3,2,0.42,2,100,2,0,36,2,1.61538461538462,0,0,0,1,0.4,0,5,2
802,0,0,17,1,12,26,43,1,0,0,0.35,9,0,1,0,0,1,0.4,16,6,5,13,0.5,0,2,2
809,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,0,0,1,0,4,2,27,1,0,0,2.8,5,0,3,0,15,1,1.5,1,2,0,7,0.333333333333333,0,3,0
1168,1,0,1,0,4,1,88,2,2,1,0.43,1,86,5,0,9,1,0.4,1,1,0,10,0.4,0,1,2
1231,0,0,1,0,3,1,48,2,0,4,3.1500000000000004,0,66,5,0,7,1,1.5,1,1,0,1,0.25,0,2,1
