,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
1628,3,1,1,5,16,7,0.54,1,86,1,2,22,2,6.6,1,5.9,0,1,1.13513513513514,0,0.5,0,1,5,4
10,0,2,0,7,133,5,0.47,0,81,2,0,4,1,5.71428571428571,1,7.0,1,1,1.625,0,0.533333333333333,0,4,6,4
21,45,1,1,4,20,0,2.36,0,100,2,2,14,2,2.84745762711864,0,0.779661016949153,0,1,0.0,0,0.470588235294118,0,4,7,7
23,1,1,1,4,553,1,0.59,0,91,2,1,3,2,17.1,1,4.21818181818182,1,1,0.438848920863309,0,0.428571428571429,5,6,4,10
44,0,2,0,7,14,0,1.13,0,0,4,0,6,3,56.7142857142857,2,4.57142857142857,2,1,0.8125,0,0.4,0,3,6,3
54,0,1,4,4,80,2,0.33,0,81,2,0,22,1,4.76923076923077,1,6.07692307692308,1,1,1.93333333333333,0,0.1,0,5,5,3
187,0,1,1,5,17,0,0.66,0,93,1,0,35,1,3.1875,0,5.8125,1,1,1.33333333333333,0,0.6,0,3,3,2
224,0,3,5,2,22,0,0.24,0,84,1,0,3,1,9.03571428571429,1,6.5,1,1,2.53333333333333,0,0.571428571428571,0,4,3,5
1661,1,1,13,0,19,4,0.08,2,87,2,0,20,2,3.88235294117647,0,6.91176470588235,1,1,0.5,0,0.5,0,1,3,2
552,117,1,137,0,211,76,2.51,0,99,2,2,39,2,3.28732394366197,0,3.22464788732394,0,0,0.433378196500673,0,0.636363636363636,0,2,5,5
563,57,1,46,0,90,24,0.02,0,97,2,3,13,2,2.25150905432596,0,3.39034205231388,0,1,0.442084942084942,0,0.833333333333333,0,1,2,1
661,6,1,12,2,14,2,0.43,0,92,2,0,18,3,5.09090909090909,1,4.23636363636364,1,1,0.683333333333333,0,0.666666666666667,0,2,3,11
682,17,2,20,3,505,12,0.27,0,95,2,1,4,2,5.5929203539823,0,6.69026548672566,1,1,1.25,0,0.705882352941177,0,1,6,6
717,3,2,4,4,143,4,0.24,2,88,2,4,4,2,5.875,1,10.5,1,1,1.4,0,0.666666666666667,0,3,5,10
733,2,1,1,12,314,0,0.89,0,83,1,0,7,1,7.125,2,6.0,1,1,1.0,0,0.444444444444444,0,6,5,2
782,0,1,0,0,21,2,0.52,0,0,3,0,11,1,3.5,1,5.5,3,1,0.833333333333333,0,0.25,0,3,4,4
788,1,2,2,1,32,1,0.15,1,71,3,0,6,1,2.8,1,6.6,1,1,1.46153846153846,0,0.333333333333333,0,2,5,6
793,20,1,0,5,161,0,3.04,0,0,2,2,5,1,3.51851851851852,0,0.518518518518518,0,1,0.0,0,0.583333333333333,0,3,6,6
799,1,1,1,4,20,5,0.43,0,74,1,0,15,1,9.86206896551724,2,5.93103448275862,1,1,1.03225806451613,0,0.538461538461538,0,1,3,2
842,1,1,0,4,20,0,0.34,0,55,1,0,25,2,2.14285714285714,1,11.2857142857143,1,1,1.7,0,0.5,0,3,4,1
858,3,1,1,1,71,0,1.276,0,77,1,0,11,3,5.5625,1,5.15625,1,1,0.825,0,0.571428571428571,0,6,4,4
890,2,1,1,3,15,0,0.66,0,68,2,0,4,2,3.05263157894737,1,3.36842105263158,1,1,0.739130434782609,0,0.666666666666667,0,5,2,1
908,2,3,1,2,5,0,0.37,0,50,1,0,20,2,6.0,2,9.0,1,1,2.5,0,0.75,0,1,2,1
933,11,1,2,8,313,0,0.68,0,100,2,1,2,2,7.07407407407407,0,6.96296296296296,1,0,0.939393939393939,0,0.375,0,4,5,8
949,34,1,0,3,16,0,1.8,0,100,1,1,7,2,6.71111111111111,0,0.777777777777778,0,1,0.0,0,0.4,0,5,6,6
954,0,2,2,6,20,0,0.57,0,75,1,0,10,2,7.63636363636364,2,5.81818181818182,1,1,0.928571428571429,0,0.444444444444444,0,2,6,4
969,0,1,1,5,20,0,0.57,0,73,1,0,19,1,4.66666666666667,2,7.0,2,1,1.14285714285714,0,0.5,0,3,4,3
970,0,2,1,5,17,8,0.35,0,83,2,0,24,2,6.52,1,8.76,1,1,1.75862068965517,0,0.32,3,2,4,6
1071,7,1,11,0,98,9,0.08,0,89,1,2,8,2,6.2125,0,6.8375,1,0,1.27906976744186,0,0.25,0,2,6,5
1090,0,1,2,1,62,0,0.31,0,44,1,1,13,2,3.0,1,4.22222222222222,0,1,1.0,0,0.714285714285714,0,1,3,2
1117,57,2,12,2,751,2,0.28,0,100,3,3,2,2,4.91,0,5.605,0,0,0.850678733031674,0,0.368421052631579,0,4,8,10
1165,0,1,0,14,82,0,1.19,0,0,1,0,11,1,6.5,3,7.25,2,1,0.833333333333333,0,1.0,0,1,5,4
1175,0,1,12,5,161,0,0.22,3,82,3,0,9,2,3.33333333333333,0,13.1851851851852,1,1,1.11764705882353,0,0.454545454545455,3,6,4,4
1213,12,1,3,0,49,0,0.12,0,90,3,0,6,2,2.02325581395349,0,3.32558139534884,1,1,0.333333333333333,0,0.5,0,5,3,6
1217,0,1,7,2,13,0,0.21,0,57,2,0,14,1,3.85714285714286,1,5.85714285714286,1,1,0.8,0,0.4,0,2,3,5
1220,0,1,3,1,31,0,0.44,1,55,3,0,10,1,2.25,1,6.0,1,1,0.465,0,0.428571428571429,0,2,3,3
1318,1,1,8,2,62,0,0.22,2,80,1,1,1,1,4.21428571428571,1,8.71428571428571,1,1,0.75,0,0.75,0,4,3,5
1369,0,1,4,15,406,0,3.69,0,75,1,0,4,1,2.18181818181818,0,4.63636363636364,0,1,0.538461538461538,0,0.6,0,1,3,5
1414,11,1,8,2,67,0,0.26,0,87,2,0,1,2,3.45454545454545,0,4.45454545454545,1,1,0.384615384615385,0,0.375,0,4,5,2
1426,3,1,8,1,53,0,0.22,1,84,4,0,4,2,4.14285714285714,0,7.57142857142857,2,1,0.9,0,0.5,0,2,4,4
1449,0,1,6,3,82,0,2.96,2,63,1,0,26,1,4.6875,0,10.4375,2,1,0.722222222222222,0,0.333333333333333,0,2,5,3
1455,2,1,7,4,103,0,0.25,3,83,3,0,3,2,5.41176470588235,2,9.58823529411765,2,1,1.65,0,0.25,0,4,4,7
1477,0,1,19,1,17,4,0.13,1,100,2,1,34,2,7.11842105263158,0,8.28947368421053,0,0,1.0,0,0.263157894736842,0,3,7,7
1526,0,1,15,0,115,0,0.07,1,67,2,0,4,2,4.976,0,6.192,1,1,0.476923076923077,0,0.421052631578947,0,4,8,8
1595,0,1,2,1,36,0,0.15,0,61,1,0,10,2,2.14285714285714,1,8.42857142857143,2,1,0.411764705882353,0,0.2,0,2,4,4
1609,0,1,7,0,21,7,0.16,0,82,1,2,19,1,4.33333333333333,1,4.33333333333333,1,1,0.5,0,0.428571428571429,0,4,1,5
