,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
1628,3,1,1,5,237,7,0.54,1,86,1,2,22,2,6.6,1,5.9,0,1,1.13513513513514,0,0.5,0,1,0,4
10,0,2,0,7,133,5,0.47,0,81,2,0,23,1,5.71428571428571,1,7.0,1,1,1.625,0,0.533333333333333,0,4,0,4
39,4,1,2,4,148,1,0.7,0,86,3,4,10,4,10.8333333333333,1,3.25,1,1,0.769230769230769,0,0.461538461538462,0,3,0,5
44,0,2,0,7,14,0,1.13,0,0,4,0,6,3,56.7142857142857,2,4.57142857142857,2,1,0.8125,0,0.4,0,3,6,3
19,0,1,0,5,186,0,0.95,0,86,3,0,5,3,20.5555555555556,1,2.66666666666667,1,1,0.586206896551724,0,0.666666666666667,0,4,0,3
47,0,1,3,8,329,2,0.97,0,90,1,0,5,2,18.3333333333333,2,3.72727272727273,1,1,0.638888888888889,0,0.666666666666667,0,3,0,5
54,0,1,4,4,80,2,0.33,0,81,2,0,22,1,4.76923076923077,1,6.07692307692308,1,1,1.93333333333333,0,0.583333333333333,0,5,0,3
1640,13,1,13,4,455,23,0.4,0,94,2,1,31,2,5.62025316455696,0,6.13924050632911,1,1,0.91304347826087,0,0.538461538461538,0,2,0,8
21,45,1,1,4,326,0,2.36,0,100,2,2,14,2,2.84745762711864,0,0.779661016949153,0,1,0.0,0,0.470588235294118,0,4,0,7
187,0,1,1,5,17,0,0.66,0,93,1,0,35,1,3.1875,0,5.8125,1,1,1.33333333333333,0,0.6,0,3,3,2
224,0,3,5,2,131,0,0.24,0,84,1,0,3,1,9.03571428571429,1,6.5,1,1,2.53333333333333,0,0.571428571428571,0,4,3,0
22,42,1,6,1,531,16,0.26,0,97,3,4,72,3,3.41706161137441,0,3.62085308056872,0,1,0.518828451882845,0,0.297297297297297,8,4,0,15
23,1,1,1,4,553,1,0.59,0,91,2,1,3,2,17.1,1,4.21818181818182,1,1,0.438848920863309,0,0.428571428571429,5,6,4,10
1661,1,1,13,0,40,4,0.08,2,87,2,0,20,2,3.88235294117647,0,6.91176470588235,1,1,0.5,0,0.5,0,1,0,2
1662,3,1,1,2,67,0,0.33,0,80,2,0,14,2,2.76470588235294,0,5.35294117647059,0,1,0.695652173913043,0,0.714285714285714,0,1,0,2
30,0,1,1,5,100,1,0.68,0,89,4,0,7,2,4.85714285714286,0,4.85714285714286,1,1,1.0625,0,0.444444444444444,0,2,0,4
257,,,,,,,,,,,,,,,,,,,,,,,,,
349,0,2,2,2,74,0,0.37,0,66,2,0,23,3,4.125,0,6.375,0,1,2.58333333333333,0,0.333333333333333,0,1,0,3
455,0,1,6,2,75,2,0.27,1,74,2,0,16,3,2.88235294117647,0,5.70588235294118,0,1,0.708333333333333,0,0.333333333333333,0,3,0,2
552,117,1,137,0,211,76,0.02,0,99,2,2,0,2,3.28732394366197,0,3.22464788732394,0,0,0.433378196500673,0,0.636363636363636,0,2,5,5
563,57,1,46,0,90,24,0.02,0,97,2,2,13,2,2.25150905432596,0,3.39034205231388,0,1,0.442084942084942,0,0.833333333333333,0,1,0,1
574,4,1,1,6,209,0,0.74,0,66,1,0,19,1,6.11111111111111,3,4.7037037037037,1,1,0.620689655172414,0,0.222222222222222,0,4,0,2
585,0,1,0,0,18,0,0.06,0,0,1,4,9,2,0.0153846153846154,0,0.0153846153846154,0,1,0.0,0,0.25,0,4,0,3
586,0,1,0,0,19,0,0.06,0,0,1,22,24,2,0.737704918032787,0,0.491803278688525,0,1,0.0,0,0.333333333333333,0,5,0,5
