,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
1893,1,0,2,0,8,6,1,79,1,0,0,8,3,1,0,3,1,0,1,0,0.5,0,1,2,1
987,0,0,1,0,0,1,1,25,2,2,2,4,0,4,0,8,2,0,1,0,0.5,0,3,3,5
454,3,0,0,3,10,4,1,73,1,0,0,8,1,1,0,3,1,0,1,0,0.4,0,3,3,1
11,1,0,1,1,3,2,1,51,1,1,3,9,6,2,0,9,1,1,1,0,0.4,0,3,3,3
2513,0,0,1,1,0,0,2,37,3,6,11,22,0,3,0,9,1,0,0,0,0.428571428571429,0,1,3,2
923,1,0,1,1,1,2,1,44,1,4,2,6,1,3,0,19,2,1,1,0,0.5,0,1,3,5
52,0,0,1,1,0,1,1,58,1,3,5,16,0,2,0,13,2,0,1,0,0.666666666666667,0,3,2,3
799,0,0,1,1,0,0,1,23,1,1,2,2,6,3,0,4,1,0,1,0,0.666666666666667,0,2,4,2
2911,1,0,2,1,3,5,1,32.0,1,7,3,5,1,3,0,4.5,1,1,1,0,0.428571428571429,0,3,1,6
2489,13,0,1,8,2,0,1,40,4,1,7,19,7,2,0,2.5,2,0,0,0,0.2,0,2,1,3
1620,1,0,1,1,1,2,1,41.0,1,7,9,10,1,3,0,7.0,1,1,1,0,0.4,0,3,3,3
123,0,0,1,0,0,2,2,65.5,1,0,3,2.5,0,1,1,2,1,0,1,0,0.571428571428571,0,4,1,4
1743,2,0,3,5.5,9,9,1,118,1,0,0,8,1,1,0,19,1,0,1,0,0.75,0,1,2,2
1534,2,0,1,0.0,0,6,3,180,2,1,9,12,1,4,2,2.5,3,0,0,0,0.571428571428571,0,1,2,4
110,0,0,1,9.0,0,0,1,22,1,0,8,4.5,1,3,0,9,1,0,0,0,0.333333333333333,0,1,2,1
377,3,2,1,0,0,3,1,87,5,6,7,14,0,2,2,16,3,0,1,0,0.5,0,3,2,4
348,0,0,1,1,2,2,1,122,1,0,18,4.5,5,1,0,2.0,3,1,0,0,0.714285714285714,0,1,2,3
921,5,0,1,6,0,1,3,105,3,1,25,2.5,0,5,0,10.5,2,0,0,0,0.4,0,1,2,6
1800,7,0,2,1,0,6,3,285,4,4.0,29,16,2,4,3,10.5,2,0,0,0,0.5,0,1,2,4
