,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
987,,,,,,,,,,,,,,,,,,,,,,,,,
2617,,,,,,,,,,,,,,,,,,,,,,,,,
1893,1,0,2,1,8,6,4,79,2.5,0,0,0,3,1,0,3,1,0,1,0,0.5,0,1,2,1
454,,,,,,,,,,,,,,,,,,,,,,,,,
920,0,0,2,3,0,3,3,38,2,1,2,0,2,3,0,10,2,1,1,0,0.0,0,3,0,3
107,0,4,1,0,0,0,1,39,2.5,2,12,26,0,3,0,14,3,0,1,0,0.666666666666667,0,2,3,5
52,0,0,1,1,0,1,2,58,6.5,3,5,13.0,0,2,0,10.0,2,0,1,0,0.666666666666667,0,3,2,3
1682,0,0,1,1,0,0,2,21,4.5,0,4,25,0,3,1,9.0,3,1,1,0,0.5,0,3,3,3
1771,0,0,1,0,0,1,1,93,4.5,1,12,12.5,0,4,0,9.0,2,0,1,0,0.5,0,1,3,2
153,,,,,,,,,,,,,,,,,,,,,,,,,
956,,,,,,,,,,,,,,,,,,,,,,,,,
432,3,0,2,2,15,10,3,187,4.5,0,0,0,0,1,0,9.0,1,0,1,0,0.0,0,3,0,3
123,,,,,,,,,,,,,,,,,,,,,,,,,
957,,,,,,,,,,,,,,,,,,,,,,,,,
1737,4,0,1,0,0,2,1,308,2.5,4,17,90,0,3,0,14.5,1,0,1,0,0.625,0,3,3,5
1764,1,0,1,0,0,1,1,53,4.5,1,5,22,0,4,0,11,2,0,1,0,0.4,0,3,3,4
106,,,,,,,,,,,,,,,,,,,,,,,,,
695,0,0,1,1,1,0,1,32,1,7,8,15,0,3,2,15,2,0,1,0,0.5,0,3,2,2
1800,,,,,,,,,,,,,,,,,,,,,,,,,
3523,0,0,1,0,0,0,1,16,1,1,0,9.0,0,5,0,1,2,0,1,0,1.0,0,1,1,0
444,1,0,2,2,66,5,3,455,4,0,4,75,0,2,0,11,2,0,0,0,0.7,0,4,3,7
1743,2,0,3,0,9,9,4,118,1,0,0,8,0,1,0,19,1,0,1,0,0.75,0,1,2,2
58,,,,,,,,,,,,,,,,,,,,,,,,,
433,1,0,1,0,43,5,2,270,1,0,0,41,0,1,0,20,1,0,1,0,0.5,0,5,3,2
50,12,0,3,3,4,5,5,193,3.5,7,9,12,2,1,0,32,2,2,1,0,1.0,0,2,1,6
1537,,,,,,,,,,,,,,,,,,,,,,,,,
818,2,0,2,0,0,2,3,35,1,3,1,1,1,6,0,13,1,0,3,0,0.5,0,2,2,4
1516,15,7,1,1,0,2,1,418,0,2,32,27.5,3,3,19,3.0,2,0,0,0,0.75,0,1,2,1
958,3,0,1,5,1,0,1,174,3,9,62,141.0,5,2,0,9.0,2,1,1,0,0.625,0,3,3,6
1534,6,0,2,0,0,6,3,180,3.5,11,9,1,0,4,2,2.5,3,0,0,0,0.571428571428571,0,1,3,4
2414,3,0,1,1,0,6,6,103,1.0,0,12,8,8,2,0,6.0,2,1,1,0,0.8,0,4,2,2
361,,,,,,,,,,,,,,,,,,,,,,,,,
923,2,0,1,1,1,2,3,44,14.0,4,2,14.5,0,3,0,6.5,2,1,1,0,0.5,0,1,3,5
377,,,,,,,,,,,,,,,,,,,,,,,,,
799,,,,,,,,,,,,,,,,,,,,,,,,,
1775,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,
1690,,,,,,,,,,,,,,,,,,,,,,,,,
921,,,,,,,,,,,,,,,,,,,,,,,,,
865,,,,,,,,,,,,,,,,,,,,,,,,,
2489,,,,,,,,,,,,,,,,,,,,,,,,,
2911,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,
1742,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,,,,,,
960,,,,,,,,,,,,,,,,,,,,,,,,,
1620,,,,,,,,,,,,,,,,,,,,,,,,,
1735,,,,,,,,,,,,,,,,,,,,,,,,,
2513,,,,,,,,,,,,,,,,,,,,,,,,,
