,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
42,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,,,
1125,,,,,,,,,,,,,,,,,,,,,,,,
1126,,,,,,,,,,,,,,,,,,,,,,,,
1127,,,,,,,,,,,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,,,,,,,,,,,
701,,,,,,,,,,,,,,,,,,,,,,,,
175,0,1,0,0,0,1.43,0,100,1,0,2,1,0.0,0,1.0,1,0,0.0,0,74,0.346153846153846,0,5,14
1328,131,1,547,0,133,0.02,0,99,2,0,67,2,2.18934646374217,0,3.19964189794091,0,0,0.417198808003406,0,80,0.5,0,2,3
43,0,1,28,6,0,0.74,0,64,1,0,19,1,5.96428571428571,2,4.78571428571429,1,1,0.6,0,70,0.3,0,4,2
1363,,,,,,,,,,,,,,,,,,,,,,,,
120,0,1,0,4,0,0.84,0,50,2,0,14,3,1.75,0,4.5,0,1,2.16666666666667,0,11,0.5,0,2,2
197,0,2,0,2,0,0.37,1,68,2,0,5,2,3.86363636363636,0,4.04545454545455,1,1,1.24,0,9,0.333333333333333,0,3,4
218,,,,,,,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,,,,,
1397,,,,,,,,,,,,,,,,,,,,,,,,
1399,,,,,,,,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,,,,,,
330,1,2,0,1,2,0.21,0,50,2,0,17,2,5.5,1,6.5,1,1,1.71428571428571,0,20,0.25,0,2,6
331,,,,,,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,,,,,
339,1,2,0,1,3,0.23,0,65,2,6,17,1,6.5,1,6.4,0,1,1.58333333333333,0,5,0.333333333333333,0,3,3
342,,,,,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,,,,,
