,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MAJOR_LINE
20,3,2,1,0,0,5,36,1,3,3,19,0.35,70,2,0,11,2,6.77777777777778,1,1,1.41379310344828,0,2,0.414765100671141,1.0,0,6
30,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,12,9,1,9,0,2,29,1,35,36,94,0.28,96,1,1,36,3,5.4,0,0,0.907894736842105,0,10,0.403259506895111,1.0,0,8
59,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,25,24,1,22,2,3,23,2,4,12,77,0.25,93,2,2,37,3,7.99230769230769,0,1,1.11278195488722,0,0,0.329656476520643,0.0,0,9
71,76,12,1,29,0,2,26,1,16,53,206,0.23,96,1,1,40,3,7.35161290322581,0,0,1.38461538461538,0,0,0.384935231089077,0.0,0,7
80,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,14,46,1,1,1,1,368,1,25,12,2,2.535,85,1,1,21,1,7.73563218390805,1,1,0.775280898876405,0,60,0.605780346820809,1.0,0,0
156,8,7,1,33,23,3,26,2,0,20,54,0.85,98,1,1,12,3,4.39130434782609,0,1,0.602739726027397,0,109,0.488311688311688,0.666666666666667,0,8
157,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,155,6,2,26,6,13,23,2,26,37,4,0.52,96,2,0,73,1,9.35078534031414,0,1,1.52061855670103,0,25,0.82404181184669,1.0,0,15
209,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,4,0,1,13,3,9,194,3,4,3,2,0.73,80,1,0,1,2,5.4,0,1,2.28571428571429,0,1,0.84394250513347,1.0,0,0
218,0,0,10,39,2,9,30,1,2,0,0,0.46,97,1,0,4,1,28.0,4,1,0.75,0,0,0.958847736625514,0.0,0,3
221,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,1,1,1,9,0,5,24,1,12,16,0,0.79,88,1,0,7,1,5.07142857142857,1,1,1.125,0,0,0.713310580204778,0.0,0,1
226,1,0,11,0,3,14,29,1,3,0,0,0.55,0,1,0,4,1,22.75,0,1,1.16666666666667,0,0,0.962264150943396,0.0,0,2
241,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,9,0,2,0,7,8,30,1,0,3,31,0.92,65,1,0,4,3,19.7,1,0,0.80952380952381,0,0,0.682012847965739,0.0,0,2
463,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,0,33,1,14,0,6,31,1,0,0,90,4.43,100,1,1,25,1,4.31707317073171,0,0,0.0,0,44,0.802161263507897,0.5,0,6
483,0,2,1,4,0,9,356,1,0,9,33,1.12,92,2,2,4,4,5.42857142857143,0,1,0.648648648648649,0,0,0.915006640106242,0.0,0,3
486,0,1,1,46,0,10,29,1,0,1,122,3.39,100,0,2,35,0,4.30894308943089,0,0,0.0,0,13,0.762361251261352,0.5,0,10
511,4,0,1,10,0,6,22,2,1,14,64,0.84,95,2,0,28,3,9.97101449275362,0,1,0.694444444444444,0,18,0.882778581765557,1.0,0,5
617,0,2,1,43,0,12,715,1,0,1,35,4.64,100,1,1,11,1,1.91891891891892,0,0,0.0,0,1,0.754146341463415,0.0,0,0
644,6,0,2,4,22,12,29,1,0,3,55,0.93,87,1,0,21,2,10.672131147541,0,1,0.777777777777778,0,0,0.746910263299301,0.0,0,9
667,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,2,6,1,3,0,4,26,2,0,4,45,0.65,94,4,1,23,1,1.69811320754717,0,1,0.571428571428571,0,555,0.616647127784291,0.888888888888889,0,3
669,6,13,1,8,12,4,19,1,2,2,38,0.59,94,2,0,23,2,3.45762711864407,0,1,0.60655737704918,0,0,0.85781990521327,0.0,0,3
684,6,8,2,15,7,5,21,1,2,4,40,0.41,93,2,0,28,2,4.66071428571429,0,1,1.0,0,0,0.685931558935361,0.0,0,4
689,0,0,1,8,0,9,171,1,0,0,13,3.64,100,6,1,6,1,1.23076923076923,0,0,0.0,0,5,0.524390243902439,0.75,0,2
736,1,0,1,0,0,7,99,1,0,7,6,0.96,53,2,0,0,1,5.0,2,2,1.33333333333333,0,141,0.953703703703704,1.0,0,2
738,0,13,1,0,0,3,21,1,0,3,0,1.47,64,1,6,3,1,19.3846153846154,2,1,0.2,0,0,0.962025316455696,0.0,0,1
739,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,3,2,2,0,0,14,23,1,1,3,14,0.87,71,2,0,19,3,4.9,0,1,2.09090909090909,0,49,0.68922305764411,0.857142857142857,0,7
746,31,7,1,7,1,10,15,1,13,17,63,0.95,96,1,1,48,2,6.20175438596491,0,1,0.836206896551724,0,0,0.572991559862457,0.0,0,11
750,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,11,5,1,0,0,10,28,1,5,5,58,1.07,93,3,3,38,2,4.60759493670886,0,1,0.802469135802469,0,12,0.630309386470897,1.0,0,6
760,18,8,1,8,2,13,23,1,11,26,149,1.31,97,2,2,61,3,5.60752688172043,0,1,0.803191489361702,0,34,0.657574568288854,1.0,0,11
769,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,5,2,4,0,6,12,107,1,0,0,0,0.5,0,1,0,1,1,5.0,0,1,2.77777777777778,0,6,0.848258706467662,1.0,0,1
846,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,2,1,1,0,0,11,237,1,0,9,15,2.325,82,4,0,29,1,3.72222222222222,0,1,1.05,0,21,0.937402190923318,1.0,0,3
910,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,4,3,2,0,0,14,24,1,2,5,13,0.64,75,3,0,33,1,6.18181818181818,0,1,1.16666666666667,0,0,0.94716618635927,0.0,0,4
938,1,15,1,0,0,7,30,2,6,18,34,0.87,86,3,0,28,1,5.26785714285714,0,1,0.542372881355932,0,0,0.770144189991518,0.0,0,3
939,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,7,0,2,3,1,11,311,1,1,11,15,0.78,86,4,0,34,1,3.83333333333333,0,1,1.15384615384615,0,0,0.858866103739445,1.0,0,2
963,10,7,2,0,2,14,25,1,10,24,18,0.58,95,4,3,57,1,5.64444444444444,0,1,1.70212765957447,0,65,0.74,0.75,0,4
975,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,0,1,1,0,0,13,30,1,1,2,19,1.06,59,4,0,21,1,3.28571428571429,1,1,0.695652173913043,0,34,0.923076923076923,1.0,0,3
978,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,0,9,2,0,0,11,21,1,0,8,13,0.74,89,4,0,31,2,2.86363636363636,0,0,1.70833333333333,0,0,0.76056338028169,0.0,0,3
1036,2,6,1,0,0,17,28,1,1,10,36,0.99,90,5,0,45,1,3.82222222222222,0,0,1.1063829787234,0,6,0.851891315929675,1.0,0,3
1037,1,7,1,4,4,7,600,1,12,7,51,2.42,98,1,11,45,2,16.169014084507,0,0,0.794520547945205,0,0,0.893105629348514,1.0,0,3
1045,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,7,36,2,0,0,11,39,1,3,6,77,0.62,97,3,0,64,1,4.30081300813008,0,1,1.584,0,44,0.848963242224317,1.0,0,8
1047,1,20,1,0,1,10,33,1,6,10,53,1.05,96,2,3,59,1,6.625,0,0,0.695121951219512,0,0,0.90894819466248,0.0,0,7
1053,3,9,2,0,0,17,30,1,1,22,36,0.79,87,3,0,48,1,5.20408163265306,0,1,1.05882352941176,0,1,0.762559038213826,1.0,0,6
1054,1,6,1,0,0,25,22,1,2,7,15,1.78,89,5,2,32,1,4.04166666666667,0,1,0.923076923076923,0,0,0.464253393665158,0.0,0,6
1066,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,0,6,1,0,0,10,386,1,2,6,27,0.76,68,4,2,27,1,4.22857142857143,0,0,0.756756756756757,0,0,0.859026369168357,0.05,0,0
1085,1,2,2,0,0,6,152,1,0,0,17,0.63,0,4,1,20,1,2.5,0,1,1.0,0,0,0.854347826086956,0.0,0,0
1091,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,1,0,1,2,5,4,35,1,15,38,103,0.7,97,1,2,61,3,2.42857142857143,0,0,0.628099173553719,0,0,0.83987103707684,0.0,0,6
1171,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,,,,,,,,,,,,,,,,,,,,,,,,,,,
