feature,mean_abs_weight,mean_weight,count,fraction_selected
CountDeclMethodPrivate,0.06142731418060228,-0.04198241298078367,78,1.0
CountDeclClassMethod,0.05301925450150835,-0.02582086589354149,78,1.0
CountClassDerived,0.02676142521747109,-0.010714325436276902,78,1.0
AvgLineBlank,0.024072031099452478,0.002402800025425753,78,1.0
PercentLackOfCohesion,0.02292450791148579,-0.018914779183472008,78,1.0
CountClassCoupled,0.017808142489693004,-0.01634899696366087,78,1.0
OWN_COMMIT,0.017547834713461368,-0.015389194383998932,78,1.0
AvgLineComment,0.016417452630923368,0.006541681230013414,78,1.0
MAJOR_LINE,0.014436578410700389,-0.011198790011263064,78,1.0
MINOR_COMMIT,0.012724075927484313,-0.0009672183681503203,77,0.9871794871794872
AvgEssential,0.012675178277113418,-0.003280598566706896,78,1.0
MINOR_LINE,0.012544267681857185,0.008987345685576598,78,1.0
CountInput_Min,0.011658529685129643,0.0060976206942023985,78,1.0
CountDeclInstanceVariable,0.011022463791003028,-0.0037447254776514995,78,1.0
MaxInheritanceTree,0.006846137340198144,-0.0055736821829695015,78,1.0
CountClassBase,0.006449048940040013,-0.0012059599787468574,78,1.0
CountOutput_Min,0.004588207040789407,-0.0018327716537801392,78,1.0
CountInput_Mean,0.003697851040884913,-0.0029518534818024265,78,1.0
MaxNesting_Min,0.0034022114381727976,-0.0026549665755849967,78,1.0
MaxNesting_Mean,0.0027192400434485993,-0.0017461031544711225,78,1.0
RatioCommentToCode,0.002464141804380516,0.0007097625775669394,77,0.9871794871794872
CountLineComment,0.002162677635363659,-0.00030838696347635427,78,1.0
CountPath_Min,0.002032177110401862,-0.0004886087888294771,78,1.0
CountDeclClass,0.0018349834736357594,-0.0002988367691826609,78,1.0
