feature,mean_abs_weight,mean_weight,count,fraction_selected
MAJOR_LINE,0.032072121649594304,-0.0270120734708067,195,1.0
OWN_LINE,0.02522534890945725,-0.011146343593780514,195,1.0
OWN_COMMIT,0.02066456742554134,-0.002357440614027046,195,1.0
CountDeclInstanceVariable,0.02023147161550385,-0.0043234980843556,195,1.0
AvgEssential,0.019357939746047517,-0.009738045435497722,195,1.0
CountDeclMethodProtected,0.014836455434955551,0.0033984882688298614,195,1.0
CountClassDerived,0.013991206001652833,-0.004867901562355882,195,1.0
CountDeclMethodDefault,0.013802689479912481,0.0006330284530141423,195,1.0
MaxNesting_Mean,0.013584019433451394,-0.0029478047362363267,195,1.0
CountClassCoupled,0.01277921325470446,-0.011453657168432607,195,1.0
Added_lines,0.011601914839908991,0.002056057090627232,195,1.0
RatioCommentToCode,0.008787596150371581,-0.006571744352039645,195,1.0
AvgLineComment,0.008293876168969554,0.006054028029661037,195,1.0
MINOR_COMMIT,0.008160878612087752,0.0008202649251946125,195,1.0
CountOutput_Min,0.005875234389147273,-0.0028827431055956153,195,1.0
CountDeclMethodPrivate,0.0052029491343289,-0.0024615042113540135,195,1.0
MaxInheritanceTree,0.005102609465969108,-0.0006524734017182988,195,1.0
CountDeclClassMethod,0.00466359037057678,0.00017478747382878944,195,1.0
CountClassBase,0.004372983161920556,-0.0021522801670400705,195,1.0
CountInput_Mean,0.00426066611069319,0.0016023443856387316,195,1.0
CountDeclClassVariable,0.003722607526591829,0.0005806985146952348,195,1.0
CountDeclMethodPublic,0.0035222357273350115,0.0007241755005981325,195,1.0
MaxNesting_Min,0.0024682670123877155,-0.0008179614753623992,194,0.9948717948717949
CountDeclClass,0.002081317455585652,-0.00029324884462411356,195,1.0
CountLineComment,0.0018333940310039769,0.00020312001380087575,194,0.9948717948717949
PercentLackOfCohesion,0.0017258072745381001,-0.00038970265385002845,195,1.0
CountInput_Min,0.0010713780261106243,-0.0002704590445726271,195,1.0
