,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
120,0,0,1,0,0,0,2,0,0,8,0.66,1,0,3,0,3,1,1.125,1,2.0,2,1,0.0,222,0.375,0,3,3
63,0,0,1,1,0,8,2,0,5,10,0.82,0,70,2,1,5,1,5.2,2,6.7,2,1,1.42857142857143,361,0.0,0,2,1
65,0,0,1,2,0,5,3,0,4,6,0.81,0,66,2,0,10,1,3.5,2,5.0,2,1,0.545454545454545,85.0,0.0,0,4,4
326,8,1,2,1,0,4,3,0,8,13,0.31,1,83,3,0,30,1,3.22727272727273,1,6.22727272727273,1,1,1.33333333333333,406,0.0,2,3,3
80,0,0,1,0,0,1,1,0,3,3,0.52,0,0,2,1,9,1,6.33333333333333,4,7.33333333333333,3,1,0.714285714285714,113,0.444444444444444,0,3,0
30,0,0,1,2,1,4,3,0,4,7,0.83,0,71,2,0,9,1,2.85714285714286,1,4.14285714285714,1,1,0.416666666666667,423,0.0,0,3,1
6,0,0,1,2,1,5,3,0,5,12,0.88,0,75,2,0,12,1,2.75,1,4.16666666666667,1,1,0.352941176470588,361,0.0,0,3,3
112,0,0,2,0,0,0,1,1,3,3,0.23,2,66,4,0,8,1,2.0,0,6.25,2,1,1.16666666666667,275,0.0,0,7,0
26,0,0,1,2,1,5,3,0,4,9,0.79,0,74,2,0,11,1,3.33333333333333,1,4.11111111111111,1,1,0.642857142857143,326,0.0,0,2,4
48,0,0,1,2,1,5,3,0,6,13,0.87,0,72,2,1,11,1,3.69230769230769,1,4.0,1,1,0.5,364,0.0,0,6,1
347,8,0,2,0,2,1,3,0,9,14,0.2,0,78,2,0,26,2,4.27272727272727,0,6.13636363636364,0,1,1.3448275862069,160,0.0,0,3,2
85,2,0,1,0,0,3,1,0,0,5,0.39,0,0,4,0,3,1,2.0,0,1.85714285714286,1,1,0.0,192,0.0,0,2,2
731,1,0,1,0,3,2,3,0,3,9,0.2,3,50,3,0,16,2,2.7,0,4.6,1,1,1.35714285714286,31,0.0,0,3,8
90,2,0,1,0,0,0,2,0,0,6,0.5,0,0,4,0,4,1,2.0,0,2.75,1,1,0.545454545454545,167,0.0,0,5,1
86,0,0,1,0,0,0,2,0,4,14,0.12,0,0,3,0,10,1,4.14285714285714,1,3.85714285714286,2,1,0.235294117647059,312,0.0,0,3,1
92,0,0,1,0,0,13,1,0,0,7,1.2,0,0,3,0,3,1,1.0,1,1.71428571428571,1,1,0.0,267,0.5,0,1,2
101,0,0,1,0,0,0,1,0,1,10,0.3,0,0,4,0,2,1,1.8,0,1.2,1,1,0.416666666666667,161,0.0,0,3,0
104,1,0,1,0,0,0,2,0,2,7,0.27,0,91,4,0,4,1,1.5,0,2.125,1,1,0.0,127.0,0.0,0,3,0
110,1,0,1,0,0,0,3,2,7,12,0.21,0,68,3,0,24,1,3.13333333333333,1,4.46666666666667,2,1,0.263157894736842,252,0.333333333333333,0,3,2
114,0,0,1,0,0,0,3,2,2,13,0.3,1,75,3,0,30,1,2.53333333333333,0,4.53333333333333,1,1,0.368421052631579,334,0.363636363636364,0,3,2
115,1,0,1,22,1,0,2,2,6,12,0.07,0,87,2,0,5,1,4.53333333333333,1,3.66666666666667,1,1,0.277777777777778,378,0.0,0,4,2
381,1,0,1,1,0,1,4,2,6,33,0.16,0,95,3,0,19,1,2.13888888888889,0,3.5,1,1,0.536585365853659,615,0.0,0,2,3
116,11,0,1,0,1,3,2,0,8,8,0.2,4,33,3,0,24,1,4.05263157894737,0,6.78947368421053,1,1,0.227272727272727,102.5,0.0,0,3,2
580,0,1,1,0,0,0,3,0,6,7,0.22,0,0,4,0,14,1,1.875,0,5.0,2,1,0.0,51.0,0.333333333333333,0,6,0
937,1,0,1,0,3,11,1,2,2,5,1.01,0,66,2,0,9,1,6.5,2,4.83333333333333,2,1,2.14285714285714,192,0.0,0,4,4
44,0,0,2,3,1,1,4,1,10,10,0.47,0,75,4,2,3,1,3.36363636363636,0,3.27272727272727,1,0,0.882352941176471,244,0.0,0,3,0
9,0,0,1,2,1,6,3,0,4,6,1.1,0,55,2,0,5,1,3.0,1,4.16666666666667,1,1,0.909090909090909,202,0.375,0,5,2
556,0,0,1,0,0,2,2,0,5,4,0.64,0,25,2,1,9,1,5.75,3,7.0,4,1,1.125,26.0,0.375,0,4,4
1332,1,0,2,0,0,0,5,0,10,20,0.19,1,66,3,0,21,1,2.04761904761905,0,4.95238095238095,0,1,0.125,57,0.625,0,3,2
941,28,0,5,5,3,0,1,1,11,7,0.01,0,88,1,0,3,2,5.11111111111111,1,4.80555555555556,1,1,1.68421052631579,10,0.5,0,5,4
95,0,0,1,0,0,4,1,0,0,3,0.43,5,0,3,0,2,1,1.0,1,2.33333333333333,2,1,0.0,261,0.333333333333333,0,3,3
13,3,0,2,2,0,0,1,0,9,7,0.49,1,79,4,0,3,1,3.5,1,3.8,1,1,0.916666666666667,216,0.0,0,1,3
0,0,1,1,3,2,5,3,0,4,8,1.02,0,79.5,2,0,12,1,3.0,1,4.55555555555556,1,1,0.571428571428571,127.0,0.0,0,5,0
27,0,0,1,2,1,5,3,0,5,12,1.03,0,75,2,1,7,1,3.08333333333333,1,4.16666666666667,1,1,0.352941176470588,346,0.0,0,4,3
33,0,1,1,3,2,6,3,0,4,8,1.06,0,79.5,2,0,12,1,3.22222222222222,1,4.55555555555556,1,1,0.5,319,0.0,0,3,1
37,0,0,1,2,1,6,3,0,5,11,0.99,0,72,2,0,12,1,2.72727272727273,1,4.09090909090909,1,1,0.2,347,0.0,0,5,2
