,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,0,0,2,0,0,0,1,1,3,3,0.23,2,66,4,0,5,1,2.0,0,6.25,2,1,1.16666666666667,275,0.4,0,7,0
80,0,0,1,0,0,1,2,0,3,3,0.52,0,0,2,1,9,1,6.33333333333333,4,7.33333333333333,3,1,0.714285714285714,51.0,0.444444444444444,0,3,0
757,0,0,1,2,0,4,2,0,7,8,3.0549999999999997,0,71,2,1,4,1,20.25,1,4.625,1,1,0.583333333333333,204,0.545454545454545,0,5,6
937,1,0,1,0,3,11,1,6,2,5,2.56,0,66,2,0,4,1,6.5,2,4.83333333333333,2,1,2.14285714285714,192,0.5,0,4,4
941,28,0,5,10,3,0,1,1,11,7,0.01,0,88,1,0,3,2,5.11111111111111,1,4.80555555555556,1,1,1.68421052631579,10,0.5,0,5,1
0,0,1,1,3,2,5,3,0,4,8,3.0549999999999997,0,100,2,0,4,1,3.0,1,4.55555555555556,1,1,0.571428571428571,318,0.461538461538462,0,5,0
675,1,0,1,1,0,3,1,0,0,6,0.1,9,71,4,0,4,1,4.42857142857143,1,7.85714285714286,2,1,0.666666666666667,127.0,0.666666666666667,0,2,0
33,0,1,1,3,2,6,3,0,4,8,1.06,0,100,2,0,5,1,3.22222222222222,1,4.55555555555556,1,1,0.5,319,0.333333333333333,0,3,1
30,0,0,1,2,1,4,3,0,4,7,0.83,0,71,2,0,5,1,2.85714285714286,1,4.14285714285714,1,1,0.416666666666667,423,0.384615384615385,0,4,1
761,0,0,1,1,0,2,2,0,5,6,0.72,0,45,2,0,5,1,4.5,2,4.83333333333333,3,1,0.333333333333333,223,0.5,0,7,1
86,0,0,1,0,0,0,2,0,4,14,0.12,0,0,4,0,5,1,4.14285714285714,1,3.85714285714286,2,1,0.235294117647059,113.5,0.285714285714286,0,3,0
48,0,0,1,2,1,5,3,0,6,13,0.235,0,72,2,1,9,1,3.69230769230769,1,4.0,1,1,0.5,364,0.363636363636364,0,6,1
1360,5,2,2,7,3,4,4,0,18,11,0.235,0,69,3,0,8,1,4.44444444444444,1,4.38888888888889,1,1,1.17391304347826,490,1.0,0,3,0
364,0,0,3,0,0,17,1,4,0,1,0.66,2,0,2,0,5,1,4.0,3,11.2,2,1,2.375,353,0.375,0,2,2
556,0,0,1,0,0,2,2,0,5,4,0.64,0,25,2,1,9,1,5.75,3,7.0,4,1,1.125,26.0,0.375,0,4,4
101,0,0,1,0,0,0,1,0,1,10,0.3,0,0,4,0,2,1,1.8,0,1.2,1,1,0.416666666666667,161,0.4,0,1,1.5
381,1,0,1,1,0,1,4,2,6,33,0.16,0,95,4,0,9,1,2.13888888888889,0,3.5,1,1,0.536585365853659,32.0,0.666666666666667,0,2,0
133,1,0,2,1,0,0,1,0,6,6,0.38,0,75,4,0,5,1,3.14285714285714,1,4.57142857142857,2,1,1.0,153,0.333333333333333,0,1,2
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,4,0,1,0,0,1,3,0,5,15,0.19,1,57,4,0,5,1,3.57894736842105,0,5.26315789473684,1,1,0.434782608695652,85.0,0.833333333333333,0,5,0
324,0,1,1,0,8,5,3,0,4,10,0.52,0,12,3,0,5,2,4.27272727272727,2,4.63636363636364,2,1,0.933333333333333,54,0.333333333333333,0,4,5
1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,1,2,1,5,3,0,5,12,0.235,0,75,2,0,6,1,2.75,1,4.16666666666667,1,1,0.352941176470588,361,0.333333333333333,0,5,3
26,0,0,1,2,1,5,3,0,4,9,0.235,0,74,2,0,6,1,3.33333333333333,1,4.11111111111111,1,1,0.642857142857143,326,0.333333333333333,0,4,4
759,1,0,1,10,0,3,1,0,7,11,0.78,0,89,4,0,4,1,5.75,1,3.91666666666667,1,1,0.928571428571429,100.0,0.466666666666667,0,4,0
65,0,0,1,2,0,5,3,0,4,6,0.235,0,66,2,0,0,1,3.5,2,5.0,2,1,0.545454545454545,452,0.384615384615385,0,4,4
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2,0,1,0,0,0,2,0,0,6,0.5,0,0,4,0,4,1,2.0,0,2.75,1,1,0.545454545454545,167,0.5,0,3,4
326,8,1,2,1,0,4,3,0,8,13,0.31,1,83,3,0,30,1,3.22727272727273,1,6.22727272727273,1,1,1.33333333333333,406,0.608695652173913,2,3,0
1148,1,0,1,0,0,1,2,0,4,2,0.235,4,50,4,0,16,2,4.0,2,10.0,4,1,0.833333333333333,6,1.0,0,2,0
14,1,0,1,3,3,0,1,11,13,3,0.235,0,82,4,2,0,1,6.06666666666667,1,5.86666666666667,0,1,0.722222222222222,32.0,0.428571428571429,0,2,1
1145,0,0,1,0,20,0,1,0,0,22,0.2,0,0,3,56,5,1,11.4545454545455,0,2.04545454545455,1,1,0.25,240,1.0,0,1,0
27,0,0,1,2,1,5,3,0,5,12,2.56,0,75,2,1,6,1,3.08333333333333,1,4.16666666666667,1,1,0.352941176470588,346,0.384615384615385,0,4,3
1308,0,0,1,0,0,0,1,0,0,52,2.885,0,0,4,1,31,1,0.615384615384615,0,3.01923076923077,1,1,0.0,51.0,0.5,0,2,3
9,0,0,1,2,1,6,3,0,4,6,2.56,0,55,2,0,8,1,3.0,1,4.16666666666667,1,1,0.909090909090909,202,0.375,0,5,2
42,3,0,1,0,0,0,1,0,17,9,0.25,0,76,3,2,5,1,4.0,1,7.16666666666667,1,1,0.928571428571429,127.0,0.333333333333333,0,3,2
134,0,1,1,3,2,4,3,0,4,6,0.235,0,100,2,0,5,1,5.28571428571429,2,4.85714285714286,1,1,0.818181818181818,263,0.333333333333333,0,2,2
1322,2,0,1,0,0,5,1,0,0,7,0.29,3,0,3,0,16.5,1,4.33333333333333,0,8.88888888888889,2,1,0.909090909090909,46.0,0.833333333333333,0,5,2
350,16,0,1,18,12,2,11,5,27,78,0.04,0,95,2,0,2,2,3.19191919191919,0,3.23232323232323,0,1,0.756521739130435,72.0,0.375,0,3,0
534,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,1,0,1,3,1,4,1,0,0,2,0.04,3,33,3,0,5,1,6.33333333333333,2,8.0,5,1,0.6,334.5,0.6,0,1,0
1335,0,0,1,0,0,7,1,0,0,1,0.04,4,0,3,0,5,1,6.0,6,17.0,17,2,1.0,334.5,0.333333333333333,0,1,0
110,1,0,1,0,0,0,3,2,7,12,0.01,0,68,4,0,1.0,1,3.13333333333333,1,4.46666666666667,2,1,0.263157894736842,19.0,0.333333333333333,0,3,10
116,11,0,1,0,1,3,2,0,8,8,0.01,4,33,4,0,1.0,1,4.05263157894737,0,6.78947368421053,1,1,0.227272727272727,43.0,0.3,0,3,10
347,8,0,2,0,2,1,3,0,9,14,0.03,0,78,2,0,12.5,2,4.27272727272727,0,6.13636363636364,0,1,1.3448275862069,32.0,0.384615384615385,0,5,2
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,0,0,1,0,0,2,5,1,9,13,0.01,3,60,3,0,27.0,2,4.14285714285714,0,8.78571428571429,1,1,0.5,67.0,0.6,0,6,8
1332,1,0,2,0,0,0,5,0,10,20,0.05,1,66,3,0,2,1,2.04761904761905,0,4.95238095238095,0,1,0.740740740740741,14.5,0.625,0,3,13
580,0,1,1,0,0,0,3,0,6,7,0.03,0,0,4,0,5,1,1.875,0,5.0,2,1,0.0,14.5,0.333333333333333,0,6,0.0
1283,1,0,1,0,0,5,1,0,0,4,0.04,6,0,3,0,4.0,1,5.2,3,12.6,4,1,1.0,46.0,0.5,0,6,6
1347,0,0,1,0,0,1,1,0,0,5,0.03,2,0,3,0,2,1,1.2,1,9.8,3,1,0.571428571428571,72.0,0.888888888888889,0,2,0.0
63,0,0,1,1,0,8,2,0,5,10,0.82,0,70,2,1,5,1,5.2,2,6.7,2,1,1.42857142857143,127.0,0.333333333333333,0,3,1
37,0,0,1,2,1,6,3,0,5,11,6.365,0,72,2,0,2,1,2.72727272727273,1,4.09090909090909,1,1,0.2,72.0,0.357142857142857,0,5,7
343,4,0,1,0,2,1,4,2,2,6,0.07,8,25,2,0,4.0,2,4.41666666666667,0,9.0,2,1,0.941176470588235,119.5,0.454545454545455,0,3,3
114,0,0,1,0,0,0,3,2,2,13,0.11,1,75,4,0,4.0,1,2.53333333333333,0,4.53333333333333,1,1,0.368421052631579,19.0,0.363636363636364,0,3,8
1286,3,0,1,0,2,4,2,1,0,12,0.11,4,0,3,1,4.0,2,2.5625,0,5.75,1,1,0.421052631578947,439.0,0.571428571428571,0,7,8
1161,0,2,1,2,0,0,5,1,8,8,0.03,0,56,4,0,2,2,3.36363636363636,1,6.72727272727273,2,1,1.0,72.0,0.571428571428571,0,2,0
1153,0,0,1,0,0,0,1,0,2,4,0.11,1,62,4,0,4.0,1,3.25,1,10.0,8,1,0.0,67.0,0.8,0,5,1
