,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
1628,3,1,1,5,237,7,0.54,1,86,1,2,22,2,6.6,1,5.9,0,1,1.13513513513514,0,0.5,0,1,0,4
10,,,,,,,,,,,,,,,,,,,,,,,,,
456,1,1,18,0,149,10,0.19,1,100,3,0,15,2,3.87037037037037,0,6.01851851851852,0,0,0.64,0,0.363636363636364,0,2,0,2
20,1,1,1,5,1136,0,0.64,0,94,2,27,98,3,7.37185929648241,0,4.24120603015075,0,1,0.435146443514644,0,0.285714285714286,7,4,0,18
545,,,,,,,,,,,,,,,,,,,,,,,,,
563,,,,,,,,,,,,,,,,,,,,,,,,,
1633,0,1,0,0,28,0,0.08,0,62,1,0,14,2,2.41791044776119,1,2.19402985074627,1,1,0.0933333333333333,0,0.285714285714286,0,3,0,2
574,4,1,1,6,209,0,0.74,0,66,1,0,19,1,6.11111111111111,3,4.7037037037037,1,1,0.620689655172414,0,0.222222222222222,0,4,0,2
585,,,,,,,,,,,,,,,,,,,,,,,,,
586,0,1,0,0,19,0,0.06,0,0,1,22,24,2,0.737704918032787,0,0.491803278688525,0,1,0.0,0,0.333333333333333,0,5,0,5
589,2,1,7,1,159,5,0.32,0,89,2,4,17,2,7.21538461538462,0,2.83076923076923,1,1,0.363636363636364,0,0.2,0,4,0,3
593,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,1,1,4,553,1,0.59,0,91,2,1,40,2,17.1,1,4.21818181818182,1,1,0.438848920863309,0,0.428571428571429,5,6,0,10
621,,,,,,,,,,,,,,,,,,,,,,,,,
622,0,2,0,2,81,1,0.36,1,75,2,0,6,2,3.5,0,3.875,1,1,1.14814814814815,0,0.5,0,4,0,4
30,0,1,1,5,100,1,0.68,0,89,4,0,7,2,4.85714285714286,0,4.85714285714286,1,1,1.0625,0,0.444444444444444,0,2,0,4
661,6,1,12,2,236,2,0.43,0,92,2,0,18,3,5.09090909090909,1,4.23636363636364,1,1,0.683333333333333,0,0.666666666666667,0,2,0,11
682,17,2,20,3,505,12,0.27,0,95,2,1,29,2,5.5929203539823,0,6.69026548672566,1,1,1.25,0,0.705882352941177,0,1,0,6
185,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,2,0,7,148,0,1.13,0,0,4,0,6,3,56.7142857142857,2,4.57142857142857,2,1,0.8125,0,0.4,0,3,0,3
733,2,1,1,12,314,0,0.89,0,83,1,0,24,1,7.125,2,6.0,1,1,1.0,0,0.444444444444444,0,6,0,2
744,,,,,,,,,,,,,,,,,,,,,,,,,
749,,,,,,,,,,,,,,,,,,,,,,,,,
754,27,1,26,1,199,13,0.34,1,78,3,5,26,1,4.38,1,3.7,1,1,0.909090909090909,0,0.25,0,2,0,3
186,,,,,,,,,,,,,,,,,,,,,,,,,
757,8,2,1,6,131,2,0.47,0,68,3,0,23,2,4.8125,1,8.5,2,1,1.3,0,0.375,0,3,0,3
187,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,
771,0,1,1,5,66,2,0.36,1,55,2,2,23,1,7.875,2,9.5,2,1,1.8,0,0.3,0,4,0,5
780,2,3,1,9,99,0,0.41,1,67,2,1,22,1,6.375,1,12.5,1,1,2.2,0,0.4,0,5,0,4
231,,,,,,,,,,,,,,,,,,,,,,,,,
782,0,1,0,0,22,2,0.38,0,0,3,0,11,1,3.5,1,5.5,3,1,0.833333333333333,0,0.25,0,3,0,4
784,1,1,1,1,46,4,0.25,0,67,2,6,18,1,6.27272727272727,1,5.81818181818182,0,1,1.46153846153846,0,0.333333333333333,0,3,0,5
257,0,1,197,0,402,0,1.41,0,100,1,0,3,1,0.0,0,1.0,1,0,0.0,0,0.407407407407407,9,4,0,16
291,,,,,,,,,,,,,,,,,,,,,,,,,
787,13,1,2,3,568,3,0.25,0,100,2,6,249,6,5.81528662420382,0,6.81528662420382,1,0,0.914634146341463,0,0.306122448979592,7,4,0,21
349,,,,,,,,,,,,,,,,,,,,,,,,,
788,,,,,,,,,,,,,,,,,,,,,,,,,
790,21,4,1,0,28,1,0.02,0,97,2,0,15,2,4.44117647058824,1,5.27941176470588,1,1,2.77464788732394,0,0.333333333333333,0,5,0,3
792,,,,,,,,,,,,,,,,,,,,,,,,,
793,20,1,0,5,161,0,3.04,0,0,2,2,14,1,3.51851851851852,0,0.518518518518518,0,1,0.0,0,0.583333333333333,0,3,0,6
800,,,,,,,,,,,,,,,,,,,,,,,,,
