test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,MINOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed
10,0,20.0,0.0,2.0,0.0,1.0,7.0,542.0,1.0,0.0,13.0,3.0,0.99,5.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,1.48,0.0,6.0,0.914331465172138,0.0,2.0,0.7897151,0.21028489,1
1955,0,50.0,0.0,1.0,59.0,1.0,3.0,15.0,3.0,0.0,18.0,24.0,0.5,1.0,97.0,2.0,0.0,3.0,1.0,4.54054054054054,1.0,0.0,0.564102564102564,0.0,1604.0,0.929274292742927,0.0,0.0,0.52455366,0.47544634,1
12,0,0.0,2.0,2.0,1.0,3.0,9.0,56.0,1.0,0.0,0.0,1.0,0.38,9.0,33.0,1.0,0.0,2.0,1.0,22.6666666666667,1.0,1.0,1.4,0.0,0.0,1.0,0.0,1.0,0.9412526,0.058747414,1
16,0,5.0,1.0,1.0,0.0,0.0,5.0,65.0,1.0,3.0,4.0,19.0,0.58,1.0,76.0,2.0,0.0,10.0,2.0,6.46428571428571,1.0,1.0,1.4,0.0,281.0,0.429503916449086,0.0,4.0,0.6039587,0.39604124,2
1956,0,1.0,0.0,1.0,0.0,0.0,10.0,107.0,1.0,0.0,4.0,4.0,1.26,0.0,40.0,2.0,0.0,6.0,1.0,5.0,1.0,2.0,1.42857142857143,1.0,244.0,0.938388625592417,0.0,4.0,0.54454505,0.45545498,1
1957,0,1.0,0.0,1.0,0.0,0.0,6.0,70.0,1.0,0.0,3.0,4.0,1.27,0.0,66.0,2.0,0.0,5.0,1.0,3.8,1.0,1.0,0.714285714285714,0.0,6.0,0.945205479452055,0.0,0.0,0.97021514,0.029784832,1
1958,0,3.0,17.0,2.0,2.0,0.0,18.0,423.0,1.0,0.0,18.0,0.0,0.74,2.0,89.0,1.0,0.0,9.0,1.0,7.55,2.0,2.0,1.90909090909091,0.0,6.0,0.790307548928239,0.0,0.0,0.7513352,0.24866478,1
19,0,8.0,5.0,1.0,3.0,0.0,0.0,60.0,1.0,2.0,2.0,5.0,0.06,0.0,97.0,3.0,1.0,12.0,4.0,5.91089108910891,0.0,1.0,1.12621359223301,0.0,17.0,0.49563838223632,0.0,6.0,0.8060688,0.19393125,1
23,0,7.0,1.0,1.0,0.0,0.0,4.0,244.0,1.0,3.0,8.0,5.0,0.35,1.0,87.0,2.0,0.0,17.0,2.0,6.21951219512195,1.0,1.0,1.2093023255814,0.0,6.0,0.337057728119181,0.0,4.0,0.5189654,0.48103458,2
24,0,1.0,0.0,2.0,0.0,0.0,1.0,22.0,1.0,0.0,2.0,3.0,0.52,0.0,50.0,2.0,0.0,3.0,1.0,4.25,1.0,1.0,0.666666666666667,0.0,14.0,0.8,0.0,2.0,0.8152555,0.18474446,1
27,0,6.0,5.0,4.0,0.0,0.0,1.0,129.0,1.0,1.0,38.0,5.0,0.18,0.0,0.0,1.0,1.0,7.0,2.0,8.5,0.0,1.0,1.30952380952381,0.0,10.0,0.533261802575107,0.0,5.0,0.5576912,0.4423088,2
30,0,11.0,10.0,1.0,8.0,0.0,1.0,27.0,1.0,35.0,36.0,91.0,0.23,0.0,96.0,1.0,1.0,25.0,3.0,4.97959183673469,0.0,0.0,0.899328859060403,0.0,199.0,0.468253968253968,0.0,1.0,0.7524133,0.24758671,2
33,0,25.0,18.0,2.0,13.0,0.0,1.0,44.0,1.0,5.0,28.0,35.0,0.2,0.0,94.0,1.0,1.0,14.0,1.0,6.68674698795181,0.0,0.0,0.670588235294118,0.0,26.0,0.631297709923664,0.0,1.0,0.6197363,0.38026372,2
34,0,38.0,0.0,1.0,112.0,0.0,1.0,15.0,1.0,4.0,8.0,173.0,0.25,0.0,99.0,1.0,1.0,13.0,2.0,4.07441860465116,0.0,0.0,0.493087557603687,0.0,11.0,0.579288025889968,0.0,4.0,0.5808149,0.4191851,1
35,0,3.0,0.0,1.0,3.0,16.0,14.0,65.0,1.0,0.0,0.0,14.0,0.63,3.0,72.0,1.0,0.0,5.0,1.0,6.47058823529412,0.0,1.0,0.421052631578947,0.0,172.0,0.506602641056423,0.0,1.0,0.84134364,0.15865639,2
48,0,0.0,8.0,1.0,9.0,2.0,4.0,65.0,1.0,7.0,7.0,9.0,0.76,0.0,94.0,1.0,2.0,8.0,2.0,6.25,0.0,0.0,0.576923076923077,0.0,6.0,0.462765957446808,0.0,3.0,0.50926816,0.49073187,2
56,0,0.0,25.0,1.0,22.0,2.0,3.0,543.0,2.0,4.0,12.0,78.0,0.24,1.0,93.0,2.0,2.0,23.0,3.0,7.62790697674419,0.0,1.0,1.15151515151515,0.0,6.0,0.351164254247955,0.0,8.0,0.59612256,0.40387744,2
60,0,76.0,11.0,1.0,29.0,0.0,2.0,44.0,1.0,16.0,52.0,205.0,0.22,0.0,96.0,1.0,1.0,23.0,3.0,7.19805194805195,0.0,0.0,1.38387096774194,0.0,255.0,0.390789687043944,0.0,1.0,0.54911506,0.45088494,2
67,0,5.0,4.0,2.0,1.0,0.0,2.0,27.0,1.0,2.0,20.0,14.0,0.36,0.0,91.0,1.0,1.0,11.0,1.0,5.04,2.0,1.0,1.0,0.0,133.0,0.562780269058296,0.0,3.0,0.60956585,0.39043412,1
