,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE
16,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,,,,,,,,,
543,0,0,2,1,0,2,4,34,1,4,0,0.44,0,60,3,1,7,1,4.4,1,2,0,0,0.40495867768595,0
80,,,,,,,,,,,,,,,,,,,,,,,,,
567,,,,,,,,,,,,,,,,,,,,,,,,,
729,0,0,1,0,0,1,2,44,1,0,1,0.32,1,62,2,0,12,2,2.1875,0,0,0,0,0.506787330316742,2
762,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,
773,,,,,,,,,,,,,,,,,,,,,,,,,
792,,,,,,,,,,,,,,,,,,,,,,,,,
793,,,,,,,,,,,,,,,,,,,,,,,,,
86,0,0,1,0,0,4,2,116,1,7,7,0.79,0,78,2,2,0,3,3.64705882352941,1,0,0,0,0.566552901023891,3
1941,0,6,1,0,0,0,1,50,16,0,3,0.1,0,95,3,1,0,2,2.93650793650794,0,0,0,1,0.956591639871383,3
854,,,,,,,,,,,,,,,,,,,,,,,,,
805,3,0,1,3,0,0,2,41,1,7,12,0.15,0,92,1,1,0,2,2.7027027027027,0,0,0,1,0.658469945355191,2
863,,,,,,,,,,,,,,,,,,,,,,,,,
861,0,0,1,1,0,0,2,23,1,0,4,0.35,0,65,2,0,0,2,2.75,1,1,0,16,0.682692307692308,0
873,,,,,,,,,,,,,,,,,,,,,,,,,
909,,,,,,,,,,,,,,,,,,,,,,,,,
1947,,,,,,,,,,,,,,,,,,,,,,,,,
916,0,4,1,3,0,0,3,21,1,0,8,0.15,1,77,1,0,17,1,4.18181818181818,1,1,0,0,0.621890547263682,0
95,1,4,1,4,0,8,2,1049,6,22,23,1.37,0,95,1,1,0,6,4.21296296296296,0,0,0,0,0.642458100558659,5
928,1,0,1,1,0,3,2,47,1,6,0,0.47,1,77,2,4,0,1,3.22222222222222,1,1,0,1,0.594117647058824,3
929,,,,,,,,,,,,,,,,,,,,,,,,,
992,5,0,2,0,15,0,4,21,1,1,3,0.08,1,100,1,0,1,1,6.75,0,1,0,0,0.547400611620795,2
1950,,,,,,,,,,,,,,,,,,,,,,,,,
1043,,,,,,,,,,,,,,,,,,,,,,,,,
1059,,,,,,,,,,,,,,,,,,,,,,,,,
1956,1,0,1,12,0,0,2,51,2,6,7,0.19,1,85,2,0,15,2,3.33333333333333,0,2,0,0,1.0,0
1970,0,1,1,2,0,0,1,18,4,0,6,0.17,0,69,3,0,6,3,2.4,0,1,0,0,0.986486486486487,1
104,,,,,,,,,,,,,,,,,,,,,,,,,
1103,1,0,1,5,0,0,2,28,6,6,8,0.09,2,85,2,0,0,3,3.05,0,0,0,24,0.413793103448276,1
1112,5,0,1,1,3,0,3,40,2,0,5,0.24,0,80,3,20,1,1,20.7272727272727,2,2,0,0,0.675324675324675,2
1996,0,0,1,0,0,0,1,21,2,3,1,0.36,1,25,2,2,1,2,0.625,0,1,0,4,1.0,0
1998,2,1,1,1,0,0,1,27,7,0,12,0.18,1,75,2,0,8,2,2.83333333333333,1,2,0,0,1.0,0
1467,2,0,1,1,0,0,1,46,1,6,11,0.06,5,82,4,2,16,1,4.4375,1,1,0,0,0.493445692883895,1
2032,0,0,1,1,0,0,5,17,1,1,6,0.15,5,61,2,0,8,1,2.66666666666667,1,2,0,0,1.0,0
1727,0,0,1,6,0,1,2,115,1,0,17,0.25,0,95,1,0,1,3,3.14705882352941,1,1,0,2,0.821917808219178,2
1744,2,0,1,0,0,4,1,125,1,1,3,0.94,0,79,1,0,6,5,2.60869565217391,0,1,0,0,0.681818181818182,1
166,0,0,1,1,1,0,2,24,2,23,16,0.05,0,88,3,0,0,2,4.97368421052632,0,1,0,37,0.547058823529412,3
1866,0,0,1,0,0,0,2,21,1,2,0,0.14,0,0,1,2,0,2,2.25,0,1,0,169,0.605263157894737,0
172,4,0,1,2,4,2,2,121,2,3,16,0.38,0,92,1,0,1,2,3.92307692307692,1,1,0,0,0.495867768595041,2
1888,0,0,1,7,5,0,2,37,1,3,8,0.14,0,91,1,0,1,4,3.41935483870968,0,0,0,0,0.453038674033149,3
2064,1,0,2,1,0,2,4,29,1,0,5,0.39,2,45,1,0,2,1,4.75,3,2,0,0,0.816666666666667,0
134,,,,,,,,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,,,,,,
548,0,0,2,1,0,0,2,28,2,3,3,0.15,0,70,3,0,2,2,3.6,0,1,0,4,0.430327868852459,0
790,,,,,,,,,,,,,,,,,,,,,,,,,
877,,,,,,,,,,,,,,,,,,,,,,,,,
934,,,,,,,,,,,,,,,,,,,,,,,,,
1957,0,0,1,0,0,0,2,24,1,7,8,0.21,0,78,2,0,6,1,3.58333333333333,1,2,0,1,0.948717948717949,0
1968,18,7,1,5,4,0,2,20,5,0,12,0.05,1,82,4,0,3,3,4.22857142857143,1,1,0,4,1.0,0
1165,,,,,,,,,,,,,,,,,,,,,,,,,
195,0,0,1,3,0,2,1,164,1,2,29,0.56,0,96,1,2,22,2,2.75,0,0,0,0,0.796190476190476,2
1255,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,
1942,20,1,1,9,0,0,2,155,30,11,53,0.13,0,100,2,2,35,2,3.98387096774194,0,0,0,0,0.969341161121983,2
871,,,,,,,,,,,,,,,,,,,,,,,,,
972,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,
1953,0,0,1,1,0,0,1,18,3,0,1,0.3,1,0,3,0,4,2,1.5,1,2,0,1,1.0,0
192,,,,,,,,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,,,,,
1054,,,,,,,,,,,,,,,,,,,,,,,,,
1535,,,,,,,,,,,,,,,,,,,,,,,,,
207,0,0,1,0,0,2,2,61,1,0,3,0.65,0,61,2,0,5,1,2.0,0,1,0,0,0.566473988439306,0
202,0,32,1,0,0,4,1,189,1,0,0,3.5,0,0,1,1,6,1,4.17073170731707,0,0,0,0,0.945454545454545,0
546,,,,,,,,,,,,,,,,,,,,,,,,,
809,2,0,2,2,0,0,3,25,1,4,4,0.1,0,80,3,0,19,2,4.625,0,0,0,0,0.514705882352941,0
267,,,,,,,,,,,,,,,,,,,,,,,,,
795,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,,
1940,,,,,,,,,,,,,,,,,,,,,,,,,
927,,,,,,,,,,,,,,,,,,,,,,,,,
962,1,0,1,3,0,0,2,45,1,1,15,2.12,0,89,1,1,8,3,2.46428571428571,0,0,0,6,0.681159420289855,1
