,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE
960,0,0,1,1,0,1,2,36,1,6,0,0.33,1,88,2,1,9.0,1,3.77777777777778,1,1,0,1,0.716763005780347,2
962,1,38.5,2,3,0,0,2,45,1,1,15,0.18,0,89,1,1,5,3,2.46428571428571,0,0,0,6,0.681159420289855,1
773,2,0,2,1,2,1,3,60.0,1,2,3,0.14,0,71,1,7,0,2,5.41176470588235,1,1,0,4,0.457861635220126,0
928,1,11.0,1,1,0,3,2,47,1,6,0,0.47,1,77,2,4,12,1,3.22222222222222,1,1,0,1,0.594117647058824,0
543,0,33.5,2,1,0,2,4,34,1,4,0,0.44,0,60,3,1,3,1,18.5,1,2,0,2,0.40495867768595,0
805,2,0,1,3,0,0,2,41,1,7,12,0.15,0,92,1,1,13.0,2,2.7027027027027,0,0,0,1,0.658469945355191,2
1947,1,38.5,4,0,0,0,2,149.5,2,3,2,0.31,0,58,5,0,2,2,2.5,0,1,0,1,1.0,0
80,1,0,4,6,1,2,1,64.0,2,7,6.5,0.53,0,97,2,3,2.5,6,8.46153846153846,0,1,0,0,0.539735099337748,4
1732,5,33.5,3,5,2,2,3,49,3,4,13,0.21,1,84,1,0,8,2,4.25,0,0,0,4,0.420886075949367,0
147,0,38.5,4,1,0,4,2,64.0,1,4,3,0.73,0,90,3,0,4.5,1,3.32142857142857,0,1,0,0,0.659147869674185,1
792,0,20.5,4,0,0,0,1,18.5,1,0,6.5,0.21,0,97,1,0,0,1,2.61904761904762,1,1,0,0,0.814465408805031,1
1941,0,20.5,4,0,0,0,1,50,3.5,0,3,0.1,0,95,3,1,4.5,2,2.93650793650794,0,0,0,0,0.956591639871383,3
1255,0,38.5,1,2,0,0,1,109.5,2,9,10,0.14,0,79,2,2,10.5,2,3.07142857142857,0,1,0,0,0.52803738317757,3
1957,0,11.0,1,0,0,0,2,24.0,1,7,8,0.21,0,78,2,0,1,1,3.58333333333333,1,2,0,0,0.948717948717949,0
729,0,16.5,2,0,0,1,2,44,1,0,1,0.32,1,62,2,0,6.0,2,2.1875,0,0,0,4,0.506787330316742,0
1103,1,38.5,4,5,0,0,2,149.5,6,6,8,0.09,2,85,2,0,3,3,3.05,0,0,0,2,0.413793103448276,1
1970,0,11.0,1,2,0,0,1,18.0,4,0,6,0.17,0,69,3,0,1,3,2.4,0,1,0,0,0.986486486486487,1
1996,0,11.0,1,0,0,0,1,21.0,2,3,1,0.36,1,25,2,2,1,2,0.625,0,1,0,0,1.0,0
1535,3,30.5,2,3,0,5,2,140.0,6,0,1,0.41,5,79,5,2,10,2,1.91304347826087,1,1,0,0,0.514469453376206,1
1888,0,0,1,7,5,0,2,37,1,3,8,0.14,0,91,1,0,6,3,3.41935483870968,0,0,0,0,0.453038674033149,3
1671,0,11.0,1,3,0,0,2,27.0,1,4,5,0.16,0,89,5,1,1,1,2.33333333333333,0,1,0,0,0.448888888888889,1
2032,0,11.0,1,1,0,0,5,17.0,1,1,6,0.15,5,61,2,0,1,1,2.66666666666667,1,2,0,0,1.0,0
207,0,33.5,4,0,0,2,2,17.0,1,0,3,0.65,0,61,2,0,5,1,0.3541666666666665,0,1,0,1,0.566473988439306,0
1940,0,33.5,2,0,0,3,1,44.5,1,0,1,1.3,0,0,1,0,4,2,1.53658536585366,1,1,0,0,0.809264305177112,1
809,2,30.5,1,2,0,0,3,35,1,4,4,0.04,0,80,3,0,19.0,2,4.625,0,0,0,0.0,0.514705882352941,0
432,4,44.5,1,18,0,0,2,56,3,3,14.0,0.09,0,94,1,1,7.0,2,4.96491228070175,0,1,0,0,0.749670619235837,3
1727,0,20.5,4,6,0,1,2,30.5,1,0,2.5,0.25,0,95,1,0,5,3,3.14705882352941,1,1,0,1,0.821917808219178,2
2064,1,0.0,2,1,0,2,4,29,1,0,5,0.39,2,45,1,0,6.5,1,11.75,3,2,0,0,0.816666666666667,0
548,0,38.5,1,1,0,0,2,109.5,2,3,3,0.15,0,70,3,0,17.0,2,3.6,0,1,0,0,0.430327868852459,0
16,0,0.0,1,0,1,2,2,58,1,3,5,0.51,0,85,2,0,6.5,1,2.0,0,1,0,0,0.416666666666667,1
78,6,1,1,5,3,4,2,31.5,7,21,6.5,0.75,0,97,1,2,16.0,0,5.14705882352941,0,0,0,0,0.527452745274527,4
172,4,20.5,4,2,4,2,2,34.5,2,3,2.5,0.38,0,92,1,0,1,2,3.92307692307692,1,1,0,2,0.495867768595041,2
873,2,1,2,1,0,0,3,43,4,2,20.5,0.1,1,90,2,0,4.5,2,2.9,0,1,0,0.0,0.577249575551783,2
86,0,0,4,0,0,4,2,24.5,1,7,7,0.79,0,78,2,2,2.5,3,3.64705882352941,1,0,0,31.0,0.566552901023891,0
302,2,30.5,2,1,0,0,2,60,3,3,16.0,0.2,0,92,1,2,19.0,3,5.15909090909091,1,1,0,0,0.439320388349515,2
195,0,0,3,3,0,2,1,24.5,1,2,20.5,0.56,0,96,1,2,6.5,2,2.75,0,0,0,0,0.796190476190476,2
251,0,0,3,1,0,1,1,24.5,1,0,20.5,0.41,0,97,2,0,6.5,1,2.63529411764706,1,1,0,0,0.642647058823529,3
793,1,11.0,1,1,0,0,3,27.0,1,0,6,0.16,0,74,1,0,2,1,24.5,2,1,0,0,0.691629955947137,3
861,0,11.0,1,1,0,0,2,23.0,1,0,4,0.35,0,65,2,0,5,2,2.75,1,1,0,0,0.416666666666667,0
863,10,44.5,1,12,0,1,2,55.0,5,0,12.5,0.19,0,94,1,0,3,3,3.1875,1,1,0,1,0.56794425087108,2
192,0,18.5,2,1,0,2,2,30.0,1,8,12,0.23,0,82,1,3,6.5,2,4.48275862068965,0,0,0,0,0.326653306613226,2
762,5,1,1,6,0,1,2,54.5,4,10,20.5,0.15,0,96,1,0,4.0,4,2.97916666666667,0,1,0,0,0.633272058823529,4
909,0,0,4,1,0,1,3,53,4,16,2.5,0.11,3,90,1,0,7.0,2,17.821428571428548,3,1,0,2,0.846645367412141,3
871,2,3,3,1,0,0,3,30.0,4,1,4.0,0.09,0,93,1,0,13.0,2,2.73333333333333,0,1,0,0,0.454649827784156,4
1950,0,11.0,1,2,0,1,1,22.0,3,2,3,0.21,2,46,5,0,34.5,2,2.75,1,2,0,0,0.577181208053691,1
1953,0,11.0,1,1,0,0,1,18.0,3,0,1,0.3,1,0,3,0,34.5,2,1.5,1,2,0,0,1.0,0
1956,1,11.0,1,12,0,0,2,51,2,6,7,0.19,1,85,2,0,15.0,2,3.33333333333333,0,2,0,0,0.555555555555556,0
1968,18,38.5,4,5,4,0,2,149.5,5,0,12,0.05,1,82,4,0,22.5,3,4.22857142857143,1,1,0,2,1.0,0
1112,5,0.0,1,1,3,0,3,40,2,0,5,0.24,0,80,3,20,1,1,9.464285714285715,2,2,0,0,0.416666666666667,2
1165,0,0,2,0,2,0,1,54,2,1,19.0,0.16,0,95,5,0,34.5,2,1.25862068965517,0,0,0,0.0,0.757028112449799,2
202,0,15.5,4,0,0,4,1,34.5,1,0,0,3.5,0,0,1,1,5,1,4.17073170731707,0,0,0,24.0,0.715277777777778,0
1998,2,14.0,1,1,0,0,1,93.0,7,0,12,0.18,1,75,2,0,0,2,2.83333333333333,1,2,0,23.5,1.0,0
2004,2,30.5,4,1,2,0,2,35.0,8,3,9,0.09,1,81,4,0,5,2,2.41176470588235,0,1,0,19.5,0.632786885245902,0
927,0,0,2,2,0,1,2,13.0,3,9,6.5,0.39,0,93,4,4,5,4,2.52083333333333,1,1,0,45.0,0.487364620938628,2
1866,0,30.5,1,0,0,0,2,48.0,1,2,0,0.14,0,0,1,2,5,2,2.25,0,1,0,169.0,0.605263157894737,0
1467,2,26.5,3,1,0,0,1,46,1,6,11,0.03,5,82,4,2,2.5,1,4.4375,1,1,0,49.0,0.493445692883895,1
1744,2,30.5,1,0,0,4,1,44.5,1,1,3,0.94,0,79,1,0,5,5,2.60869565217391,0,1,0,1.0,0.681818181818182,1
134,1,0,3,5,0,1,2,54.5,6,35,14.5,0.28,0,98,1,2,4.0,2,8.11940298507463,0,0,0,23.5,0.408026755852843,5
95,1,4,2,4,0,8,2,31.5,6,22,16.5,1.37,0,95,1,1,4.0,6,4.21296296296296,0,0,0,0.0,0.642458100558659,5
166,0,0,1,1,1,0,2,24.0,2,23,2.5,0.05,0,88,3,0,1.0,2,4.97368421052632,0,1,0,23.5,0.547058823529412,3
282,1,20.5,4,1,0,1,2,18.5,6,2,9,0.15,1,85,2,1,7.0,2,3.23076923076923,0,0,0,17.0,0.416531604538088,3
877,3,2,3,5,0,0,3,34,6,0,10.5,0.14,0,83,2,0,6,2,4.625,1,1,0,2,0.515723270440252,0
275,1,0,3,3,0,0,2,37,1,7,14.0,0.06,0,92,2,1,4.0,1,4.33802816901408,0,0,0,18,0.328063241106719,0
104,0,0,3,2,0,0,2,38,1,7,6,0.1,0,87,2,0,8.0,1,5.16666666666667,1,1,0,2,0.470715835140998,2
790,2,0,2,3,1,0,2,35.0,4,4,6.5,0.17,0,95,2,0,2.5,3,3.26666666666667,0,0,0,4.0,0.558260869565217,2
1942,20,1,2,9,0,0,2,24.5,30,11,10.5,0.13,0,100,2,2,10.0,2,3.98387096774194,0,0,0,4.0,0.969341161121983,2
854,9,0,3,2,0,2,3,34.5,1,0,7,0.34,1,78,1,1,4.5,2,6.625,2,1,0,8,0.606104651162791,0
929,1,0,4,1,0,1,2,22.5,2,5,10.5,0.35,0,93,4,4,4.5,2,2.06818181818182,0,0,0,17.0,0.404907975460123,2
934,1,0,3,5,9,4,2,45.0,1,4,0,0.6,0,94,1,8,4.5,1,5.57142857142857,1,1,0,5,0.552188552188552,1
916,0,38.5,1,3,0,0,3,48.0,1,0,8,0.15,1,77,1,0,8.0,1,4.18181818181818,1,1,0,1.0,0.621890547263682,0
795,4,1,1,2,0,1,2,62.5,7,4,6.5,0.2,0,92,1,0,1.0,5,3.42592592592593,0,0,0,0.0,0.556005398110661,5
299,5,0,1,3,0,1,2,34.5,4,13,1.0,0.16,0,95,1,1,4.0,4,3.15957446808511,0,1,0,1.0,0.63271375464684,3
546,8,0,1,2,1,1,3,24.5,11,30,6.5,0.12,0,93,1,2,1.0,3,4.63291139240506,0,0,0,21.5,0.313213703099511,1
1043,0,0,3,1,2,2,2,44.5,1,0,5,0.23,3,81,5,6,7.0,1,3.14516129032258,0,2,0,10,0.475270039795338,2
992,5,11.0,2,0,15,0,4,21,1,1,3,0.08,1,100,1,0,1,1,6.75,0,1,0,1,0.547400611620795,2
1059,0,0,1,0,2,3,1,52,2,3,5,0.29,2,83,5,0,4.5,2,3.25,0,2,0,9,0.928571428571429,1
1054,0,11.0,3,3,1,1,2,50,1,12,6,0.13,4,76,5,1,8.0,1,4.89473684210526,0,1,0,2,0.741992882562278,0
284,2,0,1,2,0,2,2,55.0,3,1,13,0.28,0,90,2,0,4.5,2,2.91891891891892,0,1,0,2,0.459016393442623,2
972,1,38.5,2,1,0,1,2,35.0,4,5,14,0.23,0,85,2,4,3,2,6.08108108108108,1,1,0,2,0.659574468085106,1
267,0,16.5,0,2,0,2,3,13.0,4,9,14,0.24,0,89,2,2,0.5,2,4.025,0,0,0,1.0,0.531208499335989,2
567,0,33.5,1,1,0,0,1,48,2,9,10,0.25,0,100,2,3,0.5,2,2.84848484848485,0,1,0,1.0,0.55,2
85,8,4,2,2,0,3,3,24.5,7,8,4.0,0.35,0,91,1,3,7.0,4,4.80952380952381,0,1,0,1.0,0.442211055276382,4
