,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE
202,0,32,1,0,0,4,1,189,1,0,0,3.5,0,0,1,1,6,1,8.85714285714286,0,0,0,0,0.715277777777778,2
1866,0,0,1,0,0,0,2,21,1,2,0,0.14,0,0,1,2,5,2,0.488888888888889,0,1,0,169,0.605263157894737,0
1940,,,,,,,,,,,,,,,,,,,,,,,,,
992,5,0,2,0,15,0,4,21,1,1,3,0.08,1,100,1,0,1,1,13.3333333333333,0,1,0,10,0.547400611620795,1
147,,,,,,,,,,,,,,,,,,,,,,,,,
792,,,,,,,,,,,,,,,,,,,,,,,,,
962,,,,,,,,,,,,,,,,,,,,,,,,,
960,0,0,1,1,0,1,2,36,1,6,6.5,0.33,1,88,2,1,19,1,7.135714285714285,1,1,0,1,0.716763005780347,2
195,,,,,,,,,,,,,,,,,,,,,,,,,
1727,0,0,1,6,0,1,2,115,1,0,17,0.25,0,95,1,0,7.5,3,3.14705882352941,1,1,0,2,0.821917808219178,2
172,,,,,,,,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,,,,,
1165,0,0,1,0,2,0,1,54,2,1,12.0,0.16,0,95,5,0,4,2,1.25862068965517,0,0,0,0,0.757028112449799,2
805,,,,,,,,,,,,,,,,,,,,,,,,,
873,2,1,2,1,0,0,3,43,4,2,26,0.1,1,90,2,0,18,2,2.9,0,1,0,0,0.577249575551783,2
1888,0,0,1,7,5,0,2,37,1,3,10.0,0.14,0,91,1,0,6,4,3.41935483870968,0,0,0,0,0.453038674033149,3
863,,,,,,,,,,,,,,,,,,,,,,,,,
927,,,,,,,,,,,,,,,,,,,,,,,,,
929,,,,,,,,,,,,,,,,,,,,,,,,,
95,1,4,1,4,0,8,2,1049,6,22,16.5,1.37,0,95,1,1,28.0,6,13.3333333333333,0,0,0,0,0.642458100558659,5
134,1,0,1,5,0,1,2,419,6,35,20.5,0.28,0,98,1,2,4.0,2,8.11940298507463,0,0,0,378,0.408026755852843,5
80,1,0,1,6,1,2,1,269,2,7,12.5,0.53,0,97,2,3,4.5,6,13.0,0,1,0,1,0.539735099337748,4
251,,,,,,,,,,,,,,,,,,,,,,,,,
762,,,,,,,,,,,,,,,,,,,,,,,,,
871,,,,,,,,,,,,,,,,,,,,,,,,,
934,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,
166,0,0,1,1,1,0,2,24,2,23,8.5,0.05,0,88,3,0,10.0,2,10.8148148148148,0,1,0,37,0.547058823529412,3
85,,,,,,,,,,,,,,,,,,,,,,,,,
267,0,1,2,2,0,2,3,132,4,9,8.0,0.24,0,89,2,2,4.5,2,8.85714285714286,0,0,0,39,0.531208499335989,2
1942,20,1,1,9,0,0,2,155,30,11,53,0.13,0,100,2,2,4.0,2,3.98387096774194,0,0,0,140,0.969341161121983,2
275,1,0,1,3,0,0,2,37,1,7,12.0,0.06,0,92,2,1,4.0,1,7.791666666666665,0,0,0,18,0.328063241106719,3
1970,0,1,1,2,0,0,1,18,4,0,6,0.17,0,36.0,3,0,6,3,2.4,0,1,0,4,0.986486486486487,0
302,,,,,,,,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,,,,,,
1671,0,0,1,3,0,0,2,27,1,4,5,0.16,0,89,5,1,7,1,0.488888888888889,0,1,0,21,0.448888888888889,1
432,,,,,,,,,,,,,,,,,,,,,,,,,
795,4,1,1,2,0,1,2,108,7,4,8.5,0.2,0,92,1,0,10.0,5,7.791666666666665,0,0,0,0,0.556005398110661,5
546,,,,,,,,,,,,,,,,,,,,,,,,,
790,2,0,1,3,1,0,2,74,4,4,12.0,0.17,0,95,2,0,4.5,3,13.3333333333333,0,0,0,40,0.558260869565217,2
909,0,0,1,1,0,1,3,53,4,16,15.0,0.11,3,90,1,0,4.0,2,13.0,3,1,0,6,0.846645367412141,3
793,1,0,1,1,0,0,3,27,1,0,6,0.16,0,74,1,0,2,1,7.5,2,1,0,4,0.691629955947137,0
1535,,,,,,,,,,,,,,,,,,,,,,,,,
1744,,,,,,,,,,,,,,,,,,,,,,,,,
861,0,0,1,1,0,0,2,23,1,0,4,0.35,0,53.0,2,0,5,2,2.75,1,1,0,16,0.682692307692308,0
729,0,0,1,0,0,1,2,44,1,0,1,0.32,1,36.0,2,0,4.0,2,2.1875,0,0,0,4,0.506787330316742,2
543,0,0,2,1,0,2,4,34,1,4,0,0.44,0,60,3,1,5,1,7.791666666666665,1,2,0,5,0.40495867768595,0
1957,0,0,1,0,0,0,2,24,1,7,8,0.21,0,36.0,2,0,6,1,3.58333333333333,1,2,0,5,0.948717948717949,0
567,0,0,1,1,0,0,1,48,2,9,10,0.25,0,90,2,3,2.5,2,0.488888888888889,0,1,0,55,0.55,2
1941,0,6,1,0,0,0,1,50,16,0,3,0.1,0,95,3,1,4.5,2,2.93650793650794,0,0,0,1,0.956591639871383,3
16,,,,,,,,,,,,,,,,,,,,,,,,,
1947,1,0,1,0,0,0,2,22,2,3,2,0.31,0,58,5,0,5,2,2.5,0,1,0,2,1.0,0
268,,,,,,,,,,,,,,,,,,,,,,,,,
1996,0,0,1,0,0,0,1,21,2,3,1,0.36,1,25,2,2,5,2,0.625,0,1,0,4,1.0,0
