test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
50,0,9.0,0.0,1.0,14.0,6.0,0.0,34.0,2.0,12.0,17.0,0.09500693678855897,0.0,94.0,1.0,0.0,24.0,2.0,4.07589285714286,0.0,1.0,1.0,0.118421052631579,0.0,1181.0,0.833333333333333,0.0,1.0,0.0,0.8329125466295836,0.16708745337041644,1,0.03808363771199774
157,0,13.0,0.0,2.0,0.0,0.0,0.0,254.0,9.48828125,2.0,5.0,0.09,1.0,99.0,1.0,1.0,118.0,2.0,3.77003484320558,0.0,0.0,1.0,0.585648148148148,0.0,139.0,0.727272727272727,0.0,1.0,4.0,0.7246560364551553,0.2753439635448447,1,134511718750000.0
764,0,6.0,0.0,1.0,0.0,0.0,0.0,157.0,9.499756813049316,13.0,15.0,0.08,1.0,93.0,1.0,2.0,63.0,2.0,5.61835748792271,0.0,0.0,1.0,0.248868778280543,0.0,157.0,0.8125,0.0,1.0,1.0,0.7413553973067672,0.2586446026932327,1,3500243186950.6836
169,0,5.0,0.0,1.0,7.5,7.0,0.0,71.0,1.0,0.0,17.0,0.16,1.0,96.0,1.0,0.0,20.0,3.0,6.58536585365854,1.0,1.0,1.0,0.465116279069767,0.0,198.0,1.0,0.0,1.0,2.0,0.8481724593271164,0.15182754067288365,1,10500000000000.0
852,0,4.0,6.0,1.0,7.49560546875,9.0,0.0,143.0,36.0,0.0,8.0,0.23,0.0,100.0,2.0,17.0,63.0,2.0,4.25757575757576,0.0,1.0,1.0,0.339805825242718,0.0,152.0,1.0,0.0,1.0,0.0,0.6647632768982971,0.33523672310170294,1,26504394531250.0
235,0,26.0,1.0,1.0,1.0,3.0,0.0,40.0,2.0,6.0,1.0,0.09500116527080536,0.0,96.0,4.0,3.0,17.0,2.0,4.52830188679245,0.0,1.0,1.0,0.839285714285714,0.0,48.0,0.666666666666667,0.0,3.0,4.0,0.8278284653395472,0.17217153466045276,1,0.027198475727882365
237,0,3.0,1.0,1.0,11.0,26.0,0.0,51.0,5.0,1.0,3.0,0.1,1.0,95.0,5.0,0.0,19.0,2.0,4.0,1.0,1.0,1.0,0.918918918918919,0.0,5.474365234375,0.363636363636364,0.0,4.0,6.0,0.5641189962396267,0.43588100376037325,1,19.986111352624615
285,0,29.0,38.0,1.0,12.0,19.0,0.0,144.0,10.9990234375,2.0,35.0,0.1,0.0,98.0,4.0,4.0,42.0,2.0,3.1497005988024,0.0,0.0,0.0,0.755434782608696,0.0,2.0,0.5,0.0,5.0,2.5,0.5479239636874984,0.45207603631250165,2,5000976562500.0
292,0,6.0,0.0,2.0,59.0,52.0,0.0,29.487060546875,9.490234375,0.0,1.0,0.08,0.0,99.0,1.0,21.0,34.0,2.0,3.3030303030303,0.0,1.0,1.0,0.610526315789474,0.0,5.07421875,0.952380952380952,1.0,1.0,8.0,0.5561375957048273,0.4438624042951727,3,47509765625000.0
304,0,15.0,0.0,1.0,2.0,211.0,0.0,49.0,2.0,0.0,1.0,0.04,0.0,100.0,2.0,0.0,65.0,1.0,5.43457943925234,0.0,1.0,1.0,0.497695852534562,0.0,34.468505859375,0.2678179405629635,0.0,2.0,5.0,0.5635900129705749,0.4364099870294251,2,26.06366569375048
