test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
11,0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,51.0,1.0,1.0,0.0,9.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,1.0,3.0,0.53,0.47,3,1000000000000.0
1516,0,17.0,2.0,1.0,0.0,0.0,2.0,1.0,418.0,26.0,2.0,32.0,0.0,0.0,3.0,19.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,1.0,0.0,0.51,0.49,5,5099019513592.785
38,0,0.0,114.0,1.0,0.0,0.0,6.0,1.0,768.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.375,0.0,3.0,0.0,9.0,0.51,0.49,3,13.773491067486164
1533,0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,66.0,1.0,3.0,10.0,30.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.5,0.0,2.0,1.0,3.0,0.5,0.5,2,2.780996644824085
1534,0,2.0,1.0,2.0,0.0,0.0,6.0,3.0,180.0,2.0,11.0,9.0,0.0,1.0,4.0,2.0,20.0,3.0,0.0,0.0,0.0,0.571428571428571,0.0,1.0,1.0,0.0,0.53,0.47,4,1000000000000.0
107,0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,39.0,1.0,2.0,12.0,26.0,0.0,3.0,0.0,14.0,3.0,0.0,1.0,0.0,0.666666666666667,0.0,2.0,1.0,5.0,0.52,0.48,2,1000000000000.0
110,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,8.0,25.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.333333333333333,0.0,5.0,1.0,1.0,0.5,0.5,2,2.718959175871834
117,0,1.0,0.0,1.0,1.0,48.0,1.0,1.0,100.0,3.0,0.0,0.0,50.0,0.0,2.0,0.0,5.0,1.0,0.0,1.0,0.0,0.5,0.0,3.0,1.0,3.0,0.53,0.47,1,1.3489815189522805
123,0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,246.0,1.0,0.0,1.0,84.0,0.0,1.0,0.0,10.0,1.0,0.0,1.0,0.0,0.571428571428571,0.0,4.0,1.0,0.0,0.5,0.5,4,1000000000000.0
152,0,2.0,2.0,1.0,0.0,4.0,1.0,2.0,360.0,1.0,33.0,64.0,149.0,0.0,2.0,5.0,1.0,3.0,0.0,0.0,0.0,0.478260869565217,5.0,2.0,2.0,11.0,0.5,0.5,2,14000000000000.0
