Antecedent,Antecedent Coverage %,Confidence,Lift
0.5 < CountClassCoupled <= 1.78,0.18929,0.98821,1.05913
16 < CountLineComment <= 26.6,0.31027,0.98705,1.05789
-0.58 < Del_lines <= 0.92,0.83616,0.98345,1.05403
OWN_LINE > 0.97,0.19598,0.98178,1.05224
RatioCommentToCode > 1.905,0.20223,0.98013,1.05048
1.78 < CountClassCoupled <= 3.36,0.21473,0.97921,1.04949
-0.12 < CountDeclInstanceVariable <= 1.16,0.35134,0.9784,1.04862
-0.082 < MAJOR_LINE <= 0.024,0.49509,0.97836,1.04858
0.85 < CountClassBase <= 1.055,0.34196,0.96736,1.03679
-0.005 < CountDeclMethodPrivate <= 0.245,0.71964,0.96402,1.03321
