CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
4.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.0,1.0,0.0,5.0,1.0,3.4,2.0,5.6,2.0,2.0,2.12,1.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.27,0.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,61.0,1.0,0.0,0.0,1.0,1.0,1.0,2.23,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,66.0,1.0,0.0,0.0,1.0,0.67,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.5,1.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,3.0,1.0,3.0,3.0,20.0,20.0,260.0,3.0,3.0,0.0,0.0,2.0,0.0,0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,40.0,1.0,0.0,1.0,0.91,0.0,62.0,3.0,0.0,7.0,2.0,6.25,1.0,2.12,1.0,1.0,0.3,0.0,0.0,0.0,3.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,0.3,2.0,0.0,3.0,0.0,8.0,1.0,6.67,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,39.0,1.0,0.0,1.0,1.05,0.0,42.0,2.0,0.0,8.0,2.0,2.14,1.0,1.57,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0
0.0,0.0,1.0,0.0,0.0,4.0,40.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,1.0,0.0,2.5,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,36.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,8.0,1.0,6.0,6.0,3.5,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,62.0,1.0,0.0,4.0,0.58,0.0,71.0,2.0,19.0,19.0,4.0,9.57,0.0,3.29,1.0,1.0,0.88,0.0,0.0,0.0,3.0,3.0,0
0.0,0.0,1.0,0.0,0.0,0.0,35.0,1.0,0.0,1.0,1.3,0.0,33.0,3.0,0.0,12.0,1.0,4.33,1.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,4.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,9.0,1.0,6.5,6.0,7.5,2.0,1.0,1.5,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,35.0,1.0,0.0,3.0,1.21,0.0,33.0,3.0,0.0,10.0,1.0,4.67,1.0,5.67,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,58.0,1.0,0.0,3.0,0.94,0.0,60.0,2.0,0.0,11.0,1.0,3.1,1.0,2.7,1.0,1.0,0.5,0.0,0.0,0.0,3.0,4.0,0
0.0,0.0,1.0,0.0,0.0,2.0,59.0,1.0,0.0,4.0,0.86,1.0,58.0,2.0,0.0,13.0,2.0,3.89,1.0,2.89,1.0,1.0,0.27,0.0,0.0,0.0,3.0,2.0,0
0.0,0.0,1.0,0.0,0.0,1.0,43.0,1.0,0.0,1.0,0.8,0.0,37.0,2.0,0.0,12.0,2.0,2.75,1.0,2.62,1.0,1.0,0.4,0.0,0.0,0.0,3.0,3.0,0
1.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,3.0,0.2,1.0,66.0,4.0,0.0,8.0,1.0,5.0,4.0,4.5,2.0,1.0,0.88,0.0,1.0,0.0,2.0,0.0,1
1.0,0.0,2.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.27,0.0,0.0,4.0,0.0,8.0,1.0,4.5,3.0,2.75,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,46.0,1.0,0.0,1.0,0.7,1.0,42.0,3.0,0.0,18.0,2.0,4.0,1.0,4.71,1.0,1.0,0.33,0.0,0.0,0.0,3.0,3.0,0
0.0,0.0,1.0,0.0,0.0,1.0,37.0,1.0,0.0,0.0,1.19,0.0,0.0,3.0,0.0,9.0,1.0,2.6,1.0,2.4,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,46.0,1.0,0.0,1.0,1.44,0.0,33.0,2.0,0.0,7.0,1.0,2.83,1.0,2.17,1.0,1.0,0.38,0.0,0.0,0.0,4.0,3.0,0
0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,3.0,0.3,1.0,0.0,3.0,0.0,10.0,1.0,7.5,6.0,5.5,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,3.88,0.0,0.0,3.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,55.0,1.0,0.0,3.0,1.1,0.0,50.0,2.0,0.0,7.0,1.0,5.88,1.0,2.75,1.0,1.0,0.3,0.0,0.0,0.0,3.0,3.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.05,0.0,65.0,1.0,0.0,1.0,1.0,2.75,1.0,2.12,1.0,1.0,0.3,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.5,0.0,60.0,2.0,0.0,3.0,2.0,2.2,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,39.0,1.0,0.0,1.0,1.18,0.0,33.0,2.0,0.0,8.0,1.0,2.5,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0
0.0,0.0,1.0,0.0,0.0,1.0,46.0,1.0,0.0,2.0,0.57,0.0,50.0,3.0,0.0,15.0,1.0,5.42,1.0,2.58,1.0,1.0,0.57,0.0,1.0,0.0,4.0,3.0,0
0.0,0.0,1.0,0.0,0.0,1.0,41.0,1.0,0.0,0.0,1.17,0.0,0.0,2.0,0.0,8.0,2.0,1.0,0.0,1.43,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0
0.0,0.0,1.0,0.0,0.0,0.0,43.0,1.0,0.0,3.0,0.67,0.0,60.0,2.0,0.0,12.0,2.0,3.4,1.0,2.9,1.0,1.0,0.42,0.0,1.0,0.0,3.0,3.0,1
0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,10.67,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
44.0,0.0,1.0,0.0,2.0,0.0,12.0,1.0,0.0,1.0,0.04,0.0,8.0,1.0,0.0,42.0,1.0,4.96,1.0,3.21,0.0,1.0,0.18,0.0,0.6,0.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,2.0,54.0,1.0,0.0,2.0,1.08,0.0,55.0,2.0,4.0,9.0,1.0,3.0,1.0,2.33,1.0,1.0,0.36,0.0,1.0,0.0,3.0,4.0,0
0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,0.36,0.0,0.0,3.0,0.0,9.0,1.0,3.67,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
