test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,proba0,proba1
78,0,6.0,1.0,1.0,5.0,3.0,4.0,4.0,848.0,27.0,21.0,62.0,0.76,11.0,97.0,1.0,2.0,4.0,9.0,4.73053892215569,0.0,0.0,0.0,206.0,1.0,1.0,0.51,0.49
78,1,0.0,41.0,3.0,94.0,89.0,8.0,2.0,66.0,5.0,22.0,21.0,0.04,0.0,94.0,1.0,1.0,50.0,9.0,4.24038461538461,15.0,0.0,0.0,253.0,1.0,0.0,0.51,0.49
85,0,0.0,0.0,1.0,1.0,2.0,2.0,10.0,254.0,1.0,0.0,5.0,3.38,3.0,81.0,5.0,3.0,11.0,1.0,3.23728813559322,0.0,2.0,0.0,0.0,1.0,3.0,0.51,0.49
86,0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,116.0,1.0,7.0,7.0,0.82,0.0,99.0,2.0,2.0,13.0,3.0,3.58823529411765,1.0,0.0,0.0,0.0,1.0,2.0,0.51,0.49
86,1,0.0,1.0,1.0,1.0,0.0,5.0,4.0,70.0,2.0,10.0,8.0,0.32,2.0,83.0,3.0,0.0,6.0,2.0,4.13333333333333,0.0,1.0,0.0,0.0,0.518367346938776,4.0,0.51,0.49
86,2,0.0,0.0,1.0,1.0,0.0,0.0,2.0,33.0,1.0,3.0,9.0,0.29,0.0,89.0,2.0,0.0,19.0,2.0,4.22727272727273,0.0,1.0,0.0,1.0,1.1,0.0,0.51,0.49
95,0,0.0,21.0,1.0,18.0,0.0,8.0,2.0,1043.0,15.0,22.0,16.0,1.2,7.0,94.0,6.0,1.0,12.0,6.0,4.24038461538461,0.0,12.0,2.0,16.0,1.0,1.0,0.51,0.49
95,1,6.0,1.0,1.0,5.0,3.0,4.0,2.0,0.0,24.0,21.0,62.0,0.76,12.0,97.0,7.0,44.0,59.0,9.0,4.73053892215569,22.0,17.0,0.0,194.0,1.0,1.0,0.53,0.47
96,0,0.0,12.0,1.0,1.0,0.0,0.0,2.0,29.0,1.0,1.0,5.0,0.21,0.0,75.0,1.0,0.0,10.0,2.0,2.2,1.0,1.0,0.0,0.0,0.7,2.0,0.52,0.48
104,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,37.0,1.0,7.0,6.0,0.1,0.0,87.0,2.0,0.0,6.0,1.0,5.13333333333333,1.0,1.0,0.0,0.0,0.464757709251101,1.0,0.81,0.19
104,1,3.0,0.0,2.0,1.0,0.0,0.0,3.0,32.0,1.0,4.0,4.0,0.14,1.0,81.0,2.0,1.0,5.0,1.0,3.92857142857143,0.0,1.0,0.0,4.0,0.8,1.0,0.52,0.48
104,2,0.0,0.0,1.0,1.0,0.0,1.0,2.0,36.0,1.0,6.0,0.0,0.33,1.0,88.0,2.0,1.0,3.0,1.0,3.66666666666667,1.0,1.0,0.0,3.0,0.722543352601156,1.0,0.57,0.43
