iter	Passed	Remaining
0	1	156
1	2	143
2	4	139
3	5	136
4	7	134
5	8	131
6	9	128
7	11	126
8	12	124
9	13	122
10	14	121
11	16	119
12	17	117
13	18	116
14	20	114
15	21	113
16	22	112
17	24	110
18	25	109
19	27	108
20	28	107
21	29	105
22	31	104
23	32	103
24	33	101
25	35	100
26	36	99
27	38	98
28	39	96
29	40	95
30	42	94
31	43	92
32	45	91
33	46	90
34	47	88
35	49	87
36	50	85
37	51	84
38	53	82
39	54	81
40	55	79
41	56	78
42	58	77
43	59	75
44	60	74
45	62	72
46	63	71
47	64	70
48	66	68
49	67	67
50	68	65
51	69	64
52	71	63
53	72	61
54	73	60
55	75	59
56	76	57
57	77	56
58	79	55
59	80	53
60	82	52
61	83	51
62	84	49
63	86	48
64	87	47
65	89	45
66	90	44
67	91	43
68	92	41
69	94	40
70	95	38
71	96	37
72	97	36
73	99	34
74	100	33
75	102	32
76	103	30
77	104	29
78	106	28
79	107	26
80	108	25
81	109	24
82	111	22
83	112	21
84	114	20
85	115	18
86	116	17
87	118	16
88	119	14
89	120	13
90	121	12
91	123	10
92	124	9
93	125	8
94	127	6
95	128	5
96	129	4
97	131	2
98	132	1
99	134	0
