iter	Logloss
0	0.6408566643
1	0.5930498909
2	0.556252962
3	0.5264140858
4	0.494586047
5	0.4788486256
6	0.4627471026
7	0.4439023186
8	0.4329434563
9	0.4190611895
10	0.408602995
11	0.3983598597
12	0.3909488005
13	0.3809405159
14	0.3719181734
15	0.3690477932
16	0.36334233
17	0.3583374248
18	0.3525720709
19	0.3484353683
20	0.3466948117
21	0.343649292
22	0.3412247602
23	0.3385537091
24	0.3356766196
25	0.3333632076
26	0.3290267496
27	0.3268276888
28	0.3228090398
29	0.3201956805
30	0.3141538059
31	0.3117058698
32	0.3106879739
33	0.3085281372
34	0.3072995354
35	0.3046201145
36	0.3027541217
37	0.3012027965
38	0.2975673002
39	0.2957630157
40	0.2936833326
41	0.292755845
42	0.289926686
43	0.2887380263
44	0.2883308186
45	0.2869481704
46	0.2859491236
47	0.2848980848
48	0.2838444429
49	0.2803707572
50	0.2789939656
51	0.2770945381
52	0.2748405681
53	0.2704851487
54	0.2687772863
55	0.2673818476
56	0.2653425778
57	0.2644799176
58	0.2626118379
59	0.2611201118
60	0.259723596
61	0.2576426338
62	0.2558951434
63	0.2530482124
64	0.2525872174
65	0.2514073989
66	0.2499361599
67	0.248885884
68	0.2472502091
69	0.2468628827
70	0.2446120094
71	0.2437149497
72	0.2422678106
73	0.2395966025
74	0.238668352
75	0.2366307427
76	0.2348531386
77	0.2310721902
78	0.228448778
79	0.2256034851
80	0.2245851853
81	0.2219530442
82	0.2203902525
83	0.2171766842
84	0.2152737786
85	0.2133782555
86	0.2108187507
87	0.2102293127
88	0.2083065706
89	0.2072066812
90	0.2042208503
91	0.2018159305
92	0.1999677321
93	0.1986961814
94	0.1964372971
95	0.1958047306
96	0.1938549715
97	0.1914766873
98	0.1905284433
99	0.1889731912
